#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696373,63023514,2,J1N47_gp02,SEA_KILKOR_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2696373,63023571,59,J1N47_gp59,SEA_KILKOR_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2696373,63023572,60,J1N47_gp60,SEA_KILKOR_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210309,-
2696373,63023573,61,J1N47_gp61,SEA_KILKOR_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023574,62,J1N47_gp62,SEA_KILKOR_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023575,63,J1N47_gp63,SEA_KILKOR_63,-,-,-,RepA-like replication initiator,protein-coding,-,-,-,RepA-like replication initiator,20210309,-
2696373,63023576,64,J1N47_gp64,SEA_KILKOR_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023577,65,J1N47_gp65,SEA_KILKOR_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023578,66,J1N47_gp66,SEA_KILKOR_66,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2696373,63023579,67,J1N47_gp67,SEA_KILKOR_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023580,68,J1N47_gp68,SEA_KILKOR_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023581,69,J1N47_gp69,SEA_KILKOR_69,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2696373,63023582,70,J1N47_gp70,SEA_KILKOR_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023583,71,J1N47_gp71,SEA_KILKOR_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023584,72,J1N47_gp72,SEA_KILKOR_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023585,73,J1N47_gp73,SEA_KILKOR_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023586,74,J1N47_gp74,SEA_KILKOR_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023587,75,J1N47_gp75,SEA_KILKOR_75,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210424,-
2696373,63023588,76,J1N47_gp76,SEA_KILKOR_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023589,77,J1N47_gp77,SEA_KILKOR_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023590,78,J1N47_gp78,SEA_KILKOR_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023591,79,J1N47_gp79,SEA_KILKOR_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210309,-
2696373,63023592,1,J1N47_gp01,SEA_KILKOR_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210309,-
2696373,63139683,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
