#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723901,65124957,KNU96_gp02,KNU96_gp02,XccvBFoX5_gp02,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210608,-
2723901,65124980,KNU96_gp25,KNU96_gp25,XccvBFoX5_gp25,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210608,-
2723901,65124981,KNU96_gp26,KNU96_gp26,XccvBFoX5_gp26,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2723901,65124982,KNU96_gp27,KNU96_gp27,XccvBFoX5_gp27,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2723901,65124983,KNU96_gp28,KNU96_gp28,XccvBFoX5_gp28,-,-,-,gene D protein,protein-coding,-,-,-,gene D protein,20210608,-
2723901,65124984,KNU96_gp29,KNU96_gp29,XccvBFoX5_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124985,KNU96_gp30,KNU96_gp30,XccvBFoX5_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124986,KNU96_gp31,KNU96_gp31,XccvBFoX5_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124987,KNU96_gt01,KNU96_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2723901,65124988,KNU96_gp79,KNU96_gp79,XccvBFoX5_gp33c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124989,KNU96_gp78,KNU96_gp78,XccvBFoX5_gp34c,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210608,-
2723901,65124990,KNU96_gp77,KNU96_gp77,XccvBFoX5_gp35c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124991,KNU96_gp76,KNU96_gp76,XccvBFoX5_gp36c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124992,KNU96_gp75,KNU96_gp75,XccvBFoX5_gp37c,-,-,-,putative MerR transcription regulator,protein-coding,-,-,-,putative MerR transcription regulator,20210608,-
2723901,65124993,KNU96_gp74,KNU96_gp74,XccvBFoX5_gp38c,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20210608,-
2723901,65124994,KNU96_gp73,KNU96_gp73,XccvBFoX5_gp39c,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210608,-
2723901,65124995,KNU96_gp72,KNU96_gp72,XccvBFoX5_gp40c,-,-,-,exoribonuclease VIII,protein-coding,-,-,-,exoribonuclease VIII,20210608,-
2723901,65124996,KNU96_gp71,KNU96_gp71,XccvBFoX5_gp41c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124997,KNU96_gp70,KNU96_gp70,XccvBFoX5_gp42,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210608,-
2723901,65124998,KNU96_gp69,KNU96_gp69,XccvBFoX5_gp43,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210608,-
2723901,65124999,KNU96_gp68,KNU96_gp68,XccvBFoX5_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125000,KNU96_gp67,KNU96_gp67,XccvBFoX5_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125001,KNU96_gp66,KNU96_gp66,XccvBFoX5_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125002,KNU96_gp65,KNU96_gp65,XccvBFoX5_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125003,KNU96_gp64,KNU96_gp64,XccvBFoX5_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125004,KNU96_gp63,KNU96_gp63,XccvBFoX5_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125005,KNU96_gp62,KNU96_gp62,XccvBFoX5_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125006,KNU96_gp61,KNU96_gp61,XccvBFoX5_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125007,KNU96_gp60,KNU96_gp60,XccvBFoX5_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125008,KNU96_gp59,KNU96_gp59,XccvBFoX5_gp53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2723901,65125009,KNU96_gp58,KNU96_gp58,XccvBFoX5_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125010,KNU96_gp57,KNU96_gp57,XccvBFoX5_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125011,KNU96_gp56,KNU96_gp56,XccvBFoX5_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125012,KNU96_gp55,KNU96_gp55,XccvBFoX5_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125013,KNU96_gp54,KNU96_gp54,XccvBFoX5_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125014,KNU96_gp53,KNU96_gp53,XccvBFoX5_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125015,KNU96_gp52,KNU96_gp52,XccvBFoX5_gp60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125016,KNU96_gp51,KNU96_gp51,XccvBFoX5_gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125017,KNU96_gp50,KNU96_gp50,XccvBFoX5_gp62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125018,KNU96_gp49,KNU96_gp49,XccvBFoX5_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125019,KNU96_gp48,KNU96_gp48,XccvBFoX5_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125020,KNU96_gp47,KNU96_gp47,XccvBFoX5_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125021,KNU96_gp46,KNU96_gp46,XccvBFoX5_gp66,-,-,-,lytic murein transglycosylase,protein-coding,-,-,-,lytic murein transglycosylase,20210608,-
2723901,65125022,KNU96_gp45,KNU96_gp45,XccvBFoX5_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125023,KNU96_gp44,KNU96_gp44,XccvBFoX5_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125024,KNU96_gp43,KNU96_gp43,XccvBFoX5_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125025,KNU96_gp42,KNU96_gp42,XccvBFoX5_gp70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125026,KNU96_gp41,KNU96_gp41,XccvBFoX5_gp71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125027,KNU96_gp40,KNU96_gp40,XccvBFoX5_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125028,KNU96_gp39,KNU96_gp39,XccvBFoX5_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125029,KNU96_gp38,KNU96_gp38,XccvBFoX5_gp74c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125030,KNU96_gp37,KNU96_gp37,XccvBFoX5_gp75c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125031,KNU96_gp36,KNU96_gp36,XccvBFoX5_gp76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125032,KNU96_gp35,KNU96_gp35,XccvBFoX5_gp77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125033,KNU96_gp34,KNU96_gp34,XccvBFoX5_gp78,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210608,-
2723901,65125034,KNU96_gp33,KNU96_gp33,XccvBFoX5_gp79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125035,KNU96_gp32,KNU96_gp32,XccvBFoX5_gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125036,KNU96_gp80,KNU96_gp80,XccvBFoX5_gp32c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65125037,KNU96_gp01,KNU96_gp01,XccvBFoX5_gp01,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20210608,-
2723901,65243400,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
