#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965467,56137337,H1Z30_gp002,H1Z30_gp002,AM1_002,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210515,-
1965467,56137444,H1Z30_gp164,H1Z30_gp164,AM1_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137445,H1Z30_gp163,H1Z30_gp163,AM1_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137446,H1Z30_gp162,H1Z30_gp162,AM1_110,-,-,-,ribonucleotide diphosphate reductase glutaredoxin subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductase glutaredoxin subunit,20210424,-
1965467,56137447,H1Z30_gp161,H1Z30_gp161,AM1_111,-,-,-,ribonucleotide reductase stimulatory protein,protein-coding,-,-,-,ribonucleotide reductase stimulatory protein,20210424,-
1965467,56137448,H1Z30_gp160,H1Z30_gp160,AM1_112,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,protein-coding,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,20210515,-
1965467,56137449,H1Z30_gp159,H1Z30_gp159,AM1_113,-,-,-,HNH protein,protein-coding,-,-,-,HNH protein,20200724,-
1965467,56137450,H1Z30_gp158,H1Z30_gp158,AM1_114,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20210515,-
1965467,56137451,H1Z30_gp157,H1Z30_gp157,AM1_115,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,protein-coding,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,20210515,-
1965467,56137452,H1Z30_gp156,H1Z30_gp156,AM1_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137453,H1Z30_gp155,H1Z30_gp155,AM1_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137454,H1Z30_gp154,H1Z30_gp154,AM1_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137455,H1Z30_gp153,H1Z30_gp153,AM1_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137456,H1Z30_gp152,H1Z30_gp152,AM1_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137457,H1Z30_gp151,H1Z30_gp151,AM1_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137458,H1Z30_gp150,H1Z30_gp150,AM1_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137459,H1Z30_gp149,H1Z30_gp149,AM1_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137460,H1Z30_gp148,H1Z30_gp148,AM1_124,-,-,-,nucleoside phosphate reductase,protein-coding,-,-,-,nucleoside phosphate reductase,20210424,-
1965467,56137461,H1Z30_gp147,H1Z30_gp147,AM1_125,-,-,-,HTH homing endonuclease,protein-coding,-,-,-,HTH homing endonuclease,20200724,-
1965467,56137462,H1Z30_gp146,H1Z30_gp146,AM1_126,-,-,-,ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase activator small subunit,20210424,-
1965467,56137463,H1Z30_gp145,H1Z30_gp145,AM1_127,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20210515,-
1965467,56137464,H1Z30_gp144,H1Z30_gp144,AM1_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137465,H1Z30_gp143,H1Z30_gp143,AM1_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137466,H1Z30_gp142,H1Z30_gp142,AM1_130,-,-,-,ribonucleotide diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductase alpha subunit,20210515,-
1965467,56137467,H1Z30_gp141,H1Z30_gp141,AM1_131,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20210515,-
1965467,56137468,H1Z30_gp140,H1Z30_gp140,AM1_132,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210515,-
1965467,56137469,H1Z30_gp139,H1Z30_gp139,AM1_133,-,-,-,protease,protein-coding,-,-,-,protease,20210515,-
1965467,56137470,H1Z30_gp138,H1Z30_gp138,AM1_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137471,H1Z30_gp137,H1Z30_gp137,AM1_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137472,H1Z30_gp136,H1Z30_gp136,AM1_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137473,H1Z30_gp135,H1Z30_gp135,AM1_137,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20210515,-
1965467,56137474,H1Z30_gp134,H1Z30_gp134,AM1_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137475,H1Z30_gp133,H1Z30_gp133,AM1_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137476,H1Z30_gp132,H1Z30_gp132,AM1_140,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20200724,-
1965467,56137477,H1Z30_gp131,H1Z30_gp131,AM1_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137478,H1Z30_gp130,H1Z30_gp130,AM1_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137479,H1Z30_gp129,H1Z30_gp129,AM1_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137480,H1Z30_gp128,H1Z30_gp128,AM1_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137481,H1Z30_gp127,H1Z30_gp127,AM1_145,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20210515,-
1965467,56137482,H1Z30_gp126,H1Z30_gp126,AM1_146,-,-,-,holin,protein-coding,-,-,-,holin,20210515,-
1965467,56137483,H1Z30_gp125,H1Z30_gp125,AM1_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137484,H1Z30_gp124,H1Z30_gp124,AM1_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137485,H1Z30_gp123,H1Z30_gp123,AM1_149,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210515,-
1965467,56137486,H1Z30_gp122,H1Z30_gp122,AM1_150,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210515,-
1965467,56137487,H1Z30_gp121,H1Z30_gp121,AM1_151,-,-,-,tail component,protein-coding,-,-,-,tail component,20200724,-
1965467,56137488,H1Z30_gp120,H1Z30_gp120,AM1_152,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200724,-
1965467,56137489,H1Z30_gp119,H1Z30_gp119,AM1_153,-,-,-,zinc-ribbon-containing protein,protein-coding,-,-,-,zinc-ribbon-containing protein,20200724,-
1965467,56137490,H1Z30_gp118,H1Z30_gp118,AM1_154,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210515,-
1965467,56137491,H1Z30_gp117,H1Z30_gp117,AM1_155,-,-,-,integrase/site specific recombinase,protein-coding,-,-,-,integrase/site specific recombinase,20210515,-
1965467,56137492,H1Z30_gp116,H1Z30_gp116,AM1_156,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137493,H1Z30_gp115,H1Z30_gp115,AM1_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137494,H1Z30_gp114,H1Z30_gp114,AM1_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137495,H1Z30_gp113,H1Z30_gp113,AM1_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137496,H1Z30_gp112,H1Z30_gp112,AM1_160,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137497,H1Z30_gp111,H1Z30_gp111,AM1_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137498,H1Z30_gp110,H1Z30_gp110,AM1_162,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137499,H1Z30_gp109,H1Z30_gp109,AM1_163,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137500,H1Z30_gp108,H1Z30_gp108,AM1_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137501,H1Z30_gp107,H1Z30_gp107,AM1_165,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137502,H1Z30_gp106,H1Z30_gp106,AM1_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137503,H1Z30_gp105,H1Z30_gp105,AM1_167,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137504,H1Z30_gp104,H1Z30_gp104,AM1_168,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137505,H1Z30_gp103,H1Z30_gp103,AM1_169,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210515,-
1965467,56137506,H1Z30_gp102,H1Z30_gp102,AM1_170,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965467,56137507,H1Z30_gp101,H1Z30_gp101,AM1_171,-,-,-,protein YonF,protein-coding,-,-,-,protein YonF,20200724,-
1965467,56137508,H1Z30_gp100,H1Z30_gp100,AM1_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137509,H1Z30_gp099,H1Z30_gp099,AM1_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137510,H1Z30_gp098,H1Z30_gp098,AM1_174,-,-,-,phosphate-starvation-inducible protein PhoH/ATPase,protein-coding,-,-,-,phosphate-starvation-inducible protein PhoH/ATPase,20210515,-
1965467,56137511,H1Z30_gp097,H1Z30_gp097,AM1_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137512,H1Z30_gp096,H1Z30_gp096,AM1_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137513,H1Z30_gp095,H1Z30_gp095,AM1_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137514,H1Z30_gp094,H1Z30_gp094,AM1_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137515,H1Z30_gp178,H1Z30_gp178,AM1_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
