#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283258,62363065,2,JMN88_gp02,SEA_PITA2_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2283258,62363098,36,JMN88_gp62,SEA_PITA2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363099,37,JMN88_gp61,SEA_PITA2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283258,62363100,38,JMN88_gp60,SEA_PITA2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363101,39,JMN88_gp59,SEA_PITA2_39,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2283258,62363102,40,JMN88_gp58,SEA_PITA2_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363103,41,JMN88_gp57,SEA_PITA2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363104,42,JMN88_gp56,SEA_PITA2_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363105,43,JMN88_gp55,SEA_PITA2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363106,44,JMN88_gp54,SEA_PITA2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363107,45,JMN88_gp53,SEA_PITA2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363108,46,JMN88_gp52,SEA_PITA2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363109,47,JMN88_gp51,SEA_PITA2_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2283258,62363110,48,JMN88_gp50,SEA_PITA2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363111,49,JMN88_gp49,SEA_PITA2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363112,50,JMN88_gp48,SEA_PITA2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363113,51,JMN88_gp47,SEA_PITA2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283258,62363114,52,JMN88_gp46,SEA_PITA2_52,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2283258,62363115,53,JMN88_gp45,SEA_PITA2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363116,54,JMN88_gp44,SEA_PITA2_54,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210417,-
2283258,62363117,55,JMN88_gp43,SEA_PITA2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363118,56,JMN88_gp42,SEA_PITA2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363119,57,JMN88_gp41,SEA_PITA2_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363120,58,JMN88_gp40,SEA_PITA2_58,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2283258,62363121,59,JMN88_gp39,SEA_PITA2_59,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2283258,62363122,61,JMN88_gp37,SEA_PITA2_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283258,62363123,62,JMN88_gp36,SEA_PITA2_62,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2283258,62363124,63,JMN88_gp35,SEA_PITA2_63,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210417,-
2283258,62363125,64,JMN88_gp34,SEA_PITA2_64,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210417,-
2283258,62363126,65,JMN88_gp33,SEA_PITA2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363127,66,JMN88_gp32,SEA_PITA2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363128,67,JMN88_gp31,SEA_PITA2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363129,68,JMN88_gp30,SEA_PITA2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363130,69,JMN88_gp29,SEA_PITA2_69,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2283258,62363131,70,JMN88_gp28,SEA_PITA2_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2283258,62363132,71,JMN88_gp27,SEA_PITA2_71,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2283258,62363133,72,JMN88_gp26,SEA_PITA2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363134,73,JMN88_gp25,SEA_PITA2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2283258,62363135,74,JMN88_gp24,SEA_PITA2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363136,75,JMN88_gp23,SEA_PITA2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363137,76,JMN88_gp22,SEA_PITA2_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2283258,62363138,77,JMN88_gp21,SEA_PITA2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363139,78,JMN88_gp20,SEA_PITA2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363140,79,JMN88_gp19,SEA_PITA2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363141,80,JMN88_gp18,SEA_PITA2_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363142,82,JMN88_gp16,SEA_PITA2_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363143,83,JMN88_gp15,SEA_PITA2_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363144,84,JMN88_gp14,SEA_PITA2_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363145,85,JMN88_gp13,SEA_PITA2_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363146,86,JMN88_gp12,SEA_PITA2_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363147,87,JMN88_gp11,SEA_PITA2_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363148,89,JMN88_gp09,SEA_PITA2_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363149,90,JMN88_gp08,SEA_PITA2_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2283258,62363150,91,JMN88_gp07,SEA_PITA2_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283258,62363151,92,JMN88_gp06,SEA_PITA2_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363152,3,JMN88_gp03,SEA_PITA2_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363153,88,JMN88_gp10,SEA_PITA2_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283258,62363154,81,JMN88_gp17,SEA_PITA2_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363155,60,JMN88_gp38,SEA_PITA2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363156,1,JMN88_gp01,SEA_PITA2_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62368997,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
