#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2321390,65066016,KMC36_gp002,KMC36_gp002,PYPS2T_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2321390,65066028,KMC36_gp014,KMC36_gp014,PYPS2T_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066029,KMC36_gp015,KMC36_gp015,PYPS2T_015,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210607,-
2321390,65066030,KMC36_gp016,KMC36_gp016,PYPS2T_016,-,-,-,large head outer capsid protein,protein-coding,-,-,-,large head outer capsid protein,20210607,-
2321390,65066031,KMC36_gp017,KMC36_gp017,PYPS2T_017,-,-,-,minor capsid inhibitor protein of prohead protease,protein-coding,-,-,-,minor capsid inhibitor protein of prohead protease,20210607,-
2321390,65066032,KMC36_gp018,KMC36_gp018,PYPS2T_018,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2321390,65066033,KMC36_gp019,KMC36_gp019,PYPS2T_019,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2321390,65066034,KMC36_gp020,KMC36_gp020,PYPS2T_020,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2321390,65066035,KMC36_gp021,KMC36_gp021,PYPS2T_021,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2321390,65066036,KMC36_gp022,KMC36_gp022,PYPS2T_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066037,KMC36_gp023,KMC36_gp023,PYPS2T_023,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2321390,65066038,KMC36_gp024,KMC36_gp024,PYPS2T_024,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2321390,65066039,KMC36_gp025,KMC36_gp025,PYPS2T_025,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2321390,65066040,KMC36_gp026,KMC36_gp026,PYPS2T_026,-,-,-,baseplate hub protein,protein-coding,-,-,-,baseplate hub protein,20210607,-
2321390,65066041,KMC36_gp027,KMC36_gp027,PYPS2T_027,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210607,-
2321390,65066042,KMC36_gp028,KMC36_gp028,PYPS2T_028,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2321390,65066043,KMC36_gp029,KMC36_gp029,PYPS2T_029,-,-,-,distal hub subunit,protein-coding,-,-,-,distal hub subunit,20210609,-
2321390,65066044,KMC36_gp030,KMC36_gp030,PYPS2T_030,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20210607,-
2321390,65066045,KMC36_gp031,KMC36_gp031,PYPS2T_031,-,-,-,baseplate tail tube cap protein,protein-coding,-,-,-,baseplate tail tube cap protein,20210607,-
2321390,65066046,KMC36_gp032,KMC36_gp032,PYPS2T_032,-,-,-,baseplate tail tube initiator protein,protein-coding,-,-,-,baseplate tail tube initiator protein,20210607,-
2321390,65066047,KMC36_gp033,KMC36_gp033,PYPS2T_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066048,KMC36_gp034,KMC36_gp034,PYPS2T_034,-,-,-,RNA polymerase-ADP-ribosyltransferase,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase,20210607,-
2321390,65066049,KMC36_gp035,KMC36_gp035,PYPS2T_035,-,-,-,RNA polymerase-ADP-ribosyltransferase,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase,20210607,-
2321390,65066050,KMC36_gp036,KMC36_gp036,PYPS2T_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066051,KMC36_gp037,KMC36_gp037,PYPS2T_037,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2321390,65066052,KMC36_gp038,KMC36_gp038,PYPS2T_038,-,-,-,baseplate tail tube cap protein,protein-coding,-,-,-,baseplate tail tube cap protein,20210609,-
2321390,65066053,KMC36_gp039,KMC36_gp039,PYPS2T_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066054,KMC36_gp040,KMC36_gp040,PYPS2T_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066055,KMC36_gp041,KMC36_gp041,PYPS2T_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066056,KMC36_gp042,KMC36_gp042,PYPS2T_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066057,KMC36_gp043,KMC36_gp043,PYPS2T_043,-,-,-,base plate hub subunit,protein-coding,-,-,-,base plate hub subunit,20210607,-
2321390,65066058,KMC36_gp044,KMC36_gp044,PYPS2T_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2321390,65066059,KMC36_gp045,KMC36_gp045,PYPS2T_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066060,KMC36_gp046,KMC36_gp046,PYPS2T_046,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20210607,-
2321390,65066061,KMC36_gp047,KMC36_gp047,PYPS2T_047,-,-,-,head assembly chaperone protein,protein-coding,-,-,-,head assembly chaperone protein,20210612,-
2321390,65066062,KMC36_gp048,KMC36_gp048,PYPS2T_048,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210609,-
2321390,65066063,KMC36_gp049,KMC36_gp049,PYPS2T_049,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2321390,65066064,KMC36_gp050,KMC36_gp050,PYPS2T_050,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210609,-
2321390,65066065,KMC36_gp051,KMC36_gp051,PYPS2T_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066066,KMC36_gp052,KMC36_gp052,PYPS2T_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066067,KMC36_gp053,KMC36_gp053,PYPS2T_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066068,KMC36_gp054,KMC36_gp054,PYPS2T_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066069,KMC36_gp055,KMC36_gp055,PYPS2T_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066070,KMC36_gp056,KMC36_gp056,PYPS2T_056,-,-,-,signal-peptide domain-containing protein,protein-coding,-,-,-,signal-peptide domain-containing protein,20210607,-
2321390,65066071,KMC36_gp057,KMC36_gp057,PYPS2T_057,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210607,-
2321390,65066072,KMC36_gp058,KMC36_gp058,PYPS2T_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066073,KMC36_gp059,KMC36_gp059,PYPS2T_059,-,-,-,DNA metabolism protein,protein-coding,-,-,-,DNA metabolism protein,20210607,-
2321390,65066074,KMC36_gp060,KMC36_gp060,PYPS2T_060,-,-,-,outer membrane lipoprotein Rz1,protein-coding,-,-,-,outer membrane lipoprotein Rz1,20210607,-
2321390,65066075,KMC36_gp061,KMC36_gp061,PYPS2T_061,-,-,-,spanin Rz protein,protein-coding,-,-,-,spanin Rz protein,20210607,-
2321390,65066076,KMC36_gp062,KMC36_gp062,PYPS2T_62,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2321390,65066077,KMC36_gp063,KMC36_gp063,PYPS2T_063,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2321390,65066078,KMC36_gp064,KMC36_gp064,PYPS2T_064,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210612,-
2321390,65066079,KMC36_gp065,KMC36_gp065,PYPS2T_065,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",20210607,-
2321390,65066080,KMC36_gp066,KMC36_gp066,PYPS2T_066,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20210607,-
2321390,65066081,KMC36_gp067,KMC36_gp067,PYPS2T_067,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20210607,-
2321390,65066082,KMC36_gp068,KMC36_gp068,PYPS2T_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2321390,65066083,KMC36_gp069,KMC36_gp069,PYPS2T_069,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2321390,65066084,KMC36_gp070,KMC36_gp070,PYPS2T_070,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210612,-
2321390,65066085,KMC36_gp071,KMC36_gp071,PYPS2T_071,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2321390,65066086,KMC36_gp072,KMC36_gp072,PYPS2T_072,-,-,-,flagellar biosynthesis protein,protein-coding,-,-,-,flagellar biosynthesis protein,20210607,-
2321390,65066087,KMC36_gp073,KMC36_gp073,PYPS2T_073,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2321390,65066088,KMC36_gp074,KMC36_gp074,PYPS2T_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066089,KMC36_gp075,KMC36_gp075,PYPS2T_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066090,KMC36_gp076,KMC36_gp076,PYPS2T_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066091,KMC36_gp077,KMC36_gp077,PYPS2T_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066092,KMC36_gp078,KMC36_gp078,PYPS2T_078,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2321390,65066093,KMC36_gp079,KMC36_gp079,PYPS2T_079,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2321390,65066094,KMC36_gp080,KMC36_gp080,PYPS2T_080,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2321390,65066095,KMC36_gp081,KMC36_gp081,PYPS2T_081,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2321390,65066096,KMC36_gp082,KMC36_gp082,PYPS2T_082,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2321390,65066097,KMC36_gp083,KMC36_gp083,PYPS2T_083,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210612,-
2321390,65066098,KMC36_gp084,KMC36_gp084,PYPS2T_084,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210607,-
2321390,65066099,KMC36_gp085,KMC36_gp085,PYPS2T_085,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2321390,65066100,KMC36_gp086,KMC36_gp086,PYPS2T_086,-,-,-,hinge connector of long tail fiber proximal protein,protein-coding,-,-,-,hinge connector of long tail fiber proximal protein,20210609,-
2321390,65066101,KMC36_gp087,KMC36_gp087,PYPS2T_087,-,-,-,tail connector protein,protein-coding,-,-,-,tail connector protein,20210607,-
2321390,65066102,KMC36_gp088,KMC36_gp088,PYPS2T_088,-,-,-,large tail fiber subunit,protein-coding,-,-,-,large tail fiber subunit,20210607,-
2321390,65066103,KMC36_gp089,KMC36_gp089,PYPS2T_089,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2321390,65066104,KMC36_gp090,KMC36_gp090,PYPS2T_090,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2321390,65066105,KMC36_gp091,KMC36_gp091,PYPS2T_091,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210612,-
2321390,65066106,KMC36_gp092,KMC36_gp092,PYPS2T_092,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210607,-
2321390,65066107,KMC36_gp093,KMC36_gp093,PYPS2T_093,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2321390,65066108,KMC36_gp094,KMC36_gp094,PYPS2T_094,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2321390,65066109,KMC36_gp095,KMC36_gp095,PYPS2T_095,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2321390,65066110,KMC36_gp096,KMC36_gp096,PYPS2T_096,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2321390,65066111,KMC36_gp097,KMC36_gp097,PYPS2T_097,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2321390,65066112,KMC36_gp098,KMC36_gp098,PYPS2T_098,-,-,-,transcriptional regulator of middle promoters,protein-coding,-,-,-,transcriptional regulator of middle promoters,20210607,-
2321390,65066113,KMC36_gp099,KMC36_gp099,PYPS2T_099,-,-,-,flagellar motor protein,protein-coding,-,-,-,flagellar motor protein,20210607,-
2321390,65066114,KMC36_gp100,KMC36_gp100,PYPS2T_100,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210607,-
2321390,65066115,KMC36_gp101,KMC36_gp101,PYPS2T_101,-,-,-,acridine resistance,protein-coding,-,-,-,acridine resistance,20210607,-
2321390,65066116,KMC36_gp102,KMC36_gp102,PYPS2T_102,-,-,-,nuclear disruption protein,protein-coding,-,-,-,nuclear disruption protein,20210607,-
2321390,65066117,KMC36_gp103,KMC36_gp103,PYPS2T_103,-,-,-,"naphthalene 1,2-dioxygenase",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase",20210607,-
2321390,65066118,KMC36_gp104,KMC36_gp104,PYPS2T_104,-,-,-,"naphthalene 1,2-dioxygenase",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase",20210607,-
2321390,65066119,KMC36_gp105,KMC36_gp105,PYPS2T_105,-,-,-,"naphthalene 1,2-dioxygenase",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase",20210607,-
2321390,65066120,KMC36_gp106,KMC36_gp106,PYPS2T_106,-,-,-,"naphthalene 1,2-dioxygenase",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase",20210607,-
2321390,65066121,KMC36_gp107,KMC36_gp107,PYPS2T_107,-,-,-,exopolysaccharide biosynthesis protein,protein-coding,-,-,-,exopolysaccharide biosynthesis protein,20210607,-
2321390,65066122,KMC36_gp108,KMC36_gp108,PYPS2T_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066123,KMC36_gp109,KMC36_gp109,PYPS2T_109,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2321390,65066124,KMC36_gp110,KMC36_gp110,PYPS2T_110,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2321390,65066125,KMC36_gp111,KMC36_gp111,PYPS2T_111,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20210609,-
2321390,65066126,KMC36_gp112,KMC36_gp112,PYPS2T_112,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20210607,-
2321390,65066127,KMC36_gp113,KMC36_gp113,PYPS2T_113,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210609,-
2321390,65066128,KMC36_gp114,KMC36_gp114,PYPS2T_114,-,-,-,DNA topoisomerase large subunit,protein-coding,-,-,-,DNA topoisomerase large subunit,20210609,-
2321390,65066129,KMC36_gp115,KMC36_gp115,PYPS2T_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066130,KMC36_gp116,KMC36_gp116,PYPS2T_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066131,KMC36_gp117,KMC36_gp117,PYPS2T_117,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210607,-
2321390,65066132,KMC36_gp118,KMC36_gp118,PYPS2T_118,-,-,-,RNA metabolism moderator,protein-coding,-,-,-,RNA metabolism moderator,20210607,-
2321390,65066133,KMC36_gp119,KMC36_gp119,PYPS2T_119,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20210607,-
2321390,65066134,KMC36_gp120,KMC36_gp120,PYPS2T_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066135,KMC36_gp121,KMC36_gp121,PYPS2T_121,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2321390,65066136,KMC36_gp122,KMC36_gp122,PYPS2T_122,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2321390,65066137,KMC36_gp123,KMC36_gp123,PYPS2T_123,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2321390,65066138,KMC36_gp124,KMC36_gp124,PYPS2T_124,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2321390,65066139,KMC36_gp125,KMC36_gp125,PYPS2T_125,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2321390,65066140,KMC36_gp126,KMC36_gp126,PYPS2T_126,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2321390,65066141,KMC36_gp127,KMC36_gp127,PYPS2T_127,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2321390,65066142,KMC36_gp128,KMC36_gp128,PYPS2T_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066143,KMC36_gp129,KMC36_gp129,PYPS2T_129,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210607,-
2321390,65066144,KMC36_gp130,KMC36_gp130,PYPS2T_130,-,-,-,NAD-protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD-protein ADP-ribosyltransferase,20210607,-
2321390,65066145,KMC36_gp131,KMC36_gp131,PYPS2T_131,-,-,-,NAD-protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD-protein ADP-ribosyltransferase,20210607,-
2321390,65066146,KMC36_gp132,KMC36_gp132,PYPS2T_132,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210607,-
2321390,65066147,KMC36_gp133,KMC36_gp133,PYPS2T_133,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210607,-
2321390,65066148,KMC36_gp134,KMC36_gp134,PYPS2T_134,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210607,-
2321390,65066149,KMC36_gp135,KMC36_gp135,PYPS2T_135,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2321390,65066150,KMC36_gp136,KMC36_gp136,PYPS2T_136,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210607,-
2321390,65066151,KMC36_gp137,KMC36_gp137,PYPS2T_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066152,KMC36_gp138,KMC36_gp138,PYPS2T_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066153,KMC36_gp139,KMC36_gp139,PYPS2T_139,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2321390,65066154,KMC36_gp140,KMC36_gp140,PYPS2T_140,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2321390,65066155,KMC36_gp141,KMC36_gp141,PYPS2T_141,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20210607,-
2321390,65066156,KMC36_gp142,KMC36_gp142,PYPS2T_142,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2321390,65066157,KMC36_gp143,KMC36_gp143,PYPS2T_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066158,KMC36_gp144,KMC36_gp144,PYPS2T_144,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
2321390,65066159,KMC36_gp145,KMC36_gp145,PYPS2T_145,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2321390,65066160,KMC36_gp146,KMC36_gp146,PYPS2T_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066161,KMC36_gp147,KMC36_gp147,PYPS2T_147,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2321390,65066162,KMC36_gp148,KMC36_gp148,PYPS2T_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066163,KMC36_gp149,KMC36_gp149,PYPS2T_149,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210607,-
2321390,65066164,KMC36_gp150,KMC36_gp150,PYPS2T_150,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210607,-
2321390,65066165,KMC36_gp151,KMC36_gp151,PYPS2T_151,-,-,-,head formation protein,protein-coding,-,-,-,head formation protein,20210607,-
2321390,65066166,KMC36_gp152,KMC36_gp152,PYPS2T_152,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210609,-
2321390,65066167,KMC36_gp153,KMC36_gp153,PYPS2T_153,-,-,-,glucosyltransferase,protein-coding,-,-,-,glucosyltransferase,20210607,-
2321390,65066168,KMC36_gp154,KMC36_gp154,PYPS2T_154,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2321390,65066169,KMC36_gp155,KMC36_gp155,PYPS2T_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066170,KMC36_gp156,KMC36_gp156,PYPS2T_156,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210609,-
2321390,65066171,KMC36_gp157,KMC36_gp157,PYPS2T_157,-,-,-,immunity protein,protein-coding,-,-,-,immunity protein,20210607,-
2321390,65066172,KMC36_gp158,KMC36_gp158,PYPS2T_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066173,KMC36_gp159,KMC36_gp159,PYPS2T_159,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2321390,65066174,KMC36_gp160,KMC36_gp160,PYPS2T_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066175,KMC36_gp161,KMC36_gp161,PYPS2T_161,-,-,-,endoribonuclease translational repressor of early genes,protein-coding,-,-,-,endoribonuclease translational repressor of early genes,20210612,-
2321390,65066176,KMC36_gp162,KMC36_gp162,PYPS2T_162,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210607,-
2321390,65066177,KMC36_gp163,KMC36_gp163,PYPS2T_163,-,-,-,replication factor C small subunit / DNA polymerase clamp loader subunit,protein-coding,-,-,-,replication factor C small subunit / DNA polymerase clamp loader subunit,20210607,-
2321390,65066178,KMC36_gp164,KMC36_gp164,PYPS2T_164,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210609,-
2321390,65066179,KMC36_gp165,KMC36_gp165,PYPS2T_165,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2321390,65066180,KMC36_gp166,KMC36_gp166,PYPS2T_166,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2321390,65066181,KMC36_gp167,KMC36_gp167,PYPS2T_167,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210607,-
2321390,65066182,KMC36_gp168,KMC36_gp168,PYPS2T_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2321390,65066183,KMC36_gp169,KMC36_gp169,PYPS2T_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066184,KMC36_gp170,KMC36_gp170,PYPS2T_170,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210609,-
2321390,65066185,KMC36_gp171,KMC36_gp171,PYPS2T_171,-,-,-,alpha glucosyltransferase,protein-coding,-,-,-,alpha glucosyltransferase,20210607,-
2321390,65066186,KMC36_gp172,KMC36_gp172,PYPS2T_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
