#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887643,29066130,2,BIZ76_gp02,SEA_CAPTAINKIRK2_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201010,-
1887643,29066182,54,BIZ76_gp54,SEA_CAPTAINKIRK2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066183,55,BIZ76_gp55,SEA_CAPTAINKIRK2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066184,56,BIZ76_gp56,SEA_CAPTAINKIRK2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066185,57,BIZ76_gp57,SEA_CAPTAINKIRK2_57,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201010,-
1887643,29066186,58,BIZ76_gp58,SEA_CAPTAINKIRK2_58,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201010,-
1887643,29066187,59,BIZ76_gp59,SEA_CAPTAINKIRK2_59,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20201010,-
1887643,29066188,60,BIZ76_gp60,SEA_CAPTAINKIRK2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066189,61,BIZ76_gp61,SEA_CAPTAINKIRK2_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066190,62,BIZ76_gp62,SEA_CAPTAINKIRK2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066191,63,BIZ76_gp63,SEA_CAPTAINKIRK2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066192,64,BIZ76_gp64,SEA_CAPTAINKIRK2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066193,65,BIZ76_gp65,SEA_CAPTAINKIRK2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066194,66,BIZ76_gp66,SEA_CAPTAINKIRK2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066195,67,BIZ76_gp67,SEA_CAPTAINKIRK2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066196,68,BIZ76_gp68,SEA_CAPTAINKIRK2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066197,69,BIZ76_gp69,SEA_CAPTAINKIRK2_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066198,70,BIZ76_gp70,SEA_CAPTAINKIRK2_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066199,71,BIZ76_gp71,SEA_CAPTAINKIRK2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066200,72,BIZ76_gp72,SEA_CAPTAINKIRK2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066201,73,BIZ76_gp73,SEA_CAPTAINKIRK2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066202,74,BIZ76_gp74,SEA_CAPTAINKIRK2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066203,75,BIZ76_gp75,SEA_CAPTAINKIRK2_75,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1887643,29066204,76,BIZ76_gp76,SEA_CAPTAINKIRK2_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066205,77,BIZ76_gp77,SEA_CAPTAINKIRK2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066206,78,BIZ76_gp78,SEA_CAPTAINKIRK2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066207,79,BIZ76_gp79,SEA_CAPTAINKIRK2_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1887643,29066208,1,BIZ76_gp01,SEA_CAPTAINKIRK2_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1887643,29140072,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
