#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163591,60327428,2,I5H27_gp002,SEA_DILLTECH15_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2163591,60327466,40,I5H27_gp040,SEA_DILLTECH15_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327467,41,I5H27_gp041,SEA_DILLTECH15_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163591,60327468,42,I5H27_gp042,SEA_DILLTECH15_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327469,43,I5H27_gp043,SEA_DILLTECH15_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2163591,60327470,44,I5H27_gp044,SEA_DILLTECH15_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327471,46,I5H27_gp046,SEA_DILLTECH15_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163591,60327472,45,I5H27_gp045,SEA_DILLTECH15_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163591,60327473,47,I5H27_gp047,SEA_DILLTECH15_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327474,48,I5H27_gp048,SEA_DILLTECH15_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2163591,60327475,49,I5H27_gp049,SEA_DILLTECH15_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327476,50,I5H27_gp050,SEA_DILLTECH15_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327477,51,I5H27_gp051,SEA_DILLTECH15_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327478,52,I5H27_gp052,SEA_DILLTECH15_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327479,53,I5H27_gp053,SEA_DILLTECH15_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163591,60327480,54,I5H27_gp054,SEA_DILLTECH15_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2163591,60327481,55,I5H27_gp055,SEA_DILLTECH15_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2163591,60327482,56,I5H27_gp056,SEA_DILLTECH15_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163591,60327483,57,I5H27_gp057,SEA_DILLTECH15_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2163591,60327484,58,I5H27_gp058,SEA_DILLTECH15_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327485,59,I5H27_gp059,SEA_DILLTECH15_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327486,60,I5H27_gp060,SEA_DILLTECH15_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163591,60327487,61,I5H27_gp061,SEA_DILLTECH15_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2163591,60327488,62,I5H27_gp062,SEA_DILLTECH15_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327489,63,I5H27_gp063,SEA_DILLTECH15_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2163591,60327490,64,I5H27_gp064,SEA_DILLTECH15_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327491,65,I5H27_gp065,SEA_DILLTECH15_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327492,66,I5H27_gp066,SEA_DILLTECH15_66,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2163591,60327493,67,I5H27_gp067,SEA_DILLTECH15_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327494,68,I5H27_gp068,SEA_DILLTECH15_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327495,69,I5H27_gp069,SEA_DILLTECH15_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327496,70,I5H27_gp070,SEA_DILLTECH15_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327497,71,I5H27_gp071,SEA_DILLTECH15_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327498,72,I5H27_gp072,SEA_DILLTECH15_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327499,73,I5H27_gp073,SEA_DILLTECH15_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2163591,60327500,74,I5H27_gp074,SEA_DILLTECH15_74,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2163591,60327501,75,I5H27_gp075,SEA_DILLTECH15_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327502,76,I5H27_gp076,SEA_DILLTECH15_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327503,77,I5H27_gp077,SEA_DILLTECH15_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327504,78,I5H27_gp078,SEA_DILLTECH15_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327505,80,I5H27_gp080,SEA_DILLTECH15_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327506,81,I5H27_gp081,SEA_DILLTECH15_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327507,82,I5H27_gp082,SEA_DILLTECH15_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327508,83,I5H27_gp083,SEA_DILLTECH15_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327509,84,I5H27_gp084,SEA_DILLTECH15_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2163591,60327510,85,I5H27_gp085,SEA_DILLTECH15_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327511,86,I5H27_gp086,SEA_DILLTECH15_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327512,87,I5H27_gp087,SEA_DILLTECH15_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327513,88,I5H27_gp088,SEA_DILLTECH15_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327514,89,I5H27_gp089,SEA_DILLTECH15_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327515,90,I5H27_gp090,SEA_DILLTECH15_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327516,91,I5H27_gp091,SEA_DILLTECH15_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327517,92,I5H27_gp092,SEA_DILLTECH15_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327518,93,I5H27_gp093,SEA_DILLTECH15_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327519,94,I5H27_gp094,SEA_DILLTECH15_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327520,95,I5H27_gp095,SEA_DILLTECH15_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327521,96,I5H27_gp096,SEA_DILLTECH15_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327522,97,I5H27_gp097,SEA_DILLTECH15_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327523,99,I5H27_gp099,SEA_DILLTECH15_99,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210406,-
2163591,60327524,100,I5H27_gp100,SEA_DILLTECH15_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327525,101,I5H27_gp101,SEA_DILLTECH15_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327526,102,I5H27_gp102,SEA_DILLTECH15_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327527,103,I5H27_gp103,SEA_DILLTECH15_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327528,104,I5H27_gp104,SEA_DILLTECH15_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327529,105,I5H27_gp105,SEA_DILLTECH15_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327530,106,I5H27_gp106,SEA_DILLTECH15_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327531,107,I5H27_gp107,SEA_DILLTECH15_107,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210424,-
2163591,60327532,108,I5H27_gp108,SEA_DILLTECH15_108,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2163591,60327533,109,I5H27_gp109,SEA_DILLTECH15_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327534,110,I5H27_gp110,SEA_DILLTECH15_110,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2163591,60327535,111,I5H27_gp111,SEA_DILLTECH15_111,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2163591,60327536,79,I5H27_gp079,SEA_DILLTECH15_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327537,98,I5H27_gp098,SEA_DILLTECH15_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327538,1,I5H27_gp001,SEA_DILLTECH15_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2163591,60338661,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
