#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2601680,55621193,HWC58_gp002,HWC58_gp002,CPT_Moby_002,-,-,-,terminase,protein-coding,-,-,-,terminase,20200912,-
2601680,55621220,HWC58_gp029,HWC58_gp029,CPT_Moby_029,-,-,-,sliding clamp loader subunit,protein-coding,-,-,-,sliding clamp loader subunit,20210424,-
2601680,55621221,HWC58_gp030,HWC58_gp030,CPT_Moby_030,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20210424,-
2601680,55621222,HWC58_gp031,HWC58_gp031,CPT_Moby_031,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210424,-
2601680,55621223,HWC58_gp032,HWC58_gp032,CPT_Moby_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621224,HWC58_gp033,HWC58_gp033,CPT_Moby_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621225,HWC58_gp034,HWC58_gp034,CPT_Moby_034,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200912,-
2601680,55621226,HWC58_gp035,HWC58_gp035,CPT_Moby_035,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20200910,-
2601680,55621227,HWC58_gp036,HWC58_gp036,CPT_Moby_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621228,HWC58_gp037,HWC58_gp037,CPT_Moby_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621229,HWC58_gp038,HWC58_gp038,CPT_Moby_038,-,-,-,GTP cyclohydrolase 1,protein-coding,-,-,-,GTP cyclohydrolase 1,20200912,-
2601680,55621230,HWC58_gp039,HWC58_gp039,CPT_Moby_039,-,-,-,inositol-3-phosphate synthase,protein-coding,-,-,-,inositol-3-phosphate synthase,20210424,-
2601680,55621231,HWC58_gp040,HWC58_gp040,CPT_Moby_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621232,HWC58_gp041,HWC58_gp041,CPT_Moby_041,-,-,-,QueC-like queosine biosynthesis protein,protein-coding,-,-,-,QueC-like queosine biosynthesis protein,20210424,-
2601680,55621233,HWC58_gp042,HWC58_gp042,CPT_Moby_042,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20200910,-
2601680,55621234,HWC58_gp043,HWC58_gp043,CPT_Moby_043,-,-,-,QueE-like queosine biosynthesis protein,protein-coding,-,-,-,QueE-like queosine biosynthesis protein,20200912,-
2601680,55621235,HWC58_gp044,HWC58_gp044,CPT_Moby_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621236,HWC58_gp045,HWC58_gp045,CPT_Moby_045,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200912,-
2601680,55621237,HWC58_gp046,HWC58_gp046,CPT_Moby_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621238,HWC58_gp047,HWC58_gp047,CPT_Moby_047,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20200910,-
2601680,55621239,HWC58_gp048,HWC58_gp048,CPT_Moby_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621240,HWC58_gp049,HWC58_gp049,CPT_Moby_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621241,HWC58_gp050,HWC58_gp050,CPT_Moby_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621242,HWC58_gp051,HWC58_gp051,CPT_Moby_051,-,-,-,nucleotidyl transferase,protein-coding,-,-,-,nucleotidyl transferase,20210424,-
2601680,55621243,HWC58_gp052,HWC58_gp052,CPT_Moby_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621244,HWC58_gp053,HWC58_gp053,CPT_Moby_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2601680,55621245,HWC58_gp054,HWC58_gp054,CPT_Moby_054,-,-,-,baseplate hub protein,protein-coding,-,-,-,baseplate hub protein,20200912,-
2601680,55621246,HWC58_gp055,HWC58_gp055,CPT_Moby_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621247,HWC58_gp056,HWC58_gp056,CPT_Moby_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2601680,55621248,HWC58_gp057,HWC58_gp057,CPT_Moby_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621249,HWC58_gp058,HWC58_gp058,CPT_Moby_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621250,HWC58_gp059,HWC58_gp059,CPT_Moby_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621251,HWC58_gp060,HWC58_gp060,CPT_Moby_060,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
2601680,55621252,HWC58_gp061,HWC58_gp061,CPT_Moby_061,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20200912,-
2601680,55621253,HWC58_gp062,HWC58_gp062,CPT_Moby_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621254,HWC58_gp063,HWC58_gp063,CPT_Moby_063,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20200910,-
2601680,55621255,HWC58_gp064,HWC58_gp064,CPT_Moby_064,-,-,-,late-transcription coactivator,protein-coding,-,-,-,late-transcription coactivator,20200912,-
2601680,55621256,HWC58_gp065,HWC58_gp065,CPT_Moby_065,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20200912,-
2601680,55621257,HWC58_gp066,HWC58_gp066,CPT_Moby_066,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210424,-
2601680,55621258,HWC58_gp067,HWC58_gp067,CPT_Moby_067,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20210424,-
2601680,55621259,HWC58_gp068,HWC58_gp068,CPT_Moby_068,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2601680,55621260,HWC58_gp069,HWC58_gp069,CPT_Moby_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621261,HWC58_gp070,HWC58_gp070,CPT_Moby_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621262,HWC58_gp071,HWC58_gp071,CPT_Moby_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621263,HWC58_gp072,HWC58_gp072,CPT_Moby_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621264,HWC58_gp073,HWC58_gp073,CPT_Moby_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621265,HWC58_gp074,HWC58_gp074,CPT_Moby_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621266,HWC58_gp075,HWC58_gp075,CPT_Moby_075,-,-,-,bifunctional NMN adenylyltransferase/Nudix hydrolase,protein-coding,-,-,-,bifunctional NMN adenylyltransferase/Nudix hydrolase,20200912,-
2601680,55621267,HWC58_gp076,HWC58_gp076,CPT_Moby_076,-,-,-,nicotinate phosphoribosyltransferase,protein-coding,-,-,-,nicotinate phosphoribosyltransferase,20200912,-
2601680,55621268,HWC58_gp077,HWC58_gp077,CPT_Moby_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621269,HWC58_gp078,HWC58_gp078,CPT_Moby_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621270,HWC58_gp079,HWC58_gp079,CPT_Moby_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621271,HWC58_gp080,HWC58_gp080,CPT_Moby_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621272,HWC58_gp081,HWC58_gp081,CPT_Moby_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621273,HWC58_gp082,HWC58_gp082,CPT_Moby_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621274,HWC58_gp083,HWC58_gp083,CPT_Moby_083,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2601680,55621275,HWC58_gp084,HWC58_gp084,CPT_Moby_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621276,HWC58_gp085,HWC58_gp085,CPT_Moby_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621277,HWC58_gp086,HWC58_gp086,CPT_Moby_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621278,HWC58_gp087,HWC58_gp087,CPT_Moby_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621279,HWC58_gp088,HWC58_gp088,CPT_Moby_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621280,HWC58_gp089,HWC58_gp089,CPT_Moby_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621281,HWC58_gp090,HWC58_gp090,CPT_Moby_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621282,HWC58_gp091,HWC58_gp091,CPT_Moby_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621283,HWC58_gp092,HWC58_gp092,CPT_Moby_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621284,HWC58_gp093,HWC58_gp093,CPT_Moby_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621285,HWC58_gp094,HWC58_gp094,CPT_Moby_094,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
2601680,55621286,HWC58_gp095,HWC58_gp095,CPT_Moby_095,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200910,-
2601680,55621287,HWC58_gp096,HWC58_gp096,CPT_Moby_096,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210424,-
2601680,55621288,HWC58_gp097,HWC58_gp097,CPT_Moby_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621289,HWC58_gp098,HWC58_gp098,CPT_Moby_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621290,HWC58_gp099,HWC58_gp099,CPT_Moby_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621291,HWC58_gp100,HWC58_gp100,CPT_Moby_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621292,HWC58_gp101,HWC58_gp101,CPT_Moby_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621293,HWC58_gp102,HWC58_gp102,CPT_Moby_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621294,HWC58_gp103,HWC58_gp103,CPT_Moby_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621295,HWC58_gt001,HWC58_gt001,CPT_Moby_104,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621296,HWC58_gt002,HWC58_gt002,CPT_Moby_105,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621297,HWC58_gp271,HWC58_gp271,CPT_Moby_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621298,HWC58_gt003,HWC58_gt003,CPT_Moby_107,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621299,HWC58_gp270,HWC58_gp270,CPT_Moby_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621300,HWC58_gp269,HWC58_gp269,CPT_Moby_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621301,HWC58_gp268,HWC58_gp268,CPT_Moby_110,-,-,-,ribonucleoside diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleoside diphosphate reductase alpha subunit,20200912,-
2601680,55621302,HWC58_gp267,HWC58_gp267,CPT_Moby_111,-,-,-,ribonucleoside diphosphate reductase beta subunit,protein-coding,-,-,-,ribonucleoside diphosphate reductase beta subunit,20210424,-
2601680,55621303,HWC58_gp266,HWC58_gp266,CPT_Moby_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621304,HWC58_gp265,HWC58_gp265,CPT_Moby_113,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200912,-
2601680,55621305,HWC58_gp264,HWC58_gp264,CPT_Moby_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621306,HWC58_gp263,HWC58_gp263,CPT_Moby_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621307,HWC58_gp262,HWC58_gp262,CPT_Moby_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621308,HWC58_gp261,HWC58_gp261,CPT_Moby_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621309,HWC58_gp260,HWC58_gp260,CPT_Moby_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621310,HWC58_gp259,HWC58_gp259,CPT_Moby_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621311,HWC58_gp258,HWC58_gp258,CPT_Moby_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621312,HWC58_gp257,HWC58_gp257,CPT_Moby_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621313,HWC58_gp256,HWC58_gp256,CPT_Moby_122,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200912,-
2601680,55621314,HWC58_gp255,HWC58_gp255,CPT_Moby_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621315,HWC58_gp254,HWC58_gp254,CPT_Moby_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621316,HWC58_gp253,HWC58_gp253,CPT_Moby_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621317,HWC58_gp252,HWC58_gp252,CPT_Moby_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621318,HWC58_gp251,HWC58_gp251,CPT_Moby_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621319,HWC58_gp250,HWC58_gp250,CPT_Moby_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621320,HWC58_gp249,HWC58_gp249,CPT_Moby_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621321,HWC58_gt004,HWC58_gt004,CPT_Moby_130,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621322,HWC58_gt005,HWC58_gt005,CPT_Moby_131,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621323,HWC58_gt006,HWC58_gt006,CPT_Moby_132,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621324,HWC58_gt007,HWC58_gt007,CPT_Moby_133,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621325,HWC58_gt008,HWC58_gt008,CPT_Moby_134,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621326,HWC58_gt009,HWC58_gt009,CPT_Moby_135,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621327,HWC58_gp248,HWC58_gp248,CPT_Moby_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621328,HWC58_gt010,HWC58_gt010,CPT_Moby_137,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621329,HWC58_gp247,HWC58_gp247,CPT_Moby_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2601680,55621330,HWC58_gt011,HWC58_gt011,CPT_Moby_139,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621331,HWC58_gt012,HWC58_gt012,CPT_Moby_140,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621332,HWC58_gt013,HWC58_gt013,CPT_Moby_141,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621333,HWC58_gt014,HWC58_gt014,CPT_Moby_142,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621334,HWC58_gt015,HWC58_gt015,CPT_Moby_143,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621335,HWC58_gt016,HWC58_gt016,CPT_Moby_144,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621336,HWC58_gt017,HWC58_gt017,CPT_Moby_145,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621337,HWC58_gp246,HWC58_gp246,CPT_Moby_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621338,HWC58_gt018,HWC58_gt018,CPT_Moby_147,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621339,HWC58_gt019,HWC58_gt019,CPT_Moby_148,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621340,HWC58_gt020,HWC58_gt020,CPT_Moby_149,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621341,HWC58_gt021,HWC58_gt021,CPT_Moby_150,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621342,HWC58_gt022,HWC58_gt022,CPT_Moby_151,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621343,HWC58_gp245,HWC58_gp245,CPT_Moby_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621344,HWC58_gt023,HWC58_gt023,CPT_Moby_153,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2601680,55621345,HWC58_gp244,HWC58_gp244,CPT_Moby_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621346,HWC58_gp243,HWC58_gp243,CPT_Moby_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621347,HWC58_gp242,HWC58_gp242,CPT_Moby_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621348,HWC58_gp241,HWC58_gp241,CPT_Moby_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621349,HWC58_gp240,HWC58_gp240,CPT_Moby_158,-,-,-,metallophosphatase,protein-coding,-,-,-,metallophosphatase,20210424,-
2601680,55621350,HWC58_gp239,HWC58_gp239,CPT_Moby_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621351,HWC58_gp238,HWC58_gp238,CPT_Moby_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621352,HWC58_gp237,HWC58_gp237,CPT_Moby_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621353,HWC58_gp236,HWC58_gp236,CPT_Moby_162,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200912,-
2601680,55621354,HWC58_gp235,HWC58_gp235,CPT_Moby_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621355,HWC58_gp234,HWC58_gp234,CPT_Moby_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621356,HWC58_gp233,HWC58_gp233,CPT_Moby_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621357,HWC58_gp232,HWC58_gp232,CPT_Moby_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2601680,55621358,HWC58_gp231,HWC58_gp231,CPT_Moby_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621359,HWC58_gp230,HWC58_gp230,CPT_Moby_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621360,HWC58_gp229,HWC58_gp229,CPT_Moby_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621361,HWC58_gp228,HWC58_gp228,CPT_Moby_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621362,HWC58_gp227,HWC58_gp227,CPT_Moby_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621363,HWC58_gp226,HWC58_gp226,CPT_Moby_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621364,HWC58_gp225,HWC58_gp225,CPT_Moby_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621365,HWC58_gp224,HWC58_gp224,CPT_Moby_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621366,HWC58_gp223,HWC58_gp223,CPT_Moby_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621367,HWC58_gp222,HWC58_gp222,CPT_Moby_176,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2601680,55621368,HWC58_gp221,HWC58_gp221,CPT_Moby_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621369,HWC58_gp220,HWC58_gp220,CPT_Moby_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621370,HWC58_gp219,HWC58_gp219,CPT_Moby_179,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210424,-
