#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718278,29126233,BJD47_gp02,BJD47_gp02,BiPBO1_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1718278,29126259,BJD47_gp28,BJD47_gp28,BiPBO1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126260,BJD47_gp29,BJD47_gp29,BiPBO1_29,-,-,-,fibronectin type III domain-containing protein,protein-coding,-,-,-,fibronectin type III domain-containing protein,20201221,-
1718278,29126261,BJD47_gp30,BJD47_gp30,BiPBO1_30,-,-,-,pectate lysase superfamily protein,protein-coding,-,-,-,pectate lysase superfamily protein,20200629,-
1718278,29126262,BJD47_gp31,BJD47_gp31,BiPBO1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126263,BJD47_gp32,BJD47_gp32,BiPBO1_32,-,-,-,acyltransferase,protein-coding,-,-,-,acyltransferase,20200629,-
1718278,29126264,BJD47_gp33,BJD47_gp33,BiPBO1_33,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200629,-
1718278,29126265,BJD47_gp34,BJD47_gp34,BiPBO1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126266,BJD47_gp35,BJD47_gp35,BiPBO1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126267,BJD47_gp36,BJD47_gp36,BiPBO1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126268,BJD47_gp37,BJD47_gp37,BiPBO1_37,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20201221,-
1718278,29126269,BJD47_gp38,BJD47_gp38,BiPBO1_38,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20200629,-
1718278,29126270,BJD47_gp39,BJD47_gp39,BiPBO1_39,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20201221,-
1718278,29126271,BJD47_gp40,BJD47_gp40,BiPBO1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126272,BJD47_gp41,BJD47_gp41,BiPBO1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126273,BJD47_gp42,BJD47_gp42,BiPBO1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126274,BJD47_gp43,BJD47_gp43,BiPBO1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126275,BJD47_gp44,BJD47_gp44,BiPBO1_44,-,-,-,DUF1382 family protein,protein-coding,-,-,-,DUF1382 family protein,20201221,-
1718278,29126276,BJD47_gp45,BJD47_gp45,BiPBO1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126277,BJD47_gp46,BJD47_gp46,BiPBO1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126278,BJD47_gp47,BJD47_gp47,BiPBO1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126279,BJD47_gp48,BJD47_gp48,BiPBO1_48,-,-,-,ASCH domain-containing protein,protein-coding,-,-,-,ASCH domain-containing protein,20201221,-
1718278,29126280,BJD47_gp49,BJD47_gp49,BiPBO1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126281,BJD47_gp50,BJD47_gp50,BiPBO1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126282,BJD47_gp51,BJD47_gp51,BiPBO1_51,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1718278,29126283,BJD47_gp52,BJD47_gp52,BiPBO1_52,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1718278,29126284,BJD47_gp53,BJD47_gp53,BiPBO1_53,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,protein-coding,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,20201221,-
1718278,29126285,BJD47_gp54,BJD47_gp54,BiPBO1_54,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20201221,-
1718278,29126286,BJD47_gp55,BJD47_gp55,BiPBO1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126287,BJD47_gp56,BJD47_gp56,BiPBO1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126288,BJD47_gp57,BJD47_gp57,BiPBO1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126289,BJD47_gp58,BJD47_gp58,BiPBO1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126290,BJD47_gp59,BJD47_gp59,BiPBO1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126291,BJD47_gp60,BJD47_gp60,BiPBO1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126292,BJD47_gp61,BJD47_gp61,BiPBO1_61,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200629,-
1718278,29126293,BJD47_gp62,BJD47_gp62,BiPBO1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126294,BJD47_gp63,BJD47_gp63,BiPBO1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126295,BJD47_gp64,BJD47_gp64,BiPBO1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126296,BJD47_gp65,BJD47_gp65,BiPBO1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126297,BJD47_gp66,BJD47_gp66,BiPBO1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126298,BJD47_gp67,BJD47_gp67,BiPBO1_67,-,-,-,type IV secretion protein,protein-coding,-,-,-,type IV secretion protein,20200629,-
1718278,29126299,BJD47_gp68,BJD47_gp68,BiPBO1_68,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1718278,29126300,BJD47_gp69,BJD47_gp69,BiPBO1_69,-,-,-,repressor,protein-coding,-,-,-,repressor,20200629,-
1718278,29126301,BJD47_gp70,BJD47_gp70,BiPBO1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126302,BJD47_gp71,BJD47_gp71,BiPBO1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126303,BJD47_gp72,BJD47_gp72,BiPBO1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126304,BJD47_gp73,BJD47_gp73,BiPBO1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126305,BJD47_gp74,BJD47_gp74,BiPBO1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126306,BJD47_gp75,BJD47_gp75,BiPBO1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126307,BJD47_gp76,BJD47_gp76,BiPBO1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126308,BJD47_gp77,BJD47_gp77,BiPBO1_77,-,-,-,chromosomal replication initiator protein DnaA,protein-coding,-,-,-,chromosomal replication initiator protein DnaA,20200629,-
1718278,29126309,BJD47_gp78,BJD47_gp78,BiPBO1_79,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20200629,-
1718278,29126310,BJD47_gp79,BJD47_gp79,BiPBO1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126311,BJD47_gp80,BJD47_gp80,BiPBO1_81,-,-,-,DNA repair exonuclease,protein-coding,-,-,-,DNA repair exonuclease,20200912,-
1718278,29126312,BJD47_gp81,BJD47_gp81,BiPBO1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126313,BJD47_gp82,BJD47_gp82,BiPBO1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126314,BJD47_gp83,BJD47_gp83,BiPBO1_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126315,BJD47_gp84,BJD47_gp84,BiPBO1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126316,BJD47_gp85,BJD47_gp85,BiPBO1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126317,BJD47_gp86,BJD47_gp86,BiPBO1_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126318,BJD47_gp01,BJD47_gp01,BiPBO1_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200926,-
1718278,29140792,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Brucella inopinata phage BiPBO1).,other,-,-,-,-,20200513,-
