#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1177632,13827127,SSU5_002,SSU5_002,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1177632,13827172,SSU5_047,SSU5_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827173,SSU5_048,SSU5_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827174,D278_gt001,D278_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1177632,13827175,SSU5_050,SSU5_050,-,-,-,-,putative porphyrin biosynthetic protein,protein-coding,-,-,-,putative porphyrin biosynthetic protein,20210417,-
1177632,13827176,SSU5_051,SSU5_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827177,SSU5_052,SSU5_052,-,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20200629,-
1177632,13827178,SSU5_053,SSU5_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827179,SSU5_054,SSU5_054,-,-,-,-,putative phage transcriptional regulator AlpA-like protein,protein-coding,-,-,-,putative phage transcriptional regulator AlpA-like protein,20200629,-
1177632,13827180,SSU5_055,SSU5_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827181,SSU5_056,SSU5_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827182,SSU5_057,SSU5_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827183,SSU5_058,SSU5_058,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1177632,13827184,SSU5_059,SSU5_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827185,SSU5_060,SSU5_060,-,-,-,-,putative RecA-like recombinase,protein-coding,-,-,-,putative RecA-like recombinase,20200629,-
1177632,13827186,SSU5_061,SSU5_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827187,SSU5_062,SSU5_062,-,-,-,-,putative SPFH domain / band 7 protein,protein-coding,-,-,-,putative SPFH domain / band 7 protein,20200629,-
1177632,13827188,SSU5_063,SSU5_063,-,-,-,-,putative NinX-like protein,protein-coding,-,-,-,putative NinX-like protein,20210417,-
1177632,13827189,SSU5_064,SSU5_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827190,SSU5_065,SSU5_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827191,SSU5_066,SSU5_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827192,SSU5_067,SSU5_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827193,SSU5_068,SSU5_068,-,-,-,-,putative Cre-associated protein,protein-coding,-,-,-,putative Cre-associated protein,20200629,-
1177632,13827194,SSU5_069,SSU5_069,-,-,-,-,putative replication protein RepA,protein-coding,-,-,-,putative replication protein RepA,20210123,-
1177632,13827195,SSU5_070,SSU5_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827196,SSU5_071,SSU5_071,-,-,-,-,putative GNAT family acetyltransferase,protein-coding,-,-,-,putative GNAT family acetyltransferase,20210417,-
1177632,13827197,SSU5_072,SSU5_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827198,SSU5_073,SSU5_073,-,-,-,-,putative exonuclease subunit 1,protein-coding,-,-,-,putative exonuclease subunit 1,20200629,-
1177632,13827199,SSU5_074,SSU5_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827200,SSU5_075,SSU5_075,-,-,-,-,putative exonuclease subunit 2,protein-coding,-,-,-,putative exonuclease subunit 2,20200629,-
1177632,13827201,SSU5_076,SSU5_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827202,SSU5_077,SSU5_077,-,-,-,-,putative ribonuclease H-like domain-containing protein,protein-coding,-,-,-,putative ribonuclease H-like domain-containing protein,20200629,-
1177632,13827203,SSU5_078,SSU5_078,-,-,-,-,"putative ribonucleotide-diphosphate reductase, alpha subunit",protein-coding,-,-,-,"putative ribonucleotide-diphosphate reductase, alpha subunit",20200629,-
1177632,13827204,SSU5_079,SSU5_079,-,-,-,-,"putative ribonucleotide-diphosphate reductase, beta subunit",protein-coding,-,-,-,"putative ribonucleotide-diphosphate reductase, beta subunit",20200629,-
1177632,13827205,SSU5_080,SSU5_080,-,-,-,-,putative phosphoribosyl-ATP pyrophosphohydrolase-like domain-containing protein,protein-coding,-,-,-,putative phosphoribosyl-ATP pyrophosphohydrolase-like domain-containing protein,20200629,-
1177632,13827206,SSU5_081,SSU5_081,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200629,-
1177632,13827207,SSU5_082,SSU5_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827208,SSU5_083,SSU5_083,-,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20200629,-
1177632,13827209,SSU5_084,SSU5_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1177632,13827210,SSU5_085,SSU5_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827211,SSU5_086,SSU5_086,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20200629,-
1177632,13827212,SSU5_087,SSU5_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827213,SSU5_088,SSU5_088,-,-,-,-,putative N-6-adenine-methyltransferase,protein-coding,-,-,-,putative N-6-adenine-methyltransferase,20200629,-
1177632,13827214,SSU5_089,SSU5_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827215,SSU5_090,SSU5_090,-,-,-,-,putative ribonuclease H,protein-coding,-,-,-,putative ribonuclease H,20200629,-
1177632,13827216,SSU5_091,SSU5_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827217,SSU5_092,SSU5_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827218,SSU5_093,SSU5_093,-,-,-,-,putative phage antirepressor family protein,protein-coding,-,-,-,putative phage antirepressor family protein,20200629,-
1177632,13827219,SSU5_094,SSU5_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827220,SSU5_095,SSU5_095,-,-,-,-,putative DNA modification methylase,protein-coding,-,-,-,putative DNA modification methylase,20200629,-
1177632,13827221,SSU5_096,SSU5_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827222,SSU5_097,SSU5_097,-,-,-,-,putative Eaa protein,protein-coding,-,-,-,putative Eaa protein,20200629,-
1177632,13827223,SSU5_098,SSU5_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827224,SSU5_099,SSU5_099,-,-,-,-,putative guanosine polyphosphate pyrophospho hydrolase/synthetase,protein-coding,-,-,-,putative guanosine polyphosphate pyrophospho hydrolase/synthetase,20200629,-
1177632,13827225,SSU5_100,SSU5_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827226,SSU5_101,SSU5_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827227,SSU5_102,SSU5_102,-,-,-,-,putative selenium-binding protein YdfZ,protein-coding,-,-,-,putative selenium-binding protein YdfZ,20200629,-
1177632,13827228,SSU5_103,SSU5_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827229,SSU5_104,SSU5_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827230,SSU5_105,SSU5_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827231,SSU5_106,SSU5_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827232,SSU5_107,SSU5_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827233,SSU5_108,SSU5_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827234,SSU5_109,SSU5_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827235,SSU5_110,SSU5_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827236,SSU5_111,SSU5_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827237,SSU5_112,SSU5_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827238,SSU5_113,SSU5_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827239,SSU5_114,SSU5_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827240,SSU5_115,SSU5_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827241,SSU5_116,SSU5_116,-,-,-,-,putative repressor-like protein,protein-coding,-,-,-,putative repressor-like protein,20200629,-
1177632,13827242,SSU5_117,SSU5_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827243,SSU5_118,SSU5_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827244,SSU5_119,SSU5_119,-,-,-,-,putative MIT family metal ion transporter CorA,protein-coding,-,-,-,putative MIT family metal ion transporter CorA,20200629,-
1177632,13827245,SSU5_120,SSU5_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827246,SSU5_121,SSU5_121,-,-,-,-,putative repressor of phase 1 flagellin,protein-coding,-,-,-,putative repressor of phase 1 flagellin,20200629,-
1177632,13827247,SSU5_122,SSU5_122,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200629,-
1177632,13827248,SSU5_123,SSU5_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827249,SSU5_124,SSU5_124,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1177632,13827250,SSU5_125,SSU5_125,-,-,-,-,putative ParB-like nuclease domain-containing protein,protein-coding,-,-,-,putative ParB-like nuclease domain-containing protein,20200629,-
1177632,13827251,SSU5_126,SSU5_126,-,-,-,-,putative ParB-like nuclease domain-containing protein,protein-coding,-,-,-,putative ParB-like nuclease domain-containing protein,20200629,-
1177632,13827252,SSU5_127,SSU5_127,-,-,-,-,putative ABC transporter ATP-binding protein,protein-coding,-,-,-,putative ABC transporter ATP-binding protein,20200629,-
1177632,13827253,SSU5_128,SSU5_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827254,SSU5_129,SSU5_129,-,-,-,-,putative ABC transporter ATP-binding protein,protein-coding,-,-,-,putative ABC transporter ATP-binding protein,20200629,-
1177632,13827255,SSU5_130,SSU5_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827256,SSU5_049,SSU5_049,-,-,-,-,putative porphyrin biosynthetic protein,protein-coding,-,-,-,putative porphyrin biosynthetic protein,20200629,-
1177632,13827257,SSU5_001,SSU5_001,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200629,-
1177632,13839467,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
