#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762413,65127738,2,KNV17_gp02,SEA_PARIES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2762413,65127760,24,KNV17_gp24,SEA_PARIES_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2762413,65127761,25,KNV17_gp25,SEA_PARIES_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127762,26,KNV17_gp26,SEA_PARIES_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127763,27,KNV17_gp27,SEA_PARIES_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127764,28,KNV17_gp28,SEA_PARIES_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127765,29,KNV17_gp29,SEA_PARIES_29,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2762413,65127766,30,KNV17_gp30,SEA_PARIES_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127767,31,KNV17_gp31,SEA_PARIES_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127768,32,KNV17_gp32,SEA_PARIES_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127769,33,KNV17_gp33,SEA_PARIES_33,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2762413,65127770,34,KNV17_gp34,SEA_PARIES_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127771,35,KNV17_gp35,SEA_PARIES_35,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2762413,65127772,36,KNV17_gp36,SEA_PARIES_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762413,65127773,37,KNV17_gp37,SEA_PARIES_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762413,65127774,38,KNV17_gp38,SEA_PARIES_38,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2762413,65127775,39,KNV17_gp39,SEA_PARIES_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127776,40,KNV17_gp40,SEA_PARIES_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762413,65127777,41,KNV17_gp41,SEA_PARIES_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127778,42,KNV17_gp42,SEA_PARIES_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127779,43,KNV17_gp43,SEA_PARIES_43,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2762413,65127780,44,KNV17_gp44,SEA_PARIES_44,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2762413,65127781,45,KNV17_gp45,SEA_PARIES_45,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2762413,65127782,46,KNV17_gp46,SEA_PARIES_46,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762413,65127783,47,KNV17_gp47,SEA_PARIES_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762413,65127784,48,KNV17_gp48,SEA_PARIES_48,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2762413,65127785,49,KNV17_gp49,SEA_PARIES_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127786,50,KNV17_gp50,SEA_PARIES_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127787,51,KNV17_gp51,SEA_PARIES_51,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210608,-
2762413,65127788,52,KNV17_gp52,SEA_PARIES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127789,53,KNV17_gp53,SEA_PARIES_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127790,54,KNV17_gp54,SEA_PARIES_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127791,55,KNV17_gp55,SEA_PARIES_55,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210608,-
2762413,65127792,56,KNV17_gp56,SEA_PARIES_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127793,57,KNV17_gp57,SEA_PARIES_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127794,58,KNV17_gp58,SEA_PARIES_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762413,65127795,59,KNV17_gp59,SEA_PARIES_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762413,65127796,60,KNV17_gp60,SEA_PARIES_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127797,61,KNV17_gp61,SEA_PARIES_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127798,62,KNV17_gp62,SEA_PARIES_62,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762413,65127799,63,KNV17_gp63,SEA_PARIES_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2762413,65127800,64,KNV17_gp64,SEA_PARIES_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127801,65,KNV17_gp65,SEA_PARIES_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127802,66,KNV17_gp66,SEA_PARIES_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127803,67,KNV17_gp67,SEA_PARIES_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127804,68,KNV17_gp68,SEA_PARIES_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127805,69,KNV17_gp69,SEA_PARIES_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127806,70,KNV17_gp70,SEA_PARIES_70,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210608,-
2762413,65127807,71,KNV17_gp71,SEA_PARIES_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127808,72,KNV17_gp72,SEA_PARIES_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127809,73,KNV17_gp73,SEA_PARIES_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127810,74,KNV17_gp74,SEA_PARIES_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127811,75,KNV17_gp75,SEA_PARIES_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127812,76,KNV17_gp76,SEA_PARIES_76,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210608,-
2762413,65127813,77,KNV17_gp77,SEA_PARIES_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127814,78,KNV17_gp78,SEA_PARIES_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127815,79,KNV17_gp79,SEA_PARIES_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127816,80,KNV17_gp80,SEA_PARIES_80,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762413,65127817,81,KNV17_gp81,SEA_PARIES_81,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210608,-
2762413,65127818,82,KNV17_gp82,SEA_PARIES_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127819,83,KNV17_gp83,SEA_PARIES_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127820,84,KNV17_gp84,SEA_PARIES_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127821,85,KNV17_gp85,SEA_PARIES_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127822,86,KNV17_gp86,SEA_PARIES_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127823,87,KNV17_gp87,SEA_PARIES_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127824,88,KNV17_gp88,SEA_PARIES_88,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762413,65127825,89,KNV17_gp89,SEA_PARIES_89,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210608,-
2762413,65127826,1,KNV17_gp01,SEA_PARIES_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2762413,65243499,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
