#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698252,26641243,AVV09_gp02,AVV09_gp02,SEA_BROWNCNA_2,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20200927,-
1698252,26641297,AVV09_gp56,AVV09_gp56,SEA_BROWNCNA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641298,AVV09_gp57,AVV09_gp57,SEA_BROWNCNA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641299,AVV09_gp58,AVV09_gp58,SEA_BROWNCNA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641300,AVV09_gp59,AVV09_gp59,SEA_BROWNCNA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641301,AVV09_gp60,AVV09_gp60,SEA_BROWNCNA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641302,AVV09_gp61,AVV09_gp61,SEA_BROWNCNA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641303,AVV09_gp62,AVV09_gp62,SEA_BROWNCNA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641304,AVV09_gp63,AVV09_gp63,SEA_BROWNCNA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641305,AVV09_gp64,AVV09_gp64,SEA_BROWNCNA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641306,AVV09_gp65,AVV09_gp65,SEA_BROWNCNA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641307,AVV09_gp66,AVV09_gp66,SEA_BROWNCNA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641308,AVV09_gp67,AVV09_gp67,SEA_BROWNCNA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641309,AVV09_gp68,AVV09_gp68,SEA_BROWNCNA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641310,AVV09_gp69,AVV09_gp69,SEA_BROWNCNA_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1698252,26641311,AVV09_gp70,AVV09_gp70,SEA_BROWNCNA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641312,AVV09_gp71,AVV09_gp71,SEA_BROWNCNA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641313,AVV09_gp72,AVV09_gp72,SEA_BROWNCNA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641314,AVV09_gp73,AVV09_gp73,SEA_BROWNCNA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641315,AVV09_gp74,AVV09_gp74,SEA_BROWNCNA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641316,AVV09_gp75,AVV09_gp75,SEA_BROWNCNA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641317,AVV09_gp76,AVV09_gp76,SEA_BROWNCNA_76,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1698252,26641318,AVV09_gp77,AVV09_gp77,SEA_BROWNCNA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641319,AVV09_gp78,AVV09_gp78,SEA_BROWNCNA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641320,AVV09_gp79,AVV09_gp79,SEA_BROWNCNA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641321,AVV09_gp80,AVV09_gp80,SEA_BROWNCNA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641322,AVV09_gp81,AVV09_gp81,SEA_BROWNCNA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641323,AVV09_gp82,AVV09_gp82,SEA_BROWNCNA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641324,AVV09_gp83,AVV09_gp83,SEA_BROWNCNA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641325,AVV09_gp84,AVV09_gp84,SEA_BROWNCNA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641326,AVV09_gp85,AVV09_gp85,SEA_BROWNCNA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641327,AVV09_gp86,AVV09_gp86,SEA_BROWNCNA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641328,AVV09_gp87,AVV09_gp87,SEA_BROWNCNA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641329,AVV09_gp88,AVV09_gp88,SEA_BROWNCNA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641330,AVV09_gp89,AVV09_gp89,SEA_BROWNCNA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641331,AVV09_gp90,AVV09_gp90,SEA_BROWNCNA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641332,AVV09_gp91,AVV09_gp91,SEA_BROWNCNA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641333,AVV09_gp92,AVV09_gp92,SEA_BROWNCNA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698252,26641334,AVV09_gp93,AVV09_gp93,SEA_BROWNCNA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641335,AVV09_gp94,AVV09_gp94,SEA_BROWNCNA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641336,AVV09_gp95,AVV09_gp95,SEA_BROWNCNA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641337,AVV09_gp96,AVV09_gp96,SEA_BROWNCNA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641338,AVV09_gp97,AVV09_gp97,SEA_BROWNCNA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641339,AVV09_gp01,AVV09_gp01,SEA_BROWNCNA_1,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200927,-
1698252,26680915,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage BrownCNA).,other,-,-,-,-,20200513,-
