#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053812,55606253,HWB40_gp02,HWB40_gp02,SEA_MANUEL_2,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2053812,55606289,HWB40_gp36,HWB40_gp36,SEA_MANUEL_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606290,HWB40_gp35,HWB40_gp35,SEA_MANUEL_62,-,-,-,exonuclease/helicase,protein-coding,-,-,-,exonuclease/helicase,20210424,-
2053812,55606291,HWB40_gt20,HWB40_gt20,SEA_MANUEL_63,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606292,HWB40_gp33,HWB40_gp33,SEA_MANUEL_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606293,HWB40_gp32,HWB40_gp32,SEA_MANUEL_66,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200620,-
2053812,55606294,HWB40_gp31,HWB40_gp31,SEA_MANUEL_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2053812,55606295,HWB40_gp30,HWB40_gp30,SEA_MANUEL_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606296,HWB40_gp29,HWB40_gp29,SEA_MANUEL_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606297,HWB40_gp28,HWB40_gp28,SEA_MANUEL_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606298,HWB40_gp27,HWB40_gp27,SEA_MANUEL_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606299,HWB40_gp26,HWB40_gp26,SEA_MANUEL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606300,HWB40_gp25,HWB40_gp25,SEA_MANUEL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606301,HWB40_gp24,HWB40_gp24,SEA_MANUEL_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606302,HWB40_gp23,HWB40_gp23,SEA_MANUEL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606303,HWB40_gp22,HWB40_gp22,SEA_MANUEL_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606304,HWB40_gp21,HWB40_gp21,SEA_MANUEL_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606305,HWB40_gp20,HWB40_gp20,SEA_MANUEL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606306,HWB40_gp19,HWB40_gp19,SEA_MANUEL_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606307,HWB40_gp18,HWB40_gp18,SEA_MANUEL_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606308,HWB40_gp17,HWB40_gp17,SEA_MANUEL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606309,HWB40_gp16,HWB40_gp16,SEA_MANUEL_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606310,HWB40_gp15,HWB40_gp15,SEA_MANUEL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606311,HWB40_gt02,HWB40_gt02,SEA_MANUEL_16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606312,HWB40_gt03,HWB40_gt03,SEA_MANUEL_17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606313,HWB40_gt04,HWB40_gt04,SEA_MANUEL_18,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606314,HWB40_gt05,HWB40_gt05,SEA_MANUEL_19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606315,HWB40_gt07,HWB40_gt07,SEA_MANUEL_21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606316,HWB40_gt08,HWB40_gt08,SEA_MANUEL_22,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606317,HWB40_gt09,HWB40_gt09,SEA_MANUEL_23,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606318,HWB40_gt10,HWB40_gt10,SEA_MANUEL_24,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606319,HWB40_gt11,HWB40_gt11,SEA_MANUEL_25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606320,HWB40_gt12,HWB40_gt12,SEA_MANUEL_26,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606321,HWB40_gt13,HWB40_gt13,SEA_MANUEL_27,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606322,HWB40_gt14,HWB40_gt14,SEA_MANUEL_28,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606323,HWB40_gt15,HWB40_gt15,SEA_MANUEL_29,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606324,HWB40_gt16,HWB40_gt16,SEA_MANUEL_30,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606325,HWB40_gt17,HWB40_gt17,SEA_MANUEL_31,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606326,HWB40_gt18,HWB40_gt18,SEA_MANUEL_32,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606327,HWB40_gp63,HWB40_gp63,SEA_MANUEL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606328,HWB40_gt06,HWB40_gt06,SEA_MANUEL_20,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606329,HWB40_gt19,HWB40_gt19,SEA_MANUEL_33,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606330,HWB40_gp34,HWB40_gp34,SEA_MANUEL_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606331,HWB40_gp01,HWB40_gp01,SEA_MANUEL_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2053812,55606332,HWB40_gp09,HWB40_gp09,SEA_MANUEL_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606333,HWB40_gp45,HWB40_gp45,SEA_MANUEL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606334,HWB40_gp40,HWB40_gp40,SEA_MANUEL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606335,HWB40_gp38,HWB40_gp38,SEA_MANUEL_59,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210424,-
2053812,55635740,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
