#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510571,55011304,2,HOV12_gp02,SEA_LILBOOBOO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2510571,55011347,45,HOV12_gp48,SEA_LILBOOBOO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011348,46,HOV12_gp47,SEA_LILBOOBOO_46,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210403,-
2510571,55011349,47,HOV12_gp46,SEA_LILBOOBOO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011350,48,HOV12_gp45,SEA_LILBOOBOO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011351,49,HOV12_gp44,SEA_LILBOOBOO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510571,55011352,50,HOV12_gp43,SEA_LILBOOBOO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510571,55011353,51,HOV12_gp42,SEA_LILBOOBOO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011354,52,HOV12_gp41,SEA_LILBOOBOO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011355,53,HOV12_gp40,SEA_LILBOOBOO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011356,54,HOV12_gp39,SEA_LILBOOBOO_54,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2510571,55011357,55,HOV12_gt02,SEA_LILBOOBOO_55,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2510571,55011358,56,HOV12_gp38,SEA_LILBOOBOO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011359,1,HOV12_gp01,SEA_LILBOOBOO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2510571,55011360,57,HOV12_gp37,SEA_LILBOOBOO_57,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2510571,55154346,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
