#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1508678,40068213,FDG79_gp002,FDG79_gp002,ECTP3_00160,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1508678,40068226,FDG79_gp015,FDG79_gp015,ECTP3_00173,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200629,-
1508678,40068227,FDG79_gp016,FDG79_gp016,ECTP3_00174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068228,FDG79_gp017,FDG79_gp017,ECTP3_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1508678,40068229,FDG79_gp018,FDG79_gp018,ECTP3_00176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068230,FDG79_gp019,FDG79_gp019,ECTP3_00177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068231,FDG79_gp020,FDG79_gp020,ECTP3_00178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068232,FDG79_gp021,FDG79_gp021,ECTP3_00179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068233,FDG79_gp022,FDG79_gp022,ECTP3_00180,-,-,-,zeta toxin,protein-coding,-,-,-,zeta toxin,20200629,-
1508678,40068234,FDG79_gp023,FDG79_gp023,ECTP3_00181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068235,FDG79_gp024,FDG79_gp024,ECTP3_00182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068236,FDG79_gp025,FDG79_gp025,ECTP3_00183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068237,FDG79_gp026,FDG79_gp026,ECTP3_00184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068238,FDG79_gp027,FDG79_gp027,ECTP3_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068239,aroF,FDG79_gp028,ECTP3_00186,-,-,-,"phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",protein-coding,-,-,-,"phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",20200629,-
1508678,40068240,ribD,FDG79_gp029,ECTP3_00187,-,-,-,riboflavin biosynthesis protein,protein-coding,-,-,-,riboflavin biosynthesis protein,20200629,-
1508678,40068241,FDG79_gp030,FDG79_gp030,ECTP3_00188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1508678,40068242,FDG79_gp031,FDG79_gp031,ECTP3_00189,-,-,-,chaperonin 10 Kd subunit,protein-coding,-,-,-,chaperonin 10 Kd subunit,20210212,-
1508678,40068243,FDG79_gp032,FDG79_gp032,ECTP3_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068244,FDG79_gp033,FDG79_gp033,ECTP3_00191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068245,FDG79_gp034,FDG79_gp034,ECTP3_00192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068246,FDG79_gp035,FDG79_gp035,ECTP3_00193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068247,FDG79_gp036,FDG79_gp036,ECTP3_00194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068248,FDG79_gp037,FDG79_gp037,ECTP3_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068249,FDG79_gp038,FDG79_gp038,ECTP3_00196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068250,FDG79_gp039,FDG79_gp039,ECTP3_00197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068251,FDG79_gp040,FDG79_gp040,ECTP3_00198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068252,FDG79_gp041,FDG79_gp041,ECTP3_00199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068253,FDG79_gp042,FDG79_gp042,ECTP3_00200,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1508678,40068254,FDG79_gp043,FDG79_gp043,ECTP3_00201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068255,FDG79_gp044,FDG79_gp044,ECTP3_00202,-,-,-,ADP-ribosyltransferase exoenzyme,protein-coding,-,-,-,ADP-ribosyltransferase exoenzyme,20200629,-
1508678,40068256,FDG79_gp045,FDG79_gp045,ECTP3_00203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068257,FDG79_gp046,FDG79_gp046,ECTP3_00204,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1508678,40068258,FDG79_gp047,FDG79_gp047,ECTP3_00205,-,-,-,tail-tube assembly protein,protein-coding,-,-,-,tail-tube assembly protein,20200629,-
1508678,40068259,FDG79_gp048,FDG79_gp048,ECTP3_00206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068260,FDG79_gp049,FDG79_gp049,ECTP3_00207,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20200629,-
1508678,40068261,FDG79_gp050,FDG79_gp050,ECTP3_00208,-,-,-,baseplate structural protein domain 1,protein-coding,-,-,-,baseplate structural protein domain 1,20200629,-
1508678,40068262,FDG79_gp051,FDG79_gp051,ECTP3_00209,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200629,-
1508678,40068263,FDG79_gp052,FDG79_gp052,ECTP3_00210,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200629,-
1508678,40068264,FDG79_gp053,FDG79_gp053,ECTP3_00211,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200629,-
1508678,40068265,FDG79_gp054,FDG79_gp054,ECTP3_00212,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210130,-
1508678,40068266,FDG79_gp055,FDG79_gp055,ECTP3_00213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068267,FDG79_gp056,FDG79_gp056,ECTP3_00214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068268,FDG79_gp057,FDG79_gp057,ECTP3_00215,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20200629,-
1508678,40068269,FDG79_gp058,FDG79_gp058,ECTP3_00216,-,-,-,ski2-like helicase,protein-coding,-,-,-,ski2-like helicase,20200629,-
1508678,40068270,FDG79_gp059,FDG79_gp059,ECTP3_00217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068271,FDG79_gp060,FDG79_gp060,ECTP3_00218,-,-,-,PKD domain protein,protein-coding,-,-,-,PKD domain protein,20200629,-
1508678,40068272,FDG79_gp061,FDG79_gp061,ECTP3_00219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1508678,40068273,FDG79_gp062,FDG79_gp062,ECTP3_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068274,FDG79_gp063,FDG79_gp063,ECTP3_00221,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200629,-
1508678,40068275,FDG79_gp064,FDG79_gp064,ECTP3_00222,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1508678,40068276,FDG79_gp065,FDG79_gp065,ECTP3_00223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068277,FDG79_gp066,FDG79_gp066,ECTP3_00224,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1508678,40068278,FDG79_gp067,FDG79_gp067,ECTP3_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068279,FDG79_gp068,FDG79_gp068,ECTP3_00226,-,-,-,prohead core protein protease,protein-coding,-,-,-,prohead core protein protease,20210130,-
1508678,40068280,FDG79_gp069,FDG79_gp069,ECTP3_00227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068281,FDG79_gp070,FDG79_gp070,ECTP3_00228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068282,FDG79_gp071,FDG79_gp071,ECTP3_00229,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20210327,-
1508678,40068283,FDG79_gp072,FDG79_gp072,ECTP3_00230,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1508678,40068284,FDG79_gp073,FDG79_gp073,ECTP3_00231,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1508678,40068285,FDG79_gp074,FDG79_gp074,ECTP3_00232,-,-,-,terminase-like family protein,protein-coding,-,-,-,terminase-like family protein,20200629,-
1508678,40068286,FDG79_gp075,FDG79_gp075,ECTP3_00233,-,-,-,terminase DNA packaging enzyme,protein-coding,-,-,-,terminase DNA packaging enzyme,20200629,-
1508678,40068287,FDG79_gp076,FDG79_gp076,ECTP3_00234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068288,FDG79_gp077,FDG79_gp077,ECTP3_00235,-,-,-,virus neck protein,protein-coding,-,-,-,virus neck protein,20200629,-
1508678,40068289,FDG79_gp078,FDG79_gp078,ECTP3_00236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068290,FDG79_gp079,FDG79_gp079,ECTP3_00237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068291,FDG79_gp080,FDG79_gp080,ECTP3_00238,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20200629,-
1508678,40068292,FDG79_gp081,FDG79_gp081,ECTP3_00239,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200629,-
1508678,40068293,FDG79_gp082,FDG79_gp082,ECTP3_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068294,FDG79_gp083,FDG79_gp083,ECTP3_00241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068295,FDG79_gp084,FDG79_gp084,ECTP3_00242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068296,FDG79_gp085,FDG79_gp085,ECTP3_00243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068297,FDG79_gp086,FDG79_gp086,ECTP3_00244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068298,FDG79_gp087,FDG79_gp087,ECTP3_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068299,FDG79_gp088,FDG79_gp088,ECTP3_00246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068300,FDG79_gp089,FDG79_gp089,ECTP3_00247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068301,FDG79_gp090,FDG79_gp090,ECTP3_00248,-,-,-,base plate wedge protein,protein-coding,-,-,-,base plate wedge protein,20200629,-
1508678,40068302,FDG79_gp091,FDG79_gp091,ECTP3_00249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068303,FDG79_gp092,FDG79_gp092,ECTP3_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068304,FDG79_gp093,FDG79_gp093,ECTP3_00251,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1508678,40068305,FDG79_gp094,FDG79_gp094,ECTP3_00252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068306,FDG79_gp095,FDG79_gp095,ECTP3_00253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068307,FDG79_gp096,FDG79_gp096,ECTP3_00254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068308,FDG79_gp097,FDG79_gp097,ECTP3_00255,-,-,-,nuclease inhibitor,protein-coding,-,-,-,nuclease inhibitor,20200629,-
1508678,40068309,FDG79_gp098,FDG79_gp098,ECTP3_00256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068310,FDG79_gp099,FDG79_gp099,ECTP3_00257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068311,FDG79_gp100,FDG79_gp100,ECTP3_00258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068312,FDG79_gp101,FDG79_gp101,ECTP3_00259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068313,FDG79_gp102,FDG79_gp102,ECTP3_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068314,FDG79_gt001,FDG79_gt001,ECTP3_00261,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1508678,40068315,FDG79_gt002,FDG79_gt002,ECTP3_00262,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1508678,40068316,FDG79_gp270,FDG79_gp270,ECTP3_00263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068317,FDG79_gp269,FDG79_gp269,ECTP3_00264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068318,FDG79_gp268,FDG79_gp268,ECTP3_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068319,FDG79_gp267,FDG79_gp267,ECTP3_00266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068320,FDG79_gp266,FDG79_gp266,ECTP3_00267,-,-,-,FRD3 protein,protein-coding,-,-,-,FRD3 protein,20200629,-
1508678,40068321,FDG79_gp265,FDG79_gp265,ECTP3_00268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068322,FDG79_gp264,FDG79_gp264,ECTP3_00269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068323,FDG79_gp263,FDG79_gp263,ECTP3_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068324,FDG79_gp262,FDG79_gp262,ECTP3_00271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068325,FDG79_gp261,FDG79_gp261,ECTP3_00272,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068326,FDG79_gp260,FDG79_gp260,ECTP3_00273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068327,FDG79_gp259,FDG79_gp259,ECTP3_00274,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068328,FDG79_gp258,FDG79_gp258,ECTP3_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068329,FDG79_gp257,FDG79_gp257,ECTP3_00276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068330,FDG79_gp256,FDG79_gp256,ECTP3_00277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068331,FDG79_gp255,FDG79_gp255,ECTP3_00278,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068332,FDG79_gp254,FDG79_gp254,ECTP3_00279,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068333,FDG79_gp253,FDG79_gp253,ECTP3_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068334,FDG79_gp252,FDG79_gp252,ECTP3_00281,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068335,rppH,FDG79_gp251,ECTP3_00282,-,-,-,RNA pyrophosphohydrolase,protein-coding,-,-,-,RNA pyrophosphohydrolase,20200629,-
1508678,40068336,FDG79_gp250,FDG79_gp250,ECTP3_00283,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200926,-
1508678,40068337,FDG79_gp249,FDG79_gp249,ECTP3_00284,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068338,FDG79_gp248,FDG79_gp248,ECTP3_00285,-,-,-,pyrimidine dimer DNA glycosylase,protein-coding,-,-,-,pyrimidine dimer DNA glycosylase,20200629,-
1508678,40068339,FDG79_gp247,FDG79_gp247,ECTP3_00286,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068340,FDG79_gp246,FDG79_gp246,ECTP3_00287,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20200629,-
1508678,40068341,FDG79_gp245,FDG79_gp245,ECTP3_00288,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20200629,-
1508678,40068342,grcA,FDG79_gp244,ECTP3_00289,-,-,-,autonomous glycyl radical cofactor,protein-coding,-,-,-,autonomous glycyl radical cofactor,20200629,-
1508678,40068343,FDG79_gp243,FDG79_gp243,ECTP3_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068344,FDG79_gp242,FDG79_gp242,ECTP3_00291,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068345,FDG79_gp241,FDG79_gp241,ECTP3_00292,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068346,FDG79_gp240,FDG79_gp240,ECTP3_00293,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210212,-
1508678,40068347,FDG79_gp239,FDG79_gp239,ECTP3_00294,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20200629,-
1508678,40068348,FDG79_gp238,FDG79_gp238,ECTP3_00295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068349,FDG79_gp237,FDG79_gp237,ECTP3_00296,-,-,-,macro domain protein,protein-coding,-,-,-,macro domain protein,20200629,-
1508678,40068350,FDG79_gp236,FDG79_gp236,ECTP3_00297,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068351,FDG79_gp235,FDG79_gp235,ECTP3_00298,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068352,FDG79_gp234,FDG79_gp234,ECTP3_00299,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068353,tdk,FDG79_gp233,ECTP3_00300,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
1508678,40068354,FDG79_gp232,FDG79_gp232,ECTP3_00301,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068355,FDG79_gp231,FDG79_gp231,ECTP3_00302,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068356,FDG79_gp230,FDG79_gp230,ECTP3_00303,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068357,FDG79_gp229,FDG79_gp229,ECTP3_00304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068358,FDG79_gp228,FDG79_gp228,ECTP3_00305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068359,FDG79_gp227,FDG79_gp227,ECTP3_00306,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068360,FDG79_gp226,FDG79_gp226,ECTP3_00307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068361,FDG79_gp225,FDG79_gp225,ECTP3_00308,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068362,FDG79_gp224,FDG79_gp224,ECTP3_00309,-,-,-,putative nucleotidyltransferase,protein-coding,-,-,-,putative nucleotidyltransferase,20200629,-
1508678,40068363,FDG79_gp223,FDG79_gp223,ECTP3_00310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068364,FDG79_gp222,FDG79_gp222,ECTP3_00311,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068365,FDG79_gp221,FDG79_gp221,ECTP3_00312,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068366,FDG79_gp220,FDG79_gp220,ECTP3_00313,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068367,FDG79_gp219,FDG79_gp219,ECTP3_00314,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068368,FDG79_gp218,FDG79_gp218,ECTP3_00315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068369,FDG79_gp217,FDG79_gp217,ECTP3_00316,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068370,FDG79_gp216,FDG79_gp216,ECTP3_00317,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068371,FDG79_gp215,FDG79_gp215,ECTP3_00318,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068372,FDG79_gp214,FDG79_gp214,ECTP3_00319,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1508678,40068373,FDG79_gp213,FDG79_gp213,ECTP3_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068374,FDG79_gp212,FDG79_gp212,ECTP3_00321,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068375,FDG79_gp211,FDG79_gp211,ECTP3_00322,-,-,-,peptidase inhibitor,protein-coding,-,-,-,peptidase inhibitor,20200629,-
1508678,40068376,FDG79_gp210,FDG79_gp210,ECTP3_00323,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068377,FDG79_gp209,FDG79_gp209,ECTP3_00324,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068378,FDG79_gp208,FDG79_gp208,ECTP3_00325,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20200629,-
1508678,40068379,nrdD,FDG79_gp207,ECTP3_00326,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20200629,-
1508678,40068380,pflA,FDG79_gp206,ECTP3_00327,-,-,-,pyruvate formate-lyase 1-activating enzyme,protein-coding,-,-,-,pyruvate formate-lyase 1-activating enzyme,20200629,-
1508678,40068381,FDG79_gp205,FDG79_gp205,ECTP3_00328,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068382,FDG79_gp204,FDG79_gp204,ECTP3_00329,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068383,FDG79_gp203,FDG79_gp203,ECTP3_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1508678,40068384,FDG79_gp202,FDG79_gp202,ECTP3_00331,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068385,FDG79_gp201,FDG79_gp201,ECTP3_00332,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068386,FDG79_gp200,FDG79_gp200,ECTP3_00333,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068387,FDG79_gp199,FDG79_gp199,ECTP3_00334,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068388,FDG79_gp198,FDG79_gp198,ECTP3_00335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068389,FDG79_gp197,FDG79_gp197,ECTP3_00336,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068390,FDG79_gp196,FDG79_gp196,ECTP3_00337,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
