#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
753085,10511692,S-CBS3_gp02,S-CBS3_gp02,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
753085,10511714,S-CBS3_gp24,S-CBS3_gp24,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
753085,10511715,S-CBS3_gp25,S-CBS3_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511716,S-CBS3_gp26,S-CBS3_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511717,S-CBS3_gp27,S-CBS3_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511718,S-CBS3_gp28,S-CBS3_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511719,rpsD4,S-CBS3_gp29,-,-,-,-,group 2 RNA polymerase sigma factor,protein-coding,-,-,-,group 2 RNA polymerase sigma factor,20201220,-
753085,10511720,S-CBS3_gp30,S-CBS3_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511721,ssb,S-CBS3_gp31,-,-,-,-,single-strand binding protein,protein-coding,-,-,-,single-strand binding protein,20201220,-
753085,10511722,S-CBS3_gp32,S-CBS3_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511723,S-CBS3_gp33,S-CBS3_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511724,S-CBS3_gp34,S-CBS3_gp34,-,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20201220,-
753085,10511725,S-CBS3_gp35,S-CBS3_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511726,S-CBS3_gp36,S-CBS3_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511727,S-CBS3_gp37,S-CBS3_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511728,S-CBS3_gp38,S-CBS3_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511729,S-CBS3_gp39,S-CBS3_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511730,S-CBS3_gp40,S-CBS3_gp40,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
753085,10511731,S-CBS3_gp41,S-CBS3_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511732,S-CBS3_gp42,S-CBS3_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511733,S-CBS3_gp43,S-CBS3_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511734,S-CBS3_gp44,S-CBS3_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511735,S-CBS3_gp45,S-CBS3_gp45,-,-,-,-,putative hexameric replicative helicase RepA,protein-coding,-,-,-,putative hexameric replicative helicase RepA,20201220,-
753085,10511736,S-CBS3_gp46,S-CBS3_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511737,terL,S-CBS3_gp01,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201220,-
753085,10549544,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
