#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301696,54999140,2,HOT93_gp002,SEA_HORUS_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2301696,54999170,32,HOT93_gp032,SEA_HORUS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999171,33,HOT93_gp033,SEA_HORUS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301696,54999172,34,HOT93_gp034,SEA_HORUS_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301696,54999173,35,HOT93_gp035,SEA_HORUS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301696,54999174,36,HOT93_gp036,SEA_HORUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999175,37,HOT93_gp037,SEA_HORUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999176,38,HOT93_gp038,SEA_HORUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999177,39,HOT93_gp039,SEA_HORUS_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2301696,54999178,40,HOT93_gp040,SEA_HORUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999179,41,HOT93_gp041,SEA_HORUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999180,42,HOT93_gp042,SEA_HORUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999181,43,HOT93_gp043,SEA_HORUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999182,44,HOT93_gp044,SEA_HORUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999183,45,HOT93_gp045,SEA_HORUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999184,46,HOT93_gt001,SEA_HORUS_46,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2301696,54999185,47,HOT93_gp103,SEA_HORUS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999186,48,HOT93_gp102,SEA_HORUS_48,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2301696,54999187,49,HOT93_gp101,SEA_HORUS_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2301696,54999188,50,HOT93_gp100,SEA_HORUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999189,51,HOT93_gp099,SEA_HORUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999190,52,HOT93_gp098,SEA_HORUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999191,53,HOT93_gp097,SEA_HORUS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999192,54,HOT93_gp096,SEA_HORUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999193,55,HOT93_gp095,SEA_HORUS_55,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2301696,54999194,56,HOT93_gp094,SEA_HORUS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999195,57,HOT93_gp093,SEA_HORUS_57,-,-,-,DNA polymerase III sliding clamp beta,protein-coding,-,-,-,DNA polymerase III sliding clamp beta,20200910,-
2301696,54999196,58,HOT93_gp092,SEA_HORUS_58,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210403,-
2301696,54999197,59,HOT93_gp091,SEA_HORUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999198,60,HOT93_gp090,SEA_HORUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999199,61,HOT93_gp089,SEA_HORUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999200,62,HOT93_gp088,SEA_HORUS_62,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20210403,-
2301696,54999201,63,HOT93_gp087,SEA_HORUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999202,64,HOT93_gp086,SEA_HORUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999203,65,HOT93_gp085,SEA_HORUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999204,66,HOT93_gp084,SEA_HORUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999205,67,HOT93_gp083,SEA_HORUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999206,68,HOT93_gp082,SEA_HORUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999207,69,HOT93_gp081,SEA_HORUS_69,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210403,-
2301696,54999208,70,HOT93_gp080,SEA_HORUS_70,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2301696,54999209,71,HOT93_gp079,SEA_HORUS_71,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200910,-
2301696,54999210,72,HOT93_gp078,SEA_HORUS_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2301696,54999211,73,HOT93_gp077,SEA_HORUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999212,74,HOT93_gp076,SEA_HORUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301696,54999213,75,HOT93_gp075,SEA_HORUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999214,76,HOT93_gp074,SEA_HORUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999215,77,HOT93_gp073,SEA_HORUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999216,78,HOT93_gp072,SEA_HORUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999217,79,HOT93_gp071,SEA_HORUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999218,80,HOT93_gp070,SEA_HORUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999219,81,HOT93_gp069,SEA_HORUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999220,82,HOT93_gp068,SEA_HORUS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999221,83,HOT93_gp067,SEA_HORUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999222,84,HOT93_gp066,SEA_HORUS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999223,85,HOT93_gp065,SEA_HORUS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999224,86,HOT93_gp064,SEA_HORUS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999225,87,HOT93_gp063,SEA_HORUS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999226,88,HOT93_gp062,SEA_HORUS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999227,89,HOT93_gp061,SEA_HORUS_89,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2301696,54999228,90,HOT93_gp060,SEA_HORUS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999229,91,HOT93_gp059,SEA_HORUS_91,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2301696,54999230,92,HOT93_gp058,SEA_HORUS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999231,93,HOT93_gp057,SEA_HORUS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999232,94,HOT93_gp056,SEA_HORUS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999233,95,HOT93_gp055,SEA_HORUS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999234,96,HOT93_gp054,SEA_HORUS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999235,97,HOT93_gp053,SEA_HORUS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999236,98,HOT93_gp052,SEA_HORUS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999237,99,HOT93_gp051,SEA_HORUS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999238,100,HOT93_gp050,SEA_HORUS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999239,101,HOT93_gp049,SEA_HORUS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301696,54999240,102,HOT93_gp048,SEA_HORUS_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999241,103,HOT93_gp047,SEA_HORUS_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999242,104,HOT93_gp046,SEA_HORUS_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2301696,54999243,1,HOT93_gp001,SEA_HORUS_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2301696,55154123,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia terrae bacteriophage Horus).,other,-,-,-,-,20200518,-
