#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500808,24723735,ACQ77_gp02,ACQ77_gp02,PHL082M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500808,24723756,ACQ77_gp23,ACQ77_gp23,PHL082M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210424,-
1500808,24723757,ACQ77_gp24,ACQ77_gp24,PHL082M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723758,ACQ77_gp25,ACQ77_gp25,PHL082M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723759,ACQ77_gp26,ACQ77_gp26,PHL082M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723760,ACQ77_gp27,ACQ77_gp27,PHL082M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723761,ACQ77_gp28,ACQ77_gp28,PHL082M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723762,ACQ77_gp29,ACQ77_gp29,PHL082M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723763,ACQ77_gp30,ACQ77_gp30,PHL082M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210424,-
1500808,24723764,ACQ77_gp31,ACQ77_gp31,PHL082M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500808,24723765,ACQ77_gp32,ACQ77_gp32,PHL082M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723766,ACQ77_gp33,ACQ77_gp33,PHL082M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210424,-
1500808,24723767,ACQ77_gp34,ACQ77_gp34,PHL082M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723768,ACQ77_gp35,ACQ77_gp35,PHL082M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723769,ACQ77_gp36,ACQ77_gp36,PHL082M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
1500808,24723770,ACQ77_gp37,ACQ77_gp37,PHL082M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1500808,24723771,ACQ77_gp38,ACQ77_gp38,PHL082M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723772,ACQ77_gp39,ACQ77_gp39,PHL082M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723773,ACQ77_gp40,ACQ77_gp40,PHL082M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723774,ACQ77_gp41,ACQ77_gp41,PHL082M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723775,ACQ77_gp42,ACQ77_gp42,PHL082M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723776,ACQ77_gp43,ACQ77_gp43,PHL082M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723777,ACQ77_gp44,ACQ77_gp44,PHL082M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723778,ACQ77_gp45,ACQ77_gp45,PHL082M00_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723779,ACQ77_gp46,ACQ77_gp46,PHL082M00_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723780,ACQ77_gp47,ACQ77_gp47,PHL082M00_47,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500808,24723781,ACQ77_gp01,ACQ77_gp01,PHL082M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500808,24936522,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
