#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656520,65064086,KMC29_gp002,KMC29_gp002,pSeSNUABM01_002,-,-,-,putative DNA topoisomerase,protein-coding,-,-,-,putative DNA topoisomerase,20210608,-
2656520,65064119,KMC29_gp035,KMC29_gp035,pSeSNUABM01_035,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210608,-
2656520,65064120,KMC29_gp036,KMC29_gp036,pSeSNUABM01_036,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210608,-
2656520,65064121,KMC29_gp037,KMC29_gp037,pSeSNUABM01_037,-,-,-,putative spackle periplasmic protein,protein-coding,-,-,-,putative spackle periplasmic protein,20210608,-
2656520,65064122,KMC29_gp038,KMC29_gp038,pSeSNUABM01_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064123,KMC29_gp039,KMC29_gp039,pSeSNUABM01_039,-,-,-,putative discriminator of mRNA degradation,protein-coding,-,-,-,putative discriminator of mRNA degradation,20210608,-
2656520,65064124,KMC29_gp040,KMC29_gp040,pSeSNUABM01_040,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210608,-
2656520,65064125,KMC29_gp041,KMC29_gp041,pSeSNUABM01_041,-,-,-,putative head vertex assembly protein,protein-coding,-,-,-,putative head vertex assembly protein,20210608,-
2656520,65064126,KMC29_gp042,KMC29_gp042,pSeSNUABM01_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064127,KMC29_gp043,KMC29_gp043,pSeSNUABM01_043,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210608,-
2656520,65064128,KMC29_gp044,KMC29_gp044,pSeSNUABM01_044,-,-,-,putative RecA-like recombination protein,protein-coding,-,-,-,putative RecA-like recombination protein,20210608,-
2656520,65064129,KMC29_gp045,KMC29_gp045,pSeSNUABM01_045,-,-,-,putative beta glucosyl HMC alpha glucosyl transferase,protein-coding,-,-,-,putative beta glucosyl HMC alpha glucosyl transferase,20210608,-
2656520,65064130,KMC29_gp046,KMC29_gp046,pSeSNUABM01_046,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210608,-
2656520,65064131,KMC29_gp047,KMC29_gp047,pSeSNUABM01_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064132,KMC29_gp048,KMC29_gp048,pSeSNUABM01_048,-,-,-,putative immunity to superinfection membrane protein,protein-coding,-,-,-,putative immunity to superinfection membrane protein,20210608,-
2656520,65064133,KMC29_gp049,KMC29_gp049,pSeSNUABM01_049,-,-,-,protein of unknown function DUF5481,protein-coding,-,-,-,protein of unknown function DUF5481,20210608,-
2656520,65064134,KMC29_gp050,KMC29_gp050,pSeSNUABM01_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064135,KMC29_gp051,KMC29_gp051,pSeSNUABM01_051,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210608,-
2656520,65064136,KMC29_gp052,KMC29_gp052,pSeSNUABM01_052,-,-,-,putative translational repressor protein,protein-coding,-,-,-,putative translational repressor protein,20210608,-
2656520,65064137,KMC29_gp053,KMC29_gp053,pSeSNUABM01_053,-,-,-,putative clamp loader subunit,protein-coding,-,-,-,putative clamp loader subunit,20210609,-
2656520,65064138,KMC29_gp054,KMC29_gp054,pSeSNUABM01_054,-,-,-,putative clamp loader subunit,protein-coding,-,-,-,putative clamp loader subunit,20210608,-
2656520,65064139,KMC29_gp055,KMC29_gp055,pSeSNUABM01_055,-,-,-,putative sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,putative sliding clamp DNA polymerase accessory protein,20210608,-
2656520,65064140,KMC29_gp056,KMC29_gp056,pSeSNUABM01_056,-,-,-,putative RNA polymerase binding protein,protein-coding,-,-,-,putative RNA polymerase binding protein,20210608,-
2656520,65064141,KMC29_gp057,KMC29_gp057,pSeSNUABM01_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064142,KMC29_gp058,KMC29_gp058,pSeSNUABM01_058,-,-,-,putative nuclease subunit,protein-coding,-,-,-,putative nuclease subunit,20210608,-
2656520,65064143,KMC29_gp059,KMC29_gp059,pSeSNUABM01_059,-,-,-,protein of unknown function DUF5487,protein-coding,-,-,-,protein of unknown function DUF5487,20210608,-
2656520,65064144,KMC29_gp060,KMC29_gp060,pSeSNUABM01_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064145,KMC29_gp061,KMC29_gp061,pSeSNUABM01_061,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210608,-
2656520,65064146,KMC29_gp062,KMC29_gp062,pSeSNUABM01_062,-,-,-,putative DNA alpha glucosyl transferase,protein-coding,-,-,-,putative DNA alpha glucosyl transferase,20210608,-
2656520,65064147,KMC29_gp063,KMC29_gp063,pSeSNUABM01_063,-,-,-,protein of unknown function DUF5486,protein-coding,-,-,-,protein of unknown function DUF5486,20210609,-
2656520,65064148,KMC29_gp064,KMC29_gp064,pSeSNUABM01_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064149,KMC29_gp065,KMC29_gp065,pSeSNUABM01_065,-,-,-,protein of unknown function DUF2654,protein-coding,-,-,-,protein of unknown function DUF2654,20210612,-
2656520,65064150,KMC29_gp066,KMC29_gp066,pSeSNUABM01_066,-,-,-,protein of unknown function DUF5491,protein-coding,-,-,-,protein of unknown function DUF5491,20210608,-
2656520,65064151,KMC29_gp067,KMC29_gp067,pSeSNUABM01_067,-,-,-,putative RNA polymerase sigma factor,protein-coding,-,-,-,putative RNA polymerase sigma factor,20210609,-
2656520,65064152,KMC29_gp068,KMC29_gp068,pSeSNUABM01_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064153,KMC29_gp069,KMC29_gp069,pSeSNUABM01_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064154,KMC29_gp070,KMC29_gp070,pSeSNUABM01_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064155,KMC29_gp071,KMC29_gp071,pSeSNUABM01_071,-,-,-,protein of unknown function DUF5490,protein-coding,-,-,-,protein of unknown function DUF5490,20210608,-
2656520,65064156,KMC29_gp072,KMC29_gp072,pSeSNUABM01_072,-,-,-,protein of unknown function DUF5484,protein-coding,-,-,-,protein of unknown function DUF5484,20210608,-
2656520,65064157,KMC29_gp073,KMC29_gp073,pSeSNUABM01_073,-,-,-,protein of unknown function DUF5499,protein-coding,-,-,-,protein of unknown function DUF5499,20210612,-
2656520,65064158,KMC29_gp074,KMC29_gp074,pSeSNUABM01_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064159,KMC29_gp075,KMC29_gp075,pSeSNUABM01_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064160,KMC29_gp076,KMC29_gp076,pSeSNUABM01_076,-,-,-,putative ribonucleotide reductase of class III activating protein,protein-coding,-,-,-,putative ribonucleotide reductase of class III activating protein,20210608,-
2656520,65064161,KMC29_gp077,KMC29_gp077,pSeSNUABM01_077,-,-,-,putative ribonucleotide reductase of class III activating protein,protein-coding,-,-,-,putative ribonucleotide reductase of class III activating protein,20210608,-
2656520,65064162,KMC29_gp078,KMC29_gp078,pSeSNUABM01_078,-,-,-,putative ribonucleotide reductase of class III large subunit,protein-coding,-,-,-,putative ribonucleotide reductase of class III large subunit,20210608,-
2656520,65064163,KMC29_gp079,KMC29_gp079,pSeSNUABM01_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064164,KMC29_gp080,KMC29_gp080,pSeSNUABM01_080,-,-,-,putative ribonucleotide reductase of class III large subunit,protein-coding,-,-,-,putative ribonucleotide reductase of class III large subunit,20210608,-
2656520,65064165,KMC29_gp081,KMC29_gp081,pSeSNUABM01_081,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210612,-
2656520,65064166,KMC29_gp082,KMC29_gp082,pSeSNUABM01_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064167,KMC29_gp083,KMC29_gp083,pSeSNUABM01_083,-,-,-,putative inhibitors of host protease,protein-coding,-,-,-,putative inhibitors of host protease,20210608,-
2656520,65064168,KMC29_gp084,KMC29_gp084,pSeSNUABM01_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064169,KMC29_gp085,KMC29_gp085,pSeSNUABM01_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064170,KMC29_gp086,KMC29_gp086,pSeSNUABM01_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064171,KMC29_gp087,KMC29_gp087,pSeSNUABM01_087,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210608,-
2656520,65064172,KMC29_gp088,KMC29_gp088,pSeSNUABM01_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064173,KMC29_gp089,KMC29_gp089,pSeSNUABM01_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064174,KMC29_gp090,KMC29_gp090,pSeSNUABM01_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064175,KMC29_gp091,KMC29_gp091,pSeSNUABM01_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064176,KMC29_gp092,KMC29_gp092,pSeSNUABM01_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064177,KMC29_gp093,KMC29_gp093,pSeSNUABM01_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064178,KMC29_gp094,KMC29_gp094,pSeSNUABM01_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064179,KMC29_gp095,KMC29_gp095,pSeSNUABM01_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064180,KMC29_gp096,KMC29_gp096,pSeSNUABM01_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064181,KMC29_gp097,KMC29_gp097,pSeSNUABM01_097,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210608,-
2656520,65064182,KMC29_gp098,KMC29_gp098,pSeSNUABM01_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064183,KMC29_gp099,KMC29_gp099,pSeSNUABM01_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064184,KMC29_gp100,KMC29_gp100,pSeSNUABM01_100,-,-,-,putative HNHc and YkyA domain containing protein,protein-coding,-,-,-,putative HNHc and YkyA domain containing protein,20210608,-
2656520,65064185,KMC29_gp101,KMC29_gp101,pSeSNUABM01_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064186,KMC29_gp102,KMC29_gp102,pSeSNUABM01_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064187,KMC29_gp103,KMC29_gp103,pSeSNUABM01_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064188,KMC29_gp104,KMC29_gp104,pSeSNUABM01_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064189,KMC29_gp105,KMC29_gp105,pSeSNUABM01_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064190,KMC29_gp106,KMC29_gp106,pSeSNUABM01_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064191,KMC29_gp107,KMC29_gp107,pSeSNUABM01_107,-,-,-,putative rI lysis regulator protein,protein-coding,-,-,-,putative rI lysis regulator protein,20210608,-
2656520,65064192,KMC29_gp108,KMC29_gp108,pSeSNUABM01_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064193,KMC29_gp109,KMC29_gp109,pSeSNUABM01_109,-,-,-,putative thymidine kinase,protein-coding,-,-,-,putative thymidine kinase,20210609,-
2656520,65064194,KMC29_gp110,KMC29_gp110,pSeSNUABM01_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064195,KMC29_gp111,KMC29_gp111,pSeSNUABM01_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064196,KMC29_gp112,KMC29_gp112,pSeSNUABM01_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064197,KMC29_gp113,KMC29_gp113,pSeSNUABM01_113,-,-,-,putative macro domain protein,protein-coding,-,-,-,putative macro domain protein,20210608,-
2656520,65064198,KMC29_gp114,KMC29_gp114,pSeSNUABM01_114,-,-,-,putative valyl tRNA synthetase modifier,protein-coding,-,-,-,putative valyl tRNA synthetase modifier,20210608,-
2656520,65064199,KMC29_gp115,KMC29_gp115,pSeSNUABM01_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064200,KMC29_gp116,KMC29_gp116,pSeSNUABM01_116,-,-,-,putative RNA endonuclease,protein-coding,-,-,-,putative RNA endonuclease,20210608,-
2656520,65064201,KMC29_gp117,KMC29_gp117,pSeSNUABM01_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064202,KMC29_gp118,KMC29_gp118,pSeSNUABM01_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064203,KMC29_gp119,KMC29_gp119,pSeSNUABM01_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064204,KMC29_gp120,KMC29_gp120,pSeSNUABM01_120,-,-,-,putative pyruvate formate lyase,protein-coding,-,-,-,putative pyruvate formate lyase,20210608,-
2656520,65064205,KMC29_gp121,KMC29_gp121,pSeSNUABM01_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064206,KMC29_gp122,KMC29_gp122,pSeSNUABM01_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064207,KMC29_gp123,KMC29_gp123,pSeSNUABM01_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064208,KMC29_gp124,KMC29_gp124,pSeSNUABM01_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064209,KMC29_gp125,KMC29_gp125,pSeSNUABM01_125,-,-,-,putative baseplate hub and tail lysozyme,protein-coding,-,-,-,putative baseplate hub and tail lysozyme,20210608,-
2656520,65064210,KMC29_gp126,KMC29_gp126,pSeSNUABM01_126,-,-,-,putative nudix hydrolase,protein-coding,-,-,-,putative nudix hydrolase,20210608,-
2656520,65064211,KMC29_gp127,KMC29_gp127,pSeSNUABM01_127,-,-,-,putative transmembrane region domain containing protein,protein-coding,-,-,-,putative transmembrane region domain containing protein,20210608,-
2656520,65064212,KMC29_gp128,KMC29_gp128,pSeSNUABM01_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064213,KMC29_gp129,KMC29_gp129,pSeSNUABM01_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064214,KMC29_gp130,KMC29_gp130,pSeSNUABM01_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064215,KMC29_gp132,KMC29_gp132,pSeSNUABM01_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064216,KMC29_gp133,KMC29_gp133,pSeSNUABM01_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064217,KMC29_gp134,KMC29_gp134,pSeSNUABM01_134,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064218,KMC29_gp135,KMC29_gp135,pSeSNUABM01_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064219,KMC29_gp136,KMC29_gp136,pSeSNUABM01_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064220,KMC29_gp137,KMC29_gp137,pSeSNUABM01_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064221,KMC29_gp138,KMC29_gp138,pSeSNUABM01_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064222,KMC29_gp139,KMC29_gp139,pSeSNUABM01_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064223,KMC29_gp140,KMC29_gp140,pSeSNUABM01_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064224,KMC29_gp141,KMC29_gp141,pSeSNUABM01_141,-,-,-,putative internal head protein,protein-coding,-,-,-,putative internal head protein,20210608,-
2656520,65064225,KMC29_gp142,KMC29_gp142,pSeSNUABM01_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2656520,65064226,KMC29_gp143,KMC29_gp143,pSeSNUABM01_144,-,-,-,putative tail fiber assembly helper protein,protein-coding,-,-,-,putative tail fiber assembly helper protein,20210608,-
2656520,65064227,KMC29_gp144,KMC29_gp144,pSeSNUABM01_145,-,-,-,putative deoxynucleoside monophosphate kinase,protein-coding,-,-,-,putative deoxynucleoside monophosphate kinase,20210608,-
2656520,65064228,KMC29_gp145,KMC29_gp145,pSeSNUABM01_146,-,-,-,putative tail completion and sheath stabilizer protein,protein-coding,-,-,-,putative tail completion and sheath stabilizer protein,20210612,-
2656520,65064229,KMC29_gp146,KMC29_gp146,pSeSNUABM01_147,-,-,-,putative DNA end protector protein,protein-coding,-,-,-,putative DNA end protector protein,20210608,-
2656520,65064230,KMC29_gp147,KMC29_gp147,pSeSNUABM01_148,-,-,-,putative head completion protein,protein-coding,-,-,-,putative head completion protein,20210608,-
2656520,65064231,KMC29_gp148,KMC29_gp148,pSeSNUABM01_149,-,-,-,putative baseplate wedge protein,protein-coding,-,-,-,putative baseplate wedge protein,20210612,-
2656520,65064232,KMC29_gp149,KMC29_gp149,pSeSNUABM01_150,-,-,-,putative baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,putative baseplate hub subunit and tail lysozyme,20210608,-
2656520,65064233,KMC29_gp150,KMC29_gp150,pSeSNUABM01_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064234,KMC29_gp151,KMC29_gp151,pSeSNUABM01_152,-,-,-,proline-alanine-alanine-arginine (PAAR) domain containing protein,protein-coding,-,-,-,proline-alanine-alanine-arginine (PAAR) domain containing protein,20210612,-
2656520,65064235,KMC29_gp152,KMC29_gp152,pSeSNUABM01_153,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210608,-
2656520,65064236,KMC29_gp153,KMC29_gp153,pSeSNUABM01_154,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210608,-
2656520,65064237,KMC29_gp154,KMC29_gp154,pSeSNUABM01_155,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210608,-
2656520,65064238,KMC29_gp155,KMC29_gp155,pSeSNUABM01_156,-,-,-,putative baseplate wedge tail fiber connector,protein-coding,-,-,-,putative baseplate wedge tail fiber connector,20210608,-
2656520,65064239,KMC29_gp156,KMC29_gp156,pSeSNUABM01_157,-,-,-,putative baseplate wedge subunit and tail pin,protein-coding,-,-,-,putative baseplate wedge subunit and tail pin,20210608,-
2656520,65064240,KMC29_gp157,KMC29_gp157,pSeSNUABM01_158,-,-,-,putative baseplate wedge subunit and tail pin,protein-coding,-,-,-,putative baseplate wedge subunit and tail pin,20210608,-
2656520,65064241,KMC29_gp158,KMC29_gp158,pSeSNUABM01_159,-,-,-,putative short tail fiber protein,protein-coding,-,-,-,putative short tail fiber protein,20210608,-
2656520,65064242,KMC29_gp159,KMC29_gp159,pSeSNUABM01_160,-,-,-,putative fibritin neck whiskers protein,protein-coding,-,-,-,putative fibritin neck whiskers protein,20210608,-
2656520,65064243,KMC29_gp160,KMC29_gp160,pSeSNUABM01_161,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20210608,-
2656520,65064244,KMC29_gp161,KMC29_gp161,pSeSNUABM01_162,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064245,KMC29_gp162,KMC29_gp162,pSeSNUABM01_163,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20210608,-
2656520,65064246,KMC29_gp163,KMC29_gp163,pSeSNUABM01_164,-,-,-,putative tail sheath stabilizer and completion protein,protein-coding,-,-,-,putative tail sheath stabilizer and completion protein,20210608,-
2656520,65064247,KMC29_gp164,KMC29_gp164,pSeSNUABM01_165,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210608,-
2656520,65064248,KMC29_gp165,KMC29_gp165,pSeSNUABM01_166,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210608,-
