#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
194948,1481731,ant,Stx1_p157,-,-,-,-,Ant protein,protein-coding,-,-,-,Ant protein,20210212,-
194948,2653207,Stx1_p064,Stx1_p064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653208,Stx1_p144,Stx1_p144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653209,Stx1_p147,Stx1_p147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653210,Stx1_p121,Stx1_p121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653211,Stx1_p165,Stx1_p165,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
194948,2653212,Stx1_p072,Stx1_p072,-,-,-,-,type I toxin-antitoxin system Hok family toxin,protein-coding,-,-,-,type I toxin-antitoxin system Hok family toxin,20210212,-
194948,2653213,Stx1_p006,Stx1_p006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653214,Stx1_p077,Stx1_p077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653215,Stx1_p053,Stx1_p053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653216,Stx1_p098,Stx1_p098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653217,Stx1_p136,Stx1_p136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653218,Stx1_p009,Stx1_p009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653219,Stx1_p103,Stx1_p103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653220,Stx1_p026,Stx1_p026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653221,Stx1_p008,Stx1_p008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653222,Stx1_p132,Stx1_p132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653223,Stx1_p123,Stx1_p123,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
194948,2653224,Stx1_p081,Stx1_p081,-,-,-,-,anti-repressor protein,protein-coding,-,-,-,anti-repressor protein,20210212,-
194948,2653225,Stx1_p083,Stx1_p083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653226,Stx1_p115,Stx1_p115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653227,Stx1_p094,Stx1_p094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653228,Stx1_p126,Stx1_p126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653229,Stx1_p129,Stx1_p129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653230,Stx1_p058,Stx1_p058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653231,Stx1_p130,Stx1_p130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653232,Stx1_p039,Stx1_p039,-,-,-,-,Ail/Lom family outer membrane beta-barrel protein,protein-coding,-,-,-,Ail/Lom family outer membrane beta-barrel protein,20210212,-
194948,2653233,Stx1_p082,Stx1_p082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653234,Stx1_p075,Stx1_p075,-,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20201220,-
194948,2653235,Stx1_p086,Stx1_p086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653236,Stx1_p148,Stx1_p148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653237,Stx1_p065,Stx1_p065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653238,Stx1_p084,Stx1_p084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653239,Stx1_p152,Stx1_p152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653240,Stx1_p011,Stx1_p011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653241,Stx1_p118,Stx1_p118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653242,Stx1_p024,Stx1_p024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653243,Stx1_p150,Stx1_p150,-,-,-,-,DUF1378 family protein,protein-coding,-,-,-,DUF1378 family protein,20201220,-
194948,2653244,Stx1_p079,Stx1_p079,-,-,-,-,TraR/DksA family transcriptional regulator,protein-coding,-,-,-,TraR/DksA family transcriptional regulator,20201220,-
194948,2653245,Stx1_p018,Stx1_p018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653246,Stx1_p100,Stx1_p100,-,-,-,-,cell division protein ZapA,protein-coding,-,-,-,cell division protein ZapA,20201220,-
194948,2653247,Stx1_p045,Stx1_p045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653248,Stx1_p135,Stx1_p135,-,-,-,-,NinE family protein,protein-coding,-,-,-,NinE family protein,20201220,-
194948,2653249,Stx1_p109,Stx1_p109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653250,Stx1_p063,Stx1_p063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653251,Stx1_p049,Stx1_p049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653252,Stx1_p021,Stx1_p021,-,-,-,-,tail fiber C-terminal domain-containing protein,protein-coding,-,-,-,tail fiber C-terminal domain-containing protein,20210129,-
194948,2653253,Stx1_p012,Stx1_p012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653254,Stx1_p007,Stx1_p007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653255,Stx1_p166,Stx1_p166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653256,Stx1_p031,Stx1_p031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653257,Stx1_p095,Stx1_p095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653258,Stx1_p062,Stx1_p062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653259,Stx1_p074,Stx1_p074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653260,Stx1_p160,Stx1_p160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653261,Stx1_p040,Stx1_p040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653262,Stx1_p068,Stx1_p068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653263,Stx1_p056,Stx1_p056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653264,Stx1_p131,Stx1_p131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653265,Stx1_p060,Stx1_p060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653266,Stx1_p119,Stx1_p119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
194948,2653267,Stx1_p145,Stx1_p145,-,-,-,-,DUF1737 domain-containing protein,protein-coding,-,-,-,DUF1737 domain-containing protein,20210212,-
194948,2653268,Stx1_p055,Stx1_p055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653269,Stx1_p027,Stx1_p027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653270,Stx1_p137,Stx1_p137,-,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20201220,-
194948,2653271,Stx1_p158,Stx1_p158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653272,Stx1_p029,Stx1_p029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653273,Stx1_p154,Stx1_p154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653274,Stx1_p078,Stx1_p078,-,-,-,-,DUF4752 family protein,protein-coding,-,-,-,DUF4752 family protein,20201220,-
194948,2653275,Stx1_p070,Stx1_p070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653277,Stx1_p005,Stx1_p005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653278,Stx1_p116,Stx1_p116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653279,Stx1_p042,Stx1_p042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653280,Stx1_p001,Stx1_p001,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
194948,2653281,Stx1_p097,Stx1_p097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653282,Stx1_p128,Stx1_p128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653283,Stx1_p101,Stx1_p101,-,-,-,-,DUF1382 family protein,protein-coding,-,-,-,DUF1382 family protein,20201220,-
194948,2653284,Stx1_p096,Stx1_p096,-,-,-,-,ead/Ea22-like family protein,protein-coding,-,-,-,ead/Ea22-like family protein,20201220,-
194948,2653285,Stx1_p090,Stx1_p090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653286,Stx1_p044,Stx1_p044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653287,Stx1_p023,Stx1_p023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653288,Stx1_p069,Stx1_p069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653289,Stx1_p037,Stx1_p037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653290,Stx1_p092,Stx1_p092,-,-,-,-,DUF4014 family protein,protein-coding,-,-,-,DUF4014 family protein,20201220,-
194948,2653291,Stx1_p133,Stx1_p133,-,-,-,-,N-6-adenine-methyltransferase,protein-coding,-,-,-,N-6-adenine-methyltransferase,20201220,-
194948,2653292,Stx1_p054,Stx1_p054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653293,Stx1_p120,Stx1_p120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653294,Stx1_p124,Stx1_p124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
194948,2653295,Stx1_p066,Stx1_p066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653296,Stx1_p106,Stx1_p106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653297,Stx1_p110,Stx1_p110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653298,Stx1_p033,Stx1_p033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653299,Stx1_p030,Stx1_p030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653300,Stx1_p108,Stx1_p108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653301,Stx1_p043,Stx1_p043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2830613,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia Stx1 converting bacteriophage; Stx1 converting bacteriophage; Stx1 converting phage).,other,-,-,-,-,20200513,-
194948,26066942,Stx1_p076,Stx1_p076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,26066943,cI,Stx1_p122,-,-,-,-,LexA family transcriptional regulator;hypothetical protein,protein-coding,-,-,-,LexA family transcriptional regulator;hypothetical protein,20201220,-
