#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2707031,60330608,2,I5H57_gp02,SEA_LASTJEDI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2707031,60330643,38,I5H57_gp38,SEA_LASTJEDI_38,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201129,-
2707031,60330644,39,I5H57_gp39,SEA_LASTJEDI_39,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2707031,60330645,40,I5H57_gp40,SEA_LASTJEDI_40,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201129,-
2707031,60330646,41,I5H57_gp41,SEA_LASTJEDI_41,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210522,-
2707031,60330647,42,I5H57_gp42,SEA_LASTJEDI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330648,43,I5H57_gp43,SEA_LASTJEDI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330649,44,I5H57_gp44,SEA_LASTJEDI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330650,45,I5H57_gp45,SEA_LASTJEDI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330651,46,I5H57_gp46,SEA_LASTJEDI_46,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2707031,60330652,47,I5H57_gp47,SEA_LASTJEDI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330653,48,I5H57_gp48,SEA_LASTJEDI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330654,49,I5H57_gp49,SEA_LASTJEDI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330655,50,I5H57_gp50,SEA_LASTJEDI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2707031,60330656,51,I5H57_gp51,SEA_LASTJEDI_51,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2707031,60330657,52,I5H57_gp52,SEA_LASTJEDI_52,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201217,-
2707031,60330658,53,I5H57_gp53,SEA_LASTJEDI_53,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2707031,60330659,54,I5H57_gp54,SEA_LASTJEDI_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2707031,60330660,55,I5H57_gp55,SEA_LASTJEDI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330661,56,I5H57_gp56,SEA_LASTJEDI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330662,57,I5H57_gp57,SEA_LASTJEDI_57,-,-,-,Ku-like dsDNA break-binding protein,protein-coding,-,-,-,Ku-like dsDNA break-binding protein,20201129,-
2707031,60330663,58,I5H57_gp58,SEA_LASTJEDI_58,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2707031,60330664,59,I5H57_gp59,SEA_LASTJEDI_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2707031,60330665,60,I5H57_gp60,SEA_LASTJEDI_60,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2707031,60330666,61,I5H57_gp61,SEA_LASTJEDI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330667,62,I5H57_gp62,SEA_LASTJEDI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330668,63,I5H57_gp63,SEA_LASTJEDI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330669,64,I5H57_gp64,SEA_LASTJEDI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330670,65,I5H57_gp65,SEA_LASTJEDI_65,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210313,-
2707031,60330671,66,I5H57_gp66,SEA_LASTJEDI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330672,67,I5H57_gp67,SEA_LASTJEDI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2707031,60330673,68,I5H57_gp68,SEA_LASTJEDI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330674,69,I5H57_gp69,SEA_LASTJEDI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330675,70,I5H57_gp70,SEA_LASTJEDI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330676,71,I5H57_gp71,SEA_LASTJEDI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330677,74,I5H57_gp74,SEA_LASTJEDI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330678,75,I5H57_gp75,SEA_LASTJEDI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330679,76,I5H57_gp76,SEA_LASTJEDI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330680,77,I5H57_gp77,SEA_LASTJEDI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330681,78,I5H57_gp78,SEA_LASTJEDI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330682,79,I5H57_gp79,SEA_LASTJEDI_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330683,80,I5H57_gp80,SEA_LASTJEDI_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330684,81,I5H57_gp81,SEA_LASTJEDI_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2707031,60330685,82,I5H57_gp82,SEA_LASTJEDI_82,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2707031,60330686,83,I5H57_gp83,SEA_LASTJEDI_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330687,84,I5H57_gp84,SEA_LASTJEDI_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330688,85,I5H57_gp85,SEA_LASTJEDI_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330689,86,I5H57_gp86,SEA_LASTJEDI_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330690,87,I5H57_gp87,SEA_LASTJEDI_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330691,88,I5H57_gp88,SEA_LASTJEDI_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330692,89,I5H57_gp89,SEA_LASTJEDI_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330693,90,I5H57_gp90,SEA_LASTJEDI_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330694,91,I5H57_gp91,SEA_LASTJEDI_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330695,92,I5H57_gp92,SEA_LASTJEDI_92,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210425,-
2707031,60330696,93,I5H57_gp93,SEA_LASTJEDI_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330697,94,I5H57_gp94,SEA_LASTJEDI_94,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2707031,60330698,32,I5H57_gp32,SEA_LASTJEDI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330699,72,I5H57_gp72,SEA_LASTJEDI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330700,73,I5H57_gp73,SEA_LASTJEDI_73,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2707031,60330701,1,I5H57_gp01,SEA_LASTJEDI_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2707031,60338827,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
