#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500787,55010182,3,HOV00_gp03,SEA_SCHUBERT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2500787,55010200,21,HOV00_gp21,SEA_SCHUBERT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010201,22,HOV00_gp22,SEA_SCHUBERT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010202,23,HOV00_gp23,SEA_SCHUBERT_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2500787,55010203,24,HOV00_gp24,SEA_SCHUBERT_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2500787,55010204,25,HOV00_gp25,SEA_SCHUBERT_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2500787,55010205,26,HOV00_gp26,SEA_SCHUBERT_26,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2500787,55010206,27,HOV00_gp27,SEA_SCHUBERT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010207,28,HOV00_gp28,SEA_SCHUBERT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010208,29,HOV00_gp29,SEA_SCHUBERT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010209,30,HOV00_gp30,SEA_SCHUBERT_30,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2500787,55010210,31,HOV00_gp31,SEA_SCHUBERT_31,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210403,-
2500787,55010211,32,HOV00_gp32,SEA_SCHUBERT_32,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20200910,-
2500787,55010212,33,HOV00_gp33,SEA_SCHUBERT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010213,34,HOV00_gp34,SEA_SCHUBERT_34,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210403,-
2500787,55010214,35,HOV00_gp35,SEA_SCHUBERT_35,-,-,-,Cas4-like exonuclease,protein-coding,-,-,-,Cas4-like exonuclease,20210403,-
2500787,55010215,36,HOV00_gp36,SEA_SCHUBERT_36,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2500787,55010216,37,HOV00_gt01,SEA_SCHUBERT_37,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2500787,55010217,38,HOV00_gp55,SEA_SCHUBERT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010218,39,HOV00_gp54,SEA_SCHUBERT_39,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2500787,55010219,40,HOV00_gp53,SEA_SCHUBERT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010220,41,HOV00_gp52,SEA_SCHUBERT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010221,42,HOV00_gp51,SEA_SCHUBERT_42,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210403,-
2500787,55010222,43,HOV00_gp50,SEA_SCHUBERT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010223,44,HOV00_gp49,SEA_SCHUBERT_44,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20200910,-
2500787,55010224,45,HOV00_gp48,SEA_SCHUBERT_45,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200910,-
2500787,55010225,46,HOV00_gp47,SEA_SCHUBERT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010226,47,HOV00_gp46,SEA_SCHUBERT_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2500787,55010227,48,HOV00_gp45,SEA_SCHUBERT_48,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2500787,55010228,49,HOV00_gp44,SEA_SCHUBERT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010229,50,HOV00_gp43,SEA_SCHUBERT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010230,51,HOV00_gp42,SEA_SCHUBERT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2500787,55010231,52,HOV00_gp41,SEA_SCHUBERT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010232,53,HOV00_gp40,SEA_SCHUBERT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010233,54,HOV00_gp39,SEA_SCHUBERT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010234,55,HOV00_gp38,SEA_SCHUBERT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010235,56,HOV00_gp37,SEA_SCHUBERT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010236,2,HOV00_gp02,SEA_SCHUBERT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2500787,55010237,1,HOV00_gp01,SEA_SCHUBERT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55154298,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
