#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1913446,65070898,int,KMD13_gp02,SpT152_002,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
1913446,65070919,KMD13_gp23,KMD13_gp23,SpT152_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070920,KMD13_gp24,KMD13_gp24,SpT152_024,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20210607,-
1913446,65070921,KMD13_gp25,KMD13_gp25,SpT152_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070922,KMD13_gp26,KMD13_gp26,SpT152_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070923,KMD13_gp27,KMD13_gp27,SpT152_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070924,KMD13_gp28,KMD13_gp28,SpT152_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070925,KMD13_gp29,KMD13_gp29,SpT152_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070926,KMD13_gp30,KMD13_gp30,SpT152_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070927,KMD13_gp31,KMD13_gp31,SpT152_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070928,KMD13_gp32,KMD13_gp32,SpT152_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070929,KMD13_gp33,KMD13_gp33,SpT152_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070930,KMD13_gp34,KMD13_gp34,SpT152_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070931,KMD13_gp35,KMD13_gp35,SpT152_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070932,KMD13_gp36,KMD13_gp36,SpT152_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070933,KMD13_gp37,KMD13_gp37,SpT152_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070934,dut,KMD13_gp38,SpT152_038,-,-,-,deoxyuridine triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine triphosphate nucleotidohydrolase,20210607,-
1913446,65070935,KMD13_gp39,KMD13_gp39,SpT152_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070936,KMD13_gp40,KMD13_gp40,SpT152_040,-,-,-,transcriptional activator RinB,protein-coding,-,-,-,transcriptional activator RinB,20210607,-
1913446,65070937,KMD13_gp41,KMD13_gp41,SpT152_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1913446,65070938,KMD13_gp42,KMD13_gp42,SpT152_042,-,-,-,sigma 70 factor,protein-coding,-,-,-,sigma 70 factor,20210609,-
1913446,65070939,KMD13_gp43,KMD13_gp43,SpT152_043,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
1913446,65070940,KMD13_gp44,KMD13_gp44,SpT152_044,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210609,-
1913446,65070941,KMD13_gp45,KMD13_gp45,SpT152_045,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
1913446,65070942,KMD13_gp46,KMD13_gp46,SpT152_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070943,KMD13_gp47,KMD13_gp47,SpT152_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070944,KMD13_gp48,KMD13_gp48,SpT152_048,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210607,-
1913446,65070945,KMD13_gp49,KMD13_gp49,SpT152_049,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210607,-
1913446,65070946,KMD13_gp50,KMD13_gp50,SpT152_050,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
1913446,65070947,KMD13_gp51,KMD13_gp51,SpT152_051,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210607,-
1913446,65070948,KMD13_gp52,KMD13_gp52,SpT152_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070949,KMD13_gp53,KMD13_gp53,SpT152_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070950,KMD13_gp54,KMD13_gp54,SpT152_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070951,KMD13_gp55,KMD13_gp55,SpT152_055,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
1913446,65070952,KMD13_gp56,KMD13_gp56,SpT152_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070953,KMD13_gp57,KMD13_gp57,SpT152_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070954,KMD13_gp58,KMD13_gp58,SpT152_058,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210607,-
1913446,65070955,KMD13_gp59,KMD13_gp59,SpT152_059,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
1913446,65070956,KMD13_gp60,KMD13_gp60,SpT152_060,-,-,-,tail endopeptidase,protein-coding,-,-,-,tail endopeptidase,20210607,-
1913446,65070957,KMD13_gp61,KMD13_gp61,SpT152_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070958,KMD13_gp62,KMD13_gp62,SpT152_062,-,-,-,GDSL-like lipase/acylhydrolase,protein-coding,-,-,-,GDSL-like lipase/acylhydrolase,20210607,-
1913446,65070959,KMD13_gp63,KMD13_gp63,SpT152_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070960,KMD13_gp64,KMD13_gp64,SpT152_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070961,atl,KMD13_gp65,SpT152_065,-,-,-,bifunctional endolysin precursor,protein-coding,-,-,-,bifunctional endolysin precursor,20210607,-
1913446,65070962,KMD13_gp66,KMD13_gp66,SpT152_066,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
1913446,65070963,lytN,KMD13_gp67,SpT152_067,-,-,-,putative cell wall hydrolase lytN precursor,protein-coding,-,-,-,putative cell wall hydrolase lytN precursor,20210609,-
1913446,65070964,KMD13_gp68,KMD13_gp68,SpT152_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070965,KMD13_gp01,KMD13_gp01,SpT152_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65242503,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus pseudintermedius phage SpT152).,other,-,-,-,-,20210609,-
