#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
699370,11041045,TMA_001,TMA_001,-,-,-,-,distal tail fiber protein,protein-coding,-,-,-,distal tail fiber protein,20200909,-
699370,11041121,TMA_077,TMA_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041122,TMA_078,TMA_078,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
699370,11041123,TMA_079,TMA_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041124,TMA_080,TMA_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041125,TMA_081,TMA_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041126,TMA_082,TMA_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041127,TMA_083,TMA_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041128,TMA_084,TMA_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041129,TMA_085,TMA_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041130,TMA_086,TMA_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041131,TMA_087,TMA_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041132,TMA_088,TMA_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041133,TMA_089,TMA_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041134,TMA_090,TMA_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041135,TMA_091,TMA_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041136,TMA_092,TMA_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041137,TMA_093,TMA_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041138,TMA_094,TMA_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041139,TMA_095,TMA_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041140,TMA_096,TMA_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041141,TMA_097,TMA_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041142,TMA_098,TMA_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041143,TMA_099,TMA_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041144,TMA_100,TMA_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041145,TMA_101,TMA_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041146,TMA_102,TMA_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041147,TMA_103,TMA_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041148,TMA_104,TMA_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041149,TMA_105,TMA_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041150,TMA_106,TMA_106,-,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20200909,-
699370,11041151,TMA_107,TMA_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041152,TMA_108,TMA_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041153,TMA_109,TMA_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041154,TMA_110,TMA_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041155,TMA_111,TMA_111,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200909,-
699370,11041156,TMA_112,TMA_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041157,TMA_113,TMA_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041158,TMA_114,TMA_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041159,TMA_115,TMA_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041160,TMA_116,TMA_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041161,TMA_117,TMA_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041162,TMA_118,TMA_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041163,TMA_119,TMA_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041164,TMA_120,TMA_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041165,TMA_121,TMA_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041166,TMA_122,TMA_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041167,TMA_123,TMA_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041168,TMA_124,TMA_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041169,TMA_125,TMA_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041170,TMA_126,TMA_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041171,TMA_127,TMA_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041172,TMA_128,TMA_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041173,TMA_129,TMA_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041174,TMA_130,TMA_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041175,TMA_131,TMA_131,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20200909,-
699370,11041176,TMA_132,TMA_132,-,-,-,-,resolvase-like protein,protein-coding,-,-,-,resolvase-like protein,20200909,-
699370,11041177,TMA_133,TMA_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041178,TMA_134,TMA_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041179,TMA_135,TMA_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041180,TMA_136,TMA_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041181,TMA_137,TMA_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041182,TMA_tRNA2,TMA_tRNA2,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
699370,11041183,TMA_139,TMA_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041184,TMA_140,TMA_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041185,TMA_141,TMA_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041186,TMA_142,TMA_142,-,-,-,-,M27/M37 peptidase,protein-coding,-,-,-,M27/M37 peptidase,20200909,-
699370,11041187,TMA_143,TMA_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041188,TMA_144,TMA_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041189,TMA_145,TMA_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041190,TMA_146,TMA_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041191,TMA_147,TMA_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041192,TMA_148,TMA_148,-,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200909,-
699370,11041193,TMA_149,TMA_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041194,TMA_150,TMA_150,-,-,-,-,wac fibritin neck whisker,protein-coding,-,-,-,wac fibritin neck whisker,20200909,-
699370,11041195,TMA_151,TMA_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041196,TMA_152,TMA_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041197,TMA_153,TMA_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041198,TMA_154,TMA_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041199,TMA_155,TMA_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041200,TMA_156,TMA_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041201,TMA_157,TMA_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041202,TMA_158,TMA_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041203,TMA_159,TMA_159,-,-,-,-,radical SAM superfamily enzyme,protein-coding,-,-,-,radical SAM superfamily enzyme,20200909,-
699370,11041204,TMA_160,TMA_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041205,TMA_161,TMA_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041206,TMA_162,TMA_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041207,TMA_163,TMA_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041208,TMA_164,TMA_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041209,TMA_165,TMA_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041210,TMA_166,TMA_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041211,TMA_167,TMA_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041212,TMA_168,TMA_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041213,TMA_061,TMA_061,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200909,-
699370,11041214,TMA_tRNA3,TMA_tRNA3,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
699370,11041215,TMA_138,TMA_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041364,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
