#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
623,2827945,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Escherichia flexneri; Escherichia/Shigella flexneri; Shigella paradysenteriae.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210413,-
623,39655600,C1P83_RS24815,C1P83_RS24815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655618,C1P83_RS25310,C1P83_RS25310,-,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190409,-
623,39655620,C1P83_RS25070,C1P83_RS25070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655645,C1P83_RS24660,C1P83_RS24660,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655668,C1P83_RS24790,C1P83_RS24790,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655671,C1P83_RS24675,C1P83_RS24675,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
623,39655677,C1P83_RS24305,C1P83_RS24305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655679,C1P83_RS24610,C1P83_RS24610,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655680,C1P83_RS24760,C1P83_RS24760,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655681,C1P83_RS25160,C1P83_RS25160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
623,39655695,C1P83_RS24740,C1P83_RS24740,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655697,C1P83_RS24430,C1P83_RS24430,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655720,C1P83_RS25285,C1P83_RS25285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655758,C1P83_RS24520,C1P83_RS24520,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655784,EEL47_RS25115,EEL47_RS25115,EEL47_25155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655800,EEL47_RS24740,EEL47_RS24740,EEL47_24780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655859,EEL47_RS24685,EEL47_RS24685,EEL47_24720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655870,EEL47_RS25340,EEL47_RS25340,EEL47_25380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655874,EEL47_RS24600,EEL47_RS24600,EEL47_24635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655882,EEL47_RS25050,EEL47_RS25050,EEL47_25090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655887,EEL47_RS25595,EEL47_RS25595,EEL47_25625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655919,EEL47_RS25095,EEL47_RS25095,EEL47_25135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655935,EEL47_RS24430,EEL47_RS24430,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655948,EEL47_RS25100,EEL47_RS25100,EEL47_25140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656010,EEL47_RS24985,EEL47_RS24985,EEL47_25025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656022,EEL47_RS24215,EEL47_RS24215,EEL47_24255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39656075,EEL47_RS25305,EEL47_RS25305,EEL47_25345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656085,EGX88_RS01350,EGX88_RS01350,EGX88_01345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656089,EGX88_RS00480,EGX88_RS00480,EGX88_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39656123,EGX88_RS01015,EGX88_RS01015,EGX88_01015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39656124,EGX88_RS00035,EGX88_RS00035,EGX88_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
623,39656156,EGX88_RS00795,EGX88_RS00795,EGX88_00795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656186,EGX88_RS00030,EGX88_RS00030,EGX88_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656188,EGX88_RS01105,EGX88_RS01105,EGX88_01110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
623,39656207,EGX88_RS00155,EGX88_RS00155,EGX88_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656208,EGX88_RS01100,EGX88_RS01100,EGX88_01105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39656232,EGX88_RS00140,EGX88_RS00140,EGX88_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39656262,EGX88_RS00620,EGX88_RS00620,EGX88_00620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39656269,EGX88_RS00135,EGX88_RS00135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656276,EGX88_RS01430,EGX88_RS01430,EGX88_01425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656280,EGX88_RS00250,EGX88_RS00250,EGX88_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656283,EGX88_RS00055,EGX88_RS00055,EGX88_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39656312,EGX88_RS01000,EGX88_RS01000,EGX88_01000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
623,39656330,EGX88_RS00205,EGX88_RS00205,EGX88_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
