#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713301,55816988,HYQ30_gp002,HYQ30_gp002,heyday_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210327,-
2713301,55817013,HYQ30_gp027,HYQ30_gp027,heyday_27,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210313,-
2713301,55817014,HYQ30_gp028,HYQ30_gp028,heyday_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817015,HYQ30_gp029,HYQ30_gp029,heyday_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817016,HYQ30_gp030,HYQ30_gp030,heyday_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817017,HYQ30_gp031,HYQ30_gp031,heyday_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817018,HYQ30_gp032,HYQ30_gp032,heyday_32,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20201222,-
2713301,55817019,HYQ30_gp033,HYQ30_gp033,heyday_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817020,HYQ30_gp034,HYQ30_gp034,heyday_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817021,HYQ30_gp035,HYQ30_gp035,heyday_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817022,HYQ30_gp036,HYQ30_gp036,heyday_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817023,HYQ30_gp037,HYQ30_gp037,heyday_37,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20210116,-
2713301,55817024,HYQ30_gp038,HYQ30_gp038,heyday_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817025,HYQ30_gp039,HYQ30_gp039,heyday_39,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713301,55817026,HYQ30_gp040,HYQ30_gp040,heyday_40,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20201222,-
2713301,55817027,HYQ30_gp041,HYQ30_gp041,heyday_41,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20201222,-
2713301,55817028,HYQ30_gp042,HYQ30_gp042,heyday_42,-,-,-,putative DNA repair/recombination protein,protein-coding,-,-,-,putative DNA repair/recombination protein,20210313,-
2713301,55817029,HYQ30_gp043,HYQ30_gp043,heyday_43,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210313,-
2713301,55817030,HYQ30_gp044,HYQ30_gp044,heyday_44,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210313,-
2713301,55817031,HYQ30_gp045,HYQ30_gp045,heyday_45,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210116,-
2713301,55817032,HYQ30_gp046,HYQ30_gp046,heyday_46,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20210129,-
2713301,55817033,HYQ30_gp047,HYQ30_gp047,heyday_47,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20201222,-
2713301,55817034,HYQ30_gp048,HYQ30_gp048,heyday_48,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210313,-
2713301,55817035,HYQ30_gp049,HYQ30_gp049,heyday_49,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20201222,-
2713301,55817036,HYQ30_gp050,HYQ30_gp050,heyday_50,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210403,-
2713301,55817037,HYQ30_gp051,HYQ30_gp051,heyday_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55817038,HYQ30_gp052,HYQ30_gp052,heyday_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55817039,HYQ30_gp053,HYQ30_gp053,heyday_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817040,HYQ30_gp054,HYQ30_gp054,heyday_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713301,55817041,HYQ30_gp055,HYQ30_gp055,heyday_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55817042,HYQ30_gp056,HYQ30_gp056,heyday_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817043,HYQ30_gp057,HYQ30_gp057,heyday_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55817044,HYQ30_gp058,HYQ30_gp058,heyday_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817045,HYQ30_gp059,HYQ30_gp059,heyday_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817046,HYQ30_gp060,HYQ30_gp060,heyday_60,-,-,-,putative vWa containing protein,protein-coding,-,-,-,putative vWa containing protein,20210129,-
2713301,55817047,HYQ30_gp061,HYQ30_gp061,heyday_61,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210327,-
2713301,55817048,HYQ30_gp062,HYQ30_gp062,heyday_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817049,HYQ30_gp063,HYQ30_gp063,heyday_63,-,-,-,pyrimidine dimer DNA glycosylase,protein-coding,-,-,-,pyrimidine dimer DNA glycosylase,20210123,-
2713301,55817050,HYQ30_gp064,HYQ30_gp064,heyday_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817051,HYQ30_gp065,HYQ30_gp065,heyday_65,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713301,55817052,HYQ30_gp066,HYQ30_gp066,heyday_66,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20201222,-
2713301,55817053,HYQ30_gp067,HYQ30_gp067,heyday_67,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20201222,-
2713301,55817054,HYQ30_gp068,HYQ30_gp068,heyday_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817055,HYQ30_gp069,HYQ30_gp069,heyday_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817056,HYQ30_gp070,HYQ30_gp070,heyday_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817057,HYQ30_gp071,HYQ30_gp071,heyday_71,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20201222,-
2713301,55817058,HYQ30_gp072,HYQ30_gp072,heyday_72,-,-,-,SPFH domain band 7 family protein,protein-coding,-,-,-,SPFH domain band 7 family protein,20210129,-
2713301,55817059,HYQ30_gp073,HYQ30_gp073,heyday_73,-,-,-,DNA-binding protein HU-beta,protein-coding,-,-,-,DNA-binding protein HU-beta,20201222,-
2713301,55817060,HYQ30_gp074,HYQ30_gp074,heyday_74,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20201222,-
2713301,55817061,HYQ30_gp075,HYQ30_gp075,heyday_75,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713301,55817062,HYQ30_gp076,HYQ30_gp076,heyday_76,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20201222,-
2713301,55817063,HYQ30_gp077,HYQ30_gp077,heyday_77,-,-,-,sigma factor involved in late transcription,protein-coding,-,-,-,sigma factor involved in late transcription,20201222,-
2713301,55817064,HYQ30_gp078,HYQ30_gp078,heyday_78,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20201222,-
2713301,55817065,HYQ30_gp079,HYQ30_gp079,heyday_79,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210129,-
2713301,55817066,HYQ30_gp080,HYQ30_gp080,heyday_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817067,HYQ30_gp081,HYQ30_gp081,heyday_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817068,HYQ30_gp082,HYQ30_gp082,heyday_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2713301,55817069,HYQ30_gp083,HYQ30_gp083,heyday_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817070,HYQ30_gp084,HYQ30_gp084,heyday_84,-,-,-,protein RegB,protein-coding,-,-,-,protein RegB,20201222,-
2713301,55817071,HYQ30_gp085,HYQ30_gp085,heyday_85,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713301,55817072,HYQ30_gp086,HYQ30_gp086,heyday_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817073,HYQ30_gp087,HYQ30_gp087,heyday_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817074,HYQ30_gp088,HYQ30_gp088,heyday_88,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713301,55817075,HYQ30_gp089,HYQ30_gp089,heyday_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817076,HYQ30_gp090,HYQ30_gp090,heyday_90,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210129,-
2713301,55817077,HYQ30_gp091,HYQ30_gp091,heyday_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817078,HYQ30_gp092,HYQ30_gp092,heyday_92,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210129,-
2713301,55817079,HYQ30_gp093,HYQ30_gp093,heyday_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817080,HYQ30_gp094,HYQ30_gp094,heyday_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817081,HYQ30_gp095,HYQ30_gp095,heyday_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817082,HYQ30_gp096,HYQ30_gp096,heyday_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817083,HYQ30_gp097,HYQ30_gp097,heyday_97,-,-,-,peptidoglycan binding protein,protein-coding,-,-,-,peptidoglycan binding protein,20210129,-
2713301,55817084,HYQ30_gp098,HYQ30_gp098,heyday_98,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210129,-
2713301,55817085,HYQ30_gp099,HYQ30_gp099,heyday_99,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210129,-
2713301,55817086,HYQ30_gp100,HYQ30_gp100,heyday_100,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210313,-
2713301,55817087,HYQ30_gp101,HYQ30_gp101,heyday_101,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210313,-
2713301,55817088,HYQ30_gp102,HYQ30_gp102,heyday_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817089,HYQ30_gp103,HYQ30_gp103,heyday_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817090,HYQ30_gp104,HYQ30_gp104,heyday_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817091,HYQ30_gp105,HYQ30_gp105,heyday_105,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210313,-
2713301,55817092,HYQ30_gp106,HYQ30_gp106,heyday_106,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210129,-
2713301,55817093,HYQ30_gp107,HYQ30_gp107,heyday_107,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210313,-
2713301,55817094,HYQ30_gp108,HYQ30_gp108,heyday_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817095,HYQ30_gp109,HYQ30_gp109,heyday_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817096,HYQ30_gp110,HYQ30_gp110,heyday_110,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20201222,-
2713301,55817097,HYQ30_gp111,HYQ30_gp111,heyday_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817098,HYQ30_gp112,HYQ30_gp112,heyday_112,-,-,-,FmdB family domain protein,protein-coding,-,-,-,FmdB family domain protein,20201222,-
2713301,55817099,HYQ30_gp113,HYQ30_gp113,heyday_113,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20201222,-
2713301,55817100,HYQ30_gp114,HYQ30_gp114,heyday_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817101,HYQ30_gp115,HYQ30_gp115,heyday_115,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210129,-
2713301,55817102,HYQ30_gp116,HYQ30_gp116,heyday_116,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20201222,-
2713301,55817103,HYQ30_gp117,HYQ30_gp117,heyday_117,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20201222,-
2713301,55817104,HYQ30_gp118,HYQ30_gp118,heyday_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817105,HYQ30_gp119,HYQ30_gp119,heyday_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817106,HYQ30_gp120,HYQ30_gp120,heyday_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817107,HYQ30_gp121,HYQ30_gp121,heyday_121,-,-,-,putative kinase,protein-coding,-,-,-,putative kinase,20210129,-
2713301,55817108,HYQ30_gp122,HYQ30_gp122,heyday_122,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210129,-
2713301,55817109,HYQ30_gp123,HYQ30_gp123,heyday_123,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20201222,-
2713301,55817110,HYQ30_gp124,HYQ30_gp124,heyday_124,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210327,-
2713301,55817111,HYQ30_gp125,HYQ30_gp125,heyday_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817112,HYQ30_gp126,HYQ30_gp126,heyday_126,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20201222,-
2713301,55817113,HYQ30_gp127,HYQ30_gp127,heyday_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817114,HYQ30_gp128,HYQ30_gp128,heyday_128,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210123,-
2713301,55817115,HYQ30_gp129,HYQ30_gp129,heyday_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817116,HYQ30_gp130,HYQ30_gp130,heyday_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817117,HYQ30_gp131,HYQ30_gp131,heyday_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817118,HYQ30_gp132,HYQ30_gp132,heyday_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817119,HYQ30_gp133,HYQ30_gp133,heyday_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817120,HYQ30_gp134,HYQ30_gp134,heyday_134,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201222,-
2713301,55817121,HYQ30_gp135,HYQ30_gp135,heyday_135,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210129,-
2713301,55817122,HYQ30_gp136,HYQ30_gp136,heyday_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817123,HYQ30_gp137,HYQ30_gp137,heyday_137,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20201222,-
2713301,55817124,HYQ30_gp138,HYQ30_gp138,heyday_138,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20201222,-
2713301,55817125,HYQ30_gp139,HYQ30_gp139,heyday_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817126,HYQ30_gp140,HYQ30_gp140,heyday_140,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20210123,-
2713301,55817127,HYQ30_gp141,HYQ30_gp141,heyday_141,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20201222,-
2713301,55817128,HYQ30_gp142,HYQ30_gp142,heyday_142,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210123,-
2713301,55817129,HYQ30_gp143,HYQ30_gp143,heyday_143,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20210313,-
2713301,55817130,HYQ30_gp144,HYQ30_gp144,heyday_144,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20210313,-
2713301,55817131,HYQ30_gp145,HYQ30_gp145,heyday_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817132,HYQ30_gp146,HYQ30_gp146,heyday_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817133,HYQ30_gp147,HYQ30_gp147,heyday_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817134,HYQ30_gp148,HYQ30_gp148,heyday_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817135,HYQ30_gp149,HYQ30_gp149,heyday_149,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210327,-
2713301,55817136,HYQ30_gp150,HYQ30_gp150,heyday_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817137,HYQ30_gp151,HYQ30_gp151,heyday_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55817138,HYQ30_gp152,HYQ30_gp152,heyday_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817139,HYQ30_gp153,HYQ30_gp153,heyday_153,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210313,-
2713301,55817140,HYQ30_gp154,HYQ30_gp154,heyday_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817141,HYQ30_gp155,HYQ30_gp155,heyday_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713301,55817142,HYQ30_gp156,HYQ30_gp156,heyday_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817143,HYQ30_gp157,HYQ30_gp157,heyday_157,-,-,-,calcium-binding hemolysin protein,protein-coding,-,-,-,calcium-binding hemolysin protein,20201222,-
2713301,55817144,HYQ30_gp158,HYQ30_gp158,heyday_158,-,-,-,C-N hydrolase superfamily protein,protein-coding,-,-,-,C-N hydrolase superfamily protein,20201222,-
2713301,55817145,HYQ30_gp159,HYQ30_gp159,heyday_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817146,HYQ30_gp160,HYQ30_gp160,heyday_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817147,HYQ30_gp161,HYQ30_gp161,heyday_161,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210327,-
2713301,55817148,HYQ30_gp162,HYQ30_gp162,heyday_162,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210129,-
2713301,55817149,HYQ30_gp163,HYQ30_gp163,heyday_163,-,-,-,viral tegument-like protein,protein-coding,-,-,-,viral tegument-like protein,20201222,-
2713301,55817150,HYQ30_gp164,HYQ30_gp164,heyday_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817151,HYQ30_gp165,HYQ30_gp165,heyday_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817152,HYQ30_gp166,HYQ30_gp166,heyday_166,-,-,-,putative histone-like protein,protein-coding,-,-,-,putative histone-like protein,20201222,-
2713301,55817153,HYQ30_gp167,HYQ30_gp167,heyday_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817154,HYQ30_gp168,HYQ30_gp168,heyday_168,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210313,-
2713301,55817155,HYQ30_gp169,HYQ30_gp169,heyday_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817156,HYQ30_gp170,HYQ30_gp170,heyday_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817157,HYQ30_gp171,HYQ30_gp171,heyday_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817158,HYQ30_gp172,HYQ30_gp172,heyday_172,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210129,-
2713301,55817159,HYQ30_gp173,HYQ30_gp173,heyday_173,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20201222,-
2713301,55817160,HYQ30_gp174,HYQ30_gp174,heyday_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817161,HYQ30_gp175,HYQ30_gp175,heyday_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817162,HYQ30_gp176,HYQ30_gp176,heyday_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817163,HYQ30_gp177,HYQ30_gp177,heyday_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817164,HYQ30_gp178,HYQ30_gp178,heyday_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
