#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
981335,14297427,G185_gp21,G185_gp21,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20201220,-
981335,14297474,G185_gp49,G185_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297475,G185_gp50,G185_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297476,G185_gp51,G185_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297477,G185_gp52,G185_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297478,G185_gp53,G185_gp53,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201220,-
981335,14297479,G185_gp54,G185_gp54,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201220,-
981335,14297480,G185_gp55,G185_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297481,G185_gp56,G185_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297482,G185_gp57,G185_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297483,G185_gp58,G185_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297484,G185_gp59,G185_gp59,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
981335,14297485,G185_gp60,G185_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297486,G185_gp61,G185_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297487,G185_gp62,G185_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297488,G185_gp63,G185_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297489,G185_gp64,G185_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297490,G185_gp65,G185_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297491,G185_gp66,G185_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297492,G185_gp19,G185_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14311096,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage TJE1).,other,-,-,-,-,20200513,-
