#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675548,26626232,BARRIGA_2,BARRIGA_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1675548,26626294,BARRIGA_65,BARRIGA_65,-,-,-,-,NrdH-like protein,protein-coding,-,-,-,NrdH-like protein,20210406,-
1675548,26626295,BARRIGA_66,BARRIGA_66,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210417,-
1675548,26626296,BARRIGA_67,BARRIGA_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626297,BARRIGA_68,BARRIGA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626298,BARRIGA_69,BARRIGA_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626299,BARRIGA_70,BARRIGA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626300,BARRIGA_71,BARRIGA_71,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201221,-
1675548,26626301,BARRIGA_72,BARRIGA_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626302,BARRIGA_73,BARRIGA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626303,BARRIGA_74,BARRIGA_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626304,BARRIGA_75,BARRIGA_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626305,BARRIGA_76,BARRIGA_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626306,BARRIGA_77,BARRIGA_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626307,BARRIGA_78,BARRIGA_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626308,BARRIGA_79,BARRIGA_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626309,BARRIGA_80,BARRIGA_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626310,BARRIGA_81,BARRIGA_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626311,BARRIGA_82,BARRIGA_82,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1675548,26626312,BARRIGA_83,BARRIGA_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626313,BARRIGA_84,BARRIGA_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626314,BARRIGA_85,BARRIGA_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626315,BARRIGA_86,BARRIGA_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626316,BARRIGA_87,BARRIGA_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626317,BARRIGA_88,BARRIGA_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626318,BARRIGA_89,BARRIGA_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626319,BARRIGA_90,BARRIGA_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626320,BARRIGA_91,BARRIGA_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626321,BARRIGA_92,BARRIGA_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626322,BARRIGA_93,BARRIGA_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626323,BARRIGA_94,BARRIGA_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626324,BARRIGA_95,BARRIGA_95,-,-,-,-,NifU-like protein,protein-coding,-,-,-,NifU-like protein,20201221,-
1675548,26626325,BARRIGA_96,BARRIGA_96,-,-,-,-,tRNA methyltransferase,protein-coding,-,-,-,tRNA methyltransferase,20201221,-
1675548,26626326,BARRIGA_97,BARRIGA_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626327,BARRIGA_98,BARRIGA_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626328,BARRIGA_99,BARRIGA_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626329,BARRIGA_100,BARRIGA_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626330,BARRIGA_101,BARRIGA_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1675548,26626331,BARRIGA_102,BARRIGA_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626332,BARRIGA_1,BARRIGA_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26680877,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Barriga).,other,-,-,-,-,20200513,-
