#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
697581,25405473,TCARB_RS00005,TCARB_RS00005,TCARB_0001,-,-,-,adenosine-specific kinase,protein-coding,-,-,-,adenosine-specific kinase,20201026,-
697581,25405492,TCARB_RS00100,TCARB_RS00100,TCARB_0023,-,-,-,phosphoadenosine phosphosulfate reductase family protein,protein-coding,-,-,-,phosphoadenosine phosphosulfate reductase family protein,20200829,-
697581,25405493,TCARB_RS00105,TCARB_RS00105,TCARB_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405494,TCARB_RS00110,TCARB_RS00110,TCARB_0027,-,-,-,elongation factor 1-beta,protein-coding,-,-,-,elongation factor 1-beta,20200919,-
697581,25405495,TCARB_RS00115,TCARB_RS00115,TCARB_0028,-,-,-,PRC-barrel domain-containing protein,protein-coding,-,-,-,PRC-barrel domain-containing protein,20201026,-
697581,25405496,TCARB_RS00120,TCARB_RS00120,TCARB_1969,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25405497,TCARB_RS00125,TCARB_RS00125,TCARB_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405498,TCARB_RS00130,TCARB_RS00130,TCARB_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405499,TCARB_RS00135,TCARB_RS00135,TCARB_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405500,TCARB_RS00140,TCARB_RS00140,TCARB_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405501,TCARB_RS00145,TCARB_RS00145,TCARB_0034,-,-,-,DUF1512 domain-containing protein,protein-coding,-,-,-,DUF1512 domain-containing protein,20201026,-
697581,25405502,TCARB_RS00150,TCARB_RS00150,TCARB_0035,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20201026,-
697581,25405503,TCARB_RS00155,TCARB_RS00155,TCARB_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405504,TCARB_RS00160,TCARB_RS00160,TCARB_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405505,TCARB_RS00165,TCARB_RS00165,TCARB_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405506,TCARB_RS00170,TCARB_RS00170,TCARB_0039,-,-,-,TIGR00270 family protein,protein-coding,-,-,-,TIGR00270 family protein,20201026,-
697581,25405507,hflX,TCARB_RS00175,TCARB_0040,-,-,-,GTPase HflX,protein-coding,-,-,-,GTPase HflX,20200829,-
697581,25405508,TCARB_RS00180,TCARB_RS00180,TCARB_0041,-,-,-,tRNA (cytidine(56)-2'-O)-methyltransferase,protein-coding,-,-,-,tRNA (cytidine(56)-2'-O)-methyltransferase,20200829,-
697581,25405509,TCARB_RS00185,TCARB_RS00185,TCARB_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405510,TCARB_RS00190,TCARB_RS00190,TCARB_0043,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200829,-
697581,25405511,TCARB_RS00195,TCARB_RS00195,TCARB_0044,-,-,-,energy-coupling factor transporter transmembrane protein EcfT,protein-coding,-,-,-,energy-coupling factor transporter transmembrane protein EcfT,20200829,-
697581,25405512,TCARB_RS00200,TCARB_RS00200,TCARB_0045,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200829,-
697581,25405513,TCARB_RS00205,TCARB_RS00205,TCARB_0046,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200829,-
697581,25405514,TCARB_RS00210,TCARB_RS00210,TCARB_0047,-,-,-,redox-regulated ATPase YchF,protein-coding,-,-,-,redox-regulated ATPase YchF,20200919,-
697581,25405515,TCARB_RS00215,TCARB_RS00215,TCARB_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405516,TCARB_RS00220,TCARB_RS00220,TCARB_0049,-,-,-,Gfo/Idh/MocA family oxidoreductase,protein-coding,-,-,-,Gfo/Idh/MocA family oxidoreductase,20200829,-
697581,25405517,rrf,TCARB_RS00225,TCARB_2010,-,-,-,-,rRNA,-,-,-,-,20200829,-
697581,25405518,TCARB_RS00230,TCARB_RS00230,TCARB_0050,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20201026,-
697581,25405519,TCARB_RS00235,TCARB_RS00235,TCARB_0051,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20200829,-
697581,25405520,TCARB_RS00240,TCARB_RS00240,TCARB_0052,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200829,-
697581,25405521,TCARB_RS00245,TCARB_RS00245,TCARB_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405522,TCARB_RS00250,TCARB_RS00250,TCARB_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405523,TCARB_RS00255,TCARB_RS00255,TCARB_0056,-,-,-,tetratricopeptide repeat-containing protein,protein-coding,-,-,-,tetratricopeptide repeat-containing protein,20200829,-
697581,25405524,TCARB_RS00260,TCARB_RS00260,TCARB_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405525,TCARB_RS00265,TCARB_RS00265,TCARB_0058,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200829,-
697581,25405526,TCARB_RS00270,TCARB_RS00270,TCARB_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405527,tadA,TCARB_RS00275,TCARB_0060,-,-,-,Flp pilus assembly complex ATPase component TadA,protein-coding,-,-,-,Flp pilus assembly complex ATPase component TadA,20201026,-
697581,25405528,TCARB_RS00280,TCARB_RS00280,TCARB_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405529,TCARB_RS00285,TCARB_RS00285,TCARB_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405530,TCARB_RS00290,TCARB_RS00290,TCARB_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405531,TCARB_RS00295,TCARB_RS00295,TCARB_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405532,TCARB_RS00300,TCARB_RS00300,TCARB_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405533,TCARB_RS00305,TCARB_RS00305,TCARB_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405534,TCARB_RS00310,TCARB_RS00310,TCARB_0068,-,-,-,ribosomal protein L13e,protein-coding,-,-,-,ribosomal protein L13e,20200919,-
697581,25405535,TCARB_RS00315,TCARB_RS00315,TCARB_0069,-,-,-,TFIIB-type zinc finger domain-containing protein,protein-coding,-,-,-,TFIIB-type zinc finger domain-containing protein,20200829,-
697581,25405536,TCARB_RS00320,TCARB_RS00320,TCARB_0070,-,-,-,ribonucleoprotein,protein-coding,-,-,-,ribonucleoprotein,20200919,-
697581,25405537,TCARB_RS00325,TCARB_RS00325,TCARB_0071,-,-,-,methionine adenosyltransferase,protein-coding,-,-,-,methionine adenosyltransferase,20201026,-
697581,25405538,TCARB_RS00330,TCARB_RS00330,TCARB_0072,-,-,-,DUF460 domain-containing protein,protein-coding,-,-,-,DUF460 domain-containing protein,20200829,-
697581,25405539,TCARB_RS00335,TCARB_RS00335,TCARB_0073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405541,TCARB_RS00345,TCARB_RS00345,TCARB_0077,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200829,-
697581,25405542,TCARB_RS00350,TCARB_RS00350,TCARB_0078,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210424,-
697581,25405543,TCARB_RS00355,TCARB_RS00355,TCARB_0079,-,-,-,carboxypeptidase regulatory-like domain-containing protein,protein-coding,-,-,-,carboxypeptidase regulatory-like domain-containing protein,20200829,-
697581,25405544,TCARB_RS00360,TCARB_RS00360,TCARB_0080,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200829,-
697581,25405545,TCARB_RS00365,TCARB_RS00365,TCARB_0081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405546,TCARB_RS00370,TCARB_RS00370,TCARB_0082,-,-,-,NFACT family protein,protein-coding,-,-,-,NFACT family protein,20200829,-
697581,25405547,TCARB_RS00375,TCARB_RS00375,TCARB_0083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405548,TCARB_RS00380,TCARB_RS00380,TCARB_0084,-,-,-,Mut7-C RNAse domain-containing protein,protein-coding,-,-,-,Mut7-C RNAse domain-containing protein,20201026,-
697581,25405549,TCARB_RS00385,TCARB_RS00385,TCARB_0085,-,-,-,TIGR00296 family protein,protein-coding,-,-,-,TIGR00296 family protein,20201026,-
697581,25405550,TCARB_RS00390,TCARB_RS00390,TCARB_0086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
697581,25405551,TCARB_RS00395,TCARB_RS00395,TCARB_0087,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20201026,-
697581,25405552,TCARB_RS00400,TCARB_RS00400,TCARB_0088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405553,TCARB_RS00405,TCARB_RS00405,TCARB_0089,-,-,-,carbohydrate kinase family protein,protein-coding,-,-,-,carbohydrate kinase family protein,20200829,-
697581,25405554,TCARB_RS00410,TCARB_RS00410,TCARB_0090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405555,TCARB_RS00415,TCARB_RS00415,TCARB_0091,-,-,-,threonine--tRNA ligase,protein-coding,-,-,-,threonine--tRNA ligase,20201026,-
697581,25405556,TCARB_RS00420,TCARB_RS00420,TCARB_0092,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210529,-
697581,25405557,TCARB_RS00425,TCARB_RS00425,TCARB_0093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405558,TCARB_RS00430,TCARB_RS00430,TCARB_0094,-,-,-,ParB N-terminal domain-containing protein,protein-coding,-,-,-,ParB N-terminal domain-containing protein,20210424,-
697581,25405559,TCARB_RS00435,TCARB_RS00435,TCARB_0095,-,-,-,phosphate uptake regulator PhoU,protein-coding,-,-,-,phosphate uptake regulator PhoU,20200829,-
697581,25405560,TCARB_RS00440,TCARB_RS00440,TCARB_0096,-,-,-,IMP dehydrogenase,protein-coding,-,-,-,IMP dehydrogenase,20201026,-
697581,25405561,TCARB_RS00445,TCARB_RS00445,TCARB_0097,-,-,-,amidohydrolase family protein,protein-coding,-,-,-,amidohydrolase family protein,20201026,-
697581,25405562,guaA,TCARB_RS00450,TCARB_0098,-,-,-,glutamine-hydrolyzing GMP synthase,protein-coding,-,-,-,glutamine-hydrolyzing GMP synthase,20201026,-
697581,25405563,TCARB_RS00455,TCARB_RS00455,TCARB_0100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405564,TCARB_RS00460,TCARB_RS00460,TCARB_0101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405565,TCARB_RS00465,TCARB_RS00465,TCARB_0102,-,-,-,acylphosphatase,protein-coding,-,-,-,acylphosphatase,20200829,-
697581,25405566,TCARB_RS00470,TCARB_RS00470,TCARB_0103,-,-,-,molybdopterin molybdotransferase MoeA,protein-coding,-,-,-,molybdopterin molybdotransferase MoeA,20201026,-
697581,25405567,TCARB_RS00475,TCARB_RS00475,TCARB_0104,-,-,-,molybdopterin biosynthesis protein,protein-coding,-,-,-,molybdopterin biosynthesis protein,20200829,-
697581,25405568,pstS,TCARB_RS00480,TCARB_0105,-,-,-,phosphate ABC transporter substrate-binding protein PstS,protein-coding,-,-,-,phosphate ABC transporter substrate-binding protein PstS,20200829,-
697581,25405569,pstC,TCARB_RS00485,TCARB_0106,-,-,-,phosphate ABC transporter permease subunit PstC,protein-coding,-,-,-,phosphate ABC transporter permease subunit PstC,20201026,-
697581,25405570,TCARB_RS00490,TCARB_RS00490,TCARB_0107,-,-,-,phosphate ABC transporter permease PstA,protein-coding,-,-,-,phosphate ABC transporter permease PstA,20201026,-
697581,25405571,TCARB_RS00495,TCARB_RS00495,TCARB_0108,-,-,-,phosphate ABC transporter ATP-binding protein,protein-coding,-,-,-,phosphate ABC transporter ATP-binding protein,20200829,-
697581,25405572,TCARB_RS00500,TCARB_RS00500,-,-,-,-,DUF998 domain-containing protein,protein-coding,-,-,-,DUF998 domain-containing protein,20200829,-
697581,25405573,TCARB_RS00505,TCARB_RS00505,TCARB_0111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405574,apgM,TCARB_RS00510,TCARB_0112,-,-,-,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",protein-coding,-,-,-,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",20201026,-
697581,25405575,TCARB_RS00515,TCARB_RS00515,TCARB_0113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405576,TCARB_RS00520,TCARB_RS00520,TCARB_0115,-,-,-,NAD+ synthase,protein-coding,-,-,-,NAD+ synthase,20201026,-
697581,25405577,TCARB_RS00525,TCARB_RS00525,TCARB_0116,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20201026,-
697581,25405578,TCARB_RS00530,TCARB_RS00530,TCARB_0117,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
697581,25405579,TCARB_RS00535,TCARB_RS00535,TCARB_0118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405580,TCARB_RS00540,TCARB_RS00540,TCARB_0119,-,-,-,PDGLE domain-containing protein,protein-coding,-,-,-,PDGLE domain-containing protein,20201026,-
697581,25405581,TCARB_RS00545,TCARB_RS00545,TCARB_0120,-,-,-,energy-coupling factor ABC transporter permease,protein-coding,-,-,-,energy-coupling factor ABC transporter permease,20201026,-
697581,25405582,TCARB_RS00550,TCARB_RS00550,TCARB_0121,-,-,-,UbiA family prenyltransferase,protein-coding,-,-,-,UbiA family prenyltransferase,20201026,-
697581,25405583,TCARB_RS00555,TCARB_RS00555,TCARB_0122,-,-,-,8-oxo-dGTP diphosphatase,protein-coding,-,-,-,8-oxo-dGTP diphosphatase,20200829,-
697581,25405584,cyoE,TCARB_RS00560,TCARB_0123,-,-,-,protoheme IX farnesyltransferase,protein-coding,-,-,-,protoheme IX farnesyltransferase,20200829,-
697581,25405585,TCARB_RS00565,TCARB_RS00565,TCARB_0124,-,-,-,DUF504 domain-containing protein,protein-coding,-,-,-,DUF504 domain-containing protein,20201026,-
697581,25405586,gap,TCARB_RS00570,TCARB_0125,-,-,-,type I glyceraldehyde-3-phosphate dehydrogenase,protein-coding,-,-,-,type I glyceraldehyde-3-phosphate dehydrogenase,20201026,-
697581,25405587,TCARB_RS00575,TCARB_RS00575,TCARB_0127,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201217,-
697581,25405588,TCARB_RS00580,TCARB_RS00580,TCARB_0128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405589,TCARB_RS00585,TCARB_RS00585,TCARB_0129,-,-,-,carboxypeptidase regulatory-like domain-containing protein,protein-coding,-,-,-,carboxypeptidase regulatory-like domain-containing protein,20200829,-
697581,25405590,TCARB_RS00590,TCARB_RS00590,TCARB_0130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405591,uppS,TCARB_RS00595,TCARB_0131,-,-,-,"di-trans,poly-cis-decaprenylcistransferase",protein-coding,-,-,-,"di-trans,poly-cis-decaprenylcistransferase",20200829,-
697581,25405592,deoC,TCARB_RS00600,TCARB_0132,-,-,-,deoxyribose-phosphate aldolase,protein-coding,-,-,-,deoxyribose-phosphate aldolase,20200829,-
697581,25405593,TCARB_RS00605,TCARB_RS00605,TCARB_0133,-,-,-,hydroxymethylglutaryl-CoA synthase,protein-coding,-,-,-,hydroxymethylglutaryl-CoA synthase,20201026,-
697581,25405594,TCARB_RS00610,TCARB_RS00610,TCARB_0134,-,-,-,thiolase domain-containing protein,protein-coding,-,-,-,thiolase domain-containing protein,20201026,-
697581,25405595,TCARB_RS00615,TCARB_RS00615,TCARB_0135,-,-,-,Zn-ribbon domain-containing OB-fold protein,protein-coding,-,-,-,Zn-ribbon domain-containing OB-fold protein,20201026,-
697581,25405596,TCARB_RS00620,TCARB_RS00620,TCARB_0136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405597,TCARB_RS00625,TCARB_RS00625,TCARB_0137,-,-,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,protein-coding,-,-,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,20201026,-
697581,25405598,TCARB_RS00630,TCARB_RS00630,TCARB_0138,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210529,-
697581,25405599,TCARB_RS00635,TCARB_RS00635,TCARB_0139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405600,TCARB_RS00640,TCARB_RS00640,TCARB_0140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405601,TCARB_RS00645,TCARB_RS00645,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405602,TCARB_RS00650,TCARB_RS00650,TCARB_0143,-,-,-,phosphoglycerate kinase,protein-coding,-,-,-,phosphoglycerate kinase,20200829,-
697581,25405603,TCARB_RS00655,TCARB_RS00655,TCARB_0144,-,-,-,proteasome assembly chaperone family protein,protein-coding,-,-,-,proteasome assembly chaperone family protein,20200829,-
697581,25405604,TCARB_RS00660,TCARB_RS00660,TCARB_0145,-,-,-,Hsp20/alpha crystallin family protein,protein-coding,-,-,-,Hsp20/alpha crystallin family protein,20201026,-
697581,25405605,TCARB_RS00665,TCARB_RS00665,TCARB_0146,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200919,-
697581,25405606,TCARB_RS00670,TCARB_RS00670,-,-,-,-,type II secretion system F family protein,protein-coding,-,-,-,type II secretion system F family protein,20201026,-
697581,25405607,TCARB_RS00675,TCARB_RS00675,TCARB_0149,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20201026,-
697581,25405608,TCARB_RS00680,TCARB_RS00680,TCARB_0150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405609,TCARB_RS00685,TCARB_RS00685,TCARB_0151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405610,iorA,TCARB_RS00690,TCARB_0152,-,-,-,indolepyruvate ferredoxin oxidoreductase subunit alpha,protein-coding,-,-,-,indolepyruvate ferredoxin oxidoreductase subunit alpha,20200919,-
697581,25405611,TCARB_RS00695,TCARB_RS00695,TCARB_0153,-,-,-,indolepyruvate oxidoreductase subunit beta,protein-coding,-,-,-,indolepyruvate oxidoreductase subunit beta,20200829,-
697581,25405612,TCARB_RS00700,TCARB_RS00700,TCARB_0154,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210529,-
697581,25405613,TCARB_RS00705,TCARB_RS00705,TCARB_0156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405614,TCARB_RS00710,TCARB_RS00710,TCARB_0157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405615,lysS,TCARB_RS00715,TCARB_0158,-,-,-,lysine--tRNA ligase,protein-coding,-,-,-,lysine--tRNA ligase,20200829,-
697581,25405616,TCARB_RS00720,TCARB_RS00720,TCARB_0159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405617,TCARB_RS00725,TCARB_RS00725,TCARB_0160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405618,TCARB_RS00730,TCARB_RS00730,TCARB_0161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405619,TCARB_RS00735,TCARB_RS00735,TCARB_0162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405620,TCARB_RS00740,TCARB_RS00740,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405621,TCARB_RS00745,TCARB_RS00745,TCARB_0163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405622,TCARB_RS00750,TCARB_RS00750,TCARB_0164,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20200919,-
697581,25405623,TCARB_RS00755,TCARB_RS00755,TCARB_0165,-,-,-,DUF126 domain-containing protein,protein-coding,-,-,-,DUF126 domain-containing protein,20200829,-
697581,25405624,TCARB_RS00760,TCARB_RS00760,TCARB_0166,-,-,-,aconitase X catalytic domain-containing protein,protein-coding,-,-,-,aconitase X catalytic domain-containing protein,20201026,-
697581,25405625,TCARB_RS00765,TCARB_RS00765,TCARB_0167,-,-,-,PEGA domain-containing protein,protein-coding,-,-,-,PEGA domain-containing protein,20200919,-
697581,25405626,TCARB_RS00770,TCARB_RS00770,TCARB_0169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405627,TCARB_RS00775,TCARB_RS00775,TCARB_0170,-,-,-,type II secretion system F family protein,protein-coding,-,-,-,type II secretion system F family protein,20200829,-
697581,25405629,TCARB_RS00785,TCARB_RS00785,TCARB_1970,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25405630,TCARB_RS00790,TCARB_RS00790,TCARB_0172,-,-,-,phosphomannomutase/phosphoglucomutase,protein-coding,-,-,-,phosphomannomutase/phosphoglucomutase,20201026,-
697581,25405631,TCARB_RS00795,TCARB_RS00795,TCARB_0173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405632,TCARB_RS00800,TCARB_RS00800,TCARB_0174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405633,TCARB_RS00805,TCARB_RS00805,TCARB_0175,-,-,-,V-type ATP synthase subunit E,protein-coding,-,-,-,V-type ATP synthase subunit E,20201026,-
697581,25405634,TCARB_RS00810,TCARB_RS00810,TCARB_0176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405635,TCARB_RS00815,TCARB_RS00815,TCARB_0177,-,-,-,Trm112 family protein,protein-coding,-,-,-,Trm112 family protein,20200919,-
697581,25405636,TCARB_RS00820,TCARB_RS00820,TCARB_0178,-,-,-,glutamate--tRNA ligase,protein-coding,-,-,-,glutamate--tRNA ligase,20200919,-
697581,25405638,TCARB_RS00830,TCARB_RS00830,TCARB_0179,-,-,-,class I SAM-dependent methyltransferase family protein,protein-coding,-,-,-,class I SAM-dependent methyltransferase family protein,20201217,-
697581,25405639,TCARB_RS00835,TCARB_RS00835,TCARB_0180,-,-,-,type II/IV secretion system ATPase subunit,protein-coding,-,-,-,type II/IV secretion system ATPase subunit,20200829,-
697581,25405640,TCARB_RS00840,TCARB_RS00840,TCARB_0181,-,-,-,ankyrin repeat domain-containing protein,protein-coding,-,-,-,ankyrin repeat domain-containing protein,20201026,-
697581,25405641,TCARB_RS00845,TCARB_RS00845,TCARB_0182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
