#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23797465,HTIA_RS15155,HTIA_RS15155,-,-,-,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20201105,-
1033806,23797466,HTIA_RS15150,HTIA_RS15150,HTIA_p3038,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797467,HTIA_RS15145,HTIA_RS15145,HTIA_p3037,-,-,-,IS5 family transposase,protein-coding,-,-,-,IS5 family transposase,20201105,-
1033806,23797469,HTIA_RS15135,HTIA_RS15135,HTIA_p3035,-,-,-,IS1595-like element ISHti15 family transposase,protein-coding,-,-,-,IS1595-like element ISHti15 family transposase,20201105,-
1033806,23797470,trkA,HTIA_RS15130,HTIA_p3034,-,-,-,Trk system potassium transporter TrkA,protein-coding,-,-,-,Trk system potassium transporter TrkA,20201105,-
1033806,23797471,HTIA_RS15125,HTIA_RS15125,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797472,HTIA_RS15120,HTIA_RS15120,-,-,-,-,IclR family transcriptional regulator,protein-coding,-,-,-,IclR family transcriptional regulator,20201105,-
1033806,23797473,HTIA_RS15115,HTIA_RS15115,HTIA_p3033,-,-,-,sulfite exporter TauE/SafE family protein,protein-coding,-,-,-,sulfite exporter TauE/SafE family protein,20201105,-
1033806,23797474,HTIA_RS15110,HTIA_RS15110,HTIA_p3032,-,-,-,heavy metal translocating P-type ATPase,protein-coding,-,-,-,heavy metal translocating P-type ATPase,20201105,-
1033806,23797475,HTIA_RS15105,HTIA_RS15105,HTIA_p3031,-,-,-,deoxyhypusine synthase,protein-coding,-,-,-,deoxyhypusine synthase,20201105,-
1033806,23797476,HTIA_RS15100,HTIA_RS15100,-,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20201105,-
1033806,23797477,HTIA_RS15095,HTIA_RS15095,HTIA_p3026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797478,HTIA_RS15090,HTIA_RS15090,HTIA_p3025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797479,HTIA_RS15085,HTIA_RS15085,HTIA_p3024,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20201222,-
1033806,23797480,HTIA_RS15080,HTIA_RS15080,HTIA_p3023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
1033806,23797481,HTIA_RS15075,HTIA_RS15075,HTIA_p3022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797482,HTIA_RS15070,HTIA_RS15070,HTIA_p3021,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210103,-
1033806,23797483,HTIA_RS15065,HTIA_RS15065,HTIA_p3020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797484,HTIA_RS15060,HTIA_RS15060,HTIA_p3019,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20210202,-
1033806,23797485,HTIA_RS15055,HTIA_RS15055,HTIA_p3018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797486,HTIA_RS15050,HTIA_RS15050,HTIA_p3017,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201105,-
1033806,23797487,HTIA_RS15045,HTIA_RS15045,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797488,HTIA_RS15040,HTIA_RS15040,HTIA_p3013,-,-,-,DrmE family protein,protein-coding,-,-,-,DrmE family protein,20210312,-
1033806,23797489,HTIA_RS15035,HTIA_RS15035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797490,HTIA_RS15030,HTIA_RS15030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797491,HTIA_RS15025,HTIA_RS15025,HTIA_p3012,-,-,-,helicase,protein-coding,-,-,-,helicase,20210202,-
1033806,23797493,HTIA_RS15015,HTIA_RS15015,-,-,-,-,phospholipase D family protein,protein-coding,-,-,-,phospholipase D family protein,20201105,-
1033806,23797494,HTIA_RS15010,HTIA_RS15010,HTIA_p3010,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201105,-
1033806,23797495,HTIA_RS15005,HTIA_RS15005,HTIA_p3009,-,-,-,transcription initiation factor IIB family protein,protein-coding,-,-,-,transcription initiation factor IIB family protein,20201105,-
1033806,23797496,HTIA_RS15000,HTIA_RS15000,HTIA_p3008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797497,HTIA_RS14995,HTIA_RS14995,HTIA_p3007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797498,HTIA_RS14990,HTIA_RS14990,HTIA_p3006,-,-,-,transposase,protein-coding,-,-,-,transposase,20210202,-
1033806,23797499,HTIA_RS14985,HTIA_RS14985,HTIA_p3005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210103,-
1033806,23797500,HTIA_RS14980,HTIA_RS14980,HTIA_p3004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797501,HTIA_RS14975,HTIA_RS14975,HTIA_p3003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797502,HTIA_RS14970,HTIA_RS14970,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201105,-
1033806,23797503,HTIA_RS14965,HTIA_RS14965,-,-,-,-,cation-translocating P-type ATPase,protein-coding,-,-,-,cation-translocating P-type ATPase,20210424,-
1033806,23797504,HTIA_RS14960,HTIA_RS14960,HTIA_p3002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797505,HTIA_RS14955,HTIA_RS14955,HTIA_p3001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797506,HTIA_RS14950,HTIA_RS14950,HTIA_p3000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797507,HTIA_RS14945,HTIA_RS14945,HTIA_p2999,-,-,-,transposase,protein-coding,-,-,-,transposase,20201105,-
1033806,23797510,HTIA_RS14930,HTIA_RS14930,HTIA_p2998,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797511,HTIA_RS14925,HTIA_RS14925,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797512,HTIA_RS14920,HTIA_RS14920,HTIA_p2997,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797513,HTIA_RS14915,HTIA_RS14915,HTIA_p2996,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797514,HTIA_RS14910,HTIA_RS14910,HTIA_p2995,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201105,-
1033806,23797515,HTIA_RS14905,HTIA_RS14905,HTIA_p2994,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797516,HTIA_RS14900,HTIA_RS14900,HTIA_p2993,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797517,HTIA_RS14895,HTIA_RS14895,HTIA_p2992,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210202,-
1033806,23797519,HTIA_RS14885,HTIA_RS14885,HTIA_p2990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797520,HTIA_RS14880,HTIA_RS14880,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797521,HTIA_RS14875,HTIA_RS14875,HTIA_p2988,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797522,HTIA_RS14870,HTIA_RS14870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797523,HTIA_RS14865,HTIA_RS14865,HTIA_p2987,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797524,HTIA_RS14860,HTIA_RS14860,HTIA_p2986,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20210312,-
1033806,23797525,HTIA_RS14855,HTIA_RS14855,HTIA_p2985,-,-,-,flavodoxin,protein-coding,-,-,-,flavodoxin,20201105,-
1033806,23797526,HTIA_RS14850,HTIA_RS14850,HTIA_p2984,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20201105,-
1033806,23797527,HTIA_RS14845,HTIA_RS14845,HTIA_p2983,-,-,-,cupin domain-containing protein,protein-coding,-,-,-,cupin domain-containing protein,20201105,-
1033806,23797528,HTIA_RS14840,HTIA_RS14840,HTIA_p2982,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210202,-
1033806,23797529,HTIA_RS14835,HTIA_RS14835,HTIA_p2981,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1033806,23797530,HTIA_RS14830,HTIA_RS14830,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797531,HTIA_RS14825,HTIA_RS14825,HTIA_p2979,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797532,HTIA_RS14820,HTIA_RS14820,HTIA_p2978,-,-,-,DNA-directed RNA polymerase sigma-70 factor,protein-coding,-,-,-,DNA-directed RNA polymerase sigma-70 factor,20210202,-
1033806,23797533,HTIA_RS14815,HTIA_RS14815,HTIA_p2977,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797534,HTIA_RS14810,HTIA_RS14810,HTIA_p2976,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797535,HTIA_RS14805,HTIA_RS14805,HTIA_p2975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797536,HTIA_RS14800,HTIA_RS14800,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797537,HTIA_RS14795,HTIA_RS14795,HTIA_p2973,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797538,HTIA_RS14790,HTIA_RS14790,HTIA_p2972,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797539,HTIA_RS14785,HTIA_RS14785,HTIA_p2971,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797541,HTIA_RS14775,HTIA_RS14775,HTIA_p2970,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201105,-
1033806,23797542,HTIA_RS14770,HTIA_RS14770,HTIA_p2969,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797543,HTIA_RS14765,HTIA_RS14765,HTIA_p2968,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201105,-
1033806,23797544,HTIA_RS14760,HTIA_RS14760,HTIA_p2967,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797545,HTIA_RS14755,HTIA_RS14755,HTIA_p2966,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20201105,-
1033806,23797546,HTIA_RS14750,HTIA_RS14750,HTIA_p2965,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20201105,-
1033806,23797547,HTIA_RS14745,HTIA_RS14745,HTIA_p2964,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20201105,-
1033806,23797548,HTIA_RS14740,HTIA_RS14740,HTIA_p2963,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797549,HTIA_RS14735,HTIA_RS14735,HTIA_p2962,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210202,-
1033806,23797550,HTIA_RS14730,HTIA_RS14730,HTIA_p2961,-,-,-,type B DNA-directed DNA polymerase,protein-coding,-,-,-,type B DNA-directed DNA polymerase,20210312,-
1033806,23797551,HTIA_RS14725,HTIA_RS14725,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797552,HTIA_RS14720,HTIA_RS14720,HTIA_p2959,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797553,HTIA_RS14715,HTIA_RS14715,HTIA_p2958,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797554,HTIA_RS14710,HTIA_RS14710,HTIA_p2957,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797556,HTIA_RS14700,HTIA_RS14700,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797557,HTIA_RS14695,HTIA_RS14695,HTIA_p2956,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20201105,-
1033806,23797558,HTIA_RS14690,HTIA_RS14690,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797559,HTIA_RS14685,HTIA_RS14685,-,-,-,-,TIR domain-containing protein,protein-coding,-,-,-,TIR domain-containing protein,20201105,-
1033806,23797560,HTIA_RS14680,HTIA_RS14680,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797561,HTIA_RS14675,HTIA_RS14675,HTIA_p2954,-,-,-,TIR domain-containing protein,protein-coding,-,-,-,TIR domain-containing protein,20201105,-
1033806,23797562,HTIA_RS14670,HTIA_RS14670,HTIA_p2953,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20201105,-
1033806,23797563,HTIA_RS14665,HTIA_RS14665,HTIA_p2951,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797564,HTIA_RS14660,HTIA_RS14660,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797565,HTIA_RS14655,HTIA_RS14655,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797567,HTIA_RS14645,HTIA_RS14645,HTIA_p2948,-,-,-,SOS response-associated peptidase,protein-coding,-,-,-,SOS response-associated peptidase,20210103,-
1033806,23797568,HTIA_RS14640,HTIA_RS14640,HTIA_p2947,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201105,-
1033806,23797569,HTIA_RS14635,HTIA_RS14635,HTIA_p2945,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797572,HTIA_RS14620,HTIA_RS14620,HTIA_p2941,-,-,-,AIPR family protein,protein-coding,-,-,-,AIPR family protein,20201105,-
1033806,23797573,HTIA_RS14615,HTIA_RS14615,HTIA_p2940,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201105,-
1033806,23797574,HTIA_RS14610,HTIA_RS14610,HTIA_p2939,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797575,HTIA_RS14605,HTIA_RS14605,HTIA_p2938,-,-,-,IS4-like element ISHti13 family transposase,protein-coding,-,-,-,IS4-like element ISHti13 family transposase,20201105,-
1033806,23797576,HTIA_RS14600,HTIA_RS14600,-,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20201105,-
1033806,23797578,HTIA_RS14590,HTIA_RS14590,HTIA_p2933,-,-,-,Dam family site-specific DNA-(adenine-N6)-methyltransferase,protein-coding,-,-,-,Dam family site-specific DNA-(adenine-N6)-methyltransferase,20201105,-
1033806,23797579,HTIA_RS14585,HTIA_RS14585,HTIA_p2932,-,-,-,IS66 family transposase,protein-coding,-,-,-,IS66 family transposase,20210202,-
1033806,23797580,HTIA_RS14580,HTIA_RS14580,HTIA_p2931,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797582,HTIA_RS14570,HTIA_RS14570,HTIA_p2929,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797583,HTIA_RS14565,HTIA_RS14565,HTIA_p2928,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201105,-
1033806,23797584,HTIA_RS14560,HTIA_RS14560,HTIA_p2927,-,-,-,IS66 family transposase,protein-coding,-,-,-,IS66 family transposase,20210417,-
1033806,23797585,HTIA_RS14555,HTIA_RS14555,HTIA_p2926,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201105,-
1033806,23797586,HTIA_RS14550,HTIA_RS14550,HTIA_p2925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797587,HTIA_RS14545,HTIA_RS14545,HTIA_p2924,-,-,-,DNA gyrase subunit A,protein-coding,-,-,-,DNA gyrase subunit A,20201105,-
1033806,23797590,HTIA_RS14530,HTIA_RS14530,-,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20201105,-
1033806,23797591,HTIA_RS14525,HTIA_RS14525,HTIA_p2920,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797592,HTIA_RS14520,HTIA_RS14520,HTIA_p2919,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797593,HTIA_RS14515,HTIA_RS14515,HTIA_p2918,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210312,-
1033806,23797594,HTIA_RS14510,HTIA_RS14510,HTIA_p2917,-,-,-,PD-(D/E)XK nuclease family protein,protein-coding,-,-,-,PD-(D/E)XK nuclease family protein,20210327,-
1033806,23797595,HTIA_RS14505,HTIA_RS14505,HTIA_p2916,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210312,-
1033806,23797596,HTIA_RS14500,HTIA_RS14500,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797597,HTIA_RS14495,HTIA_RS14495,HTIA_p2914,-,-,-,chromosome segregation protein SMC,protein-coding,-,-,-,chromosome segregation protein SMC,20210312,-
1033806,23797598,HTIA_RS14490,HTIA_RS14490,HTIA_p2913,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797599,HTIA_RS14485,HTIA_RS14485,HTIA_p2912,-,-,-,alpha-L-arabinofuranosidase family GH51,protein-coding,-,-,-,alpha-L-arabinofuranosidase family GH51,20210202,-
1033806,23797600,HTIA_RS14480,HTIA_RS14480,HTIA_p2911,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797601,araA,HTIA_RS14475,HTIA_p2910,-,-,-,L-arabinose isomerase,protein-coding,-,-,-,L-arabinose isomerase,20201105,-
1033806,23797602,HTIA_RS14470,HTIA_RS14470,HTIA_p2909,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201105,-
1033806,23797603,HTIA_RS14465,HTIA_RS14465,HTIA_p2908,-,-,-,alpha-L-arabinofuranosidase,protein-coding,-,-,-,alpha-L-arabinofuranosidase,20210312,-
1033806,23797605,HTIA_RS14455,HTIA_RS14455,HTIA_p2907,-,-,-,alpha-N-arabinofuranosidase,protein-coding,-,-,-,alpha-N-arabinofuranosidase,20210202,-
1033806,23797606,HTIA_RS14450,HTIA_RS14450,HTIA_p2906,-,-,-,alpha-N-arabinofuranosidase,protein-coding,-,-,-,alpha-N-arabinofuranosidase,20210312,-
1033806,23797607,HTIA_RS14445,HTIA_RS14445,HTIA_p2905,-,-,-,alpha-N-arabinofuranosidase,protein-coding,-,-,-,alpha-N-arabinofuranosidase,20210103,-
