#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610509,26648748,RU58_00002,RU58_00002,-,-,-,-,DNA/RNA helicase protein,protein-coding,-,-,-,DNA/RNA helicase protein,20201221,-
1610509,26648772,RU58_00026,RU58_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648773,RU58_00027,RU58_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648774,RU58_00028,RU58_00028,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
1610509,26648775,RU58_00029,RU58_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648776,RU58_00030,RU58_00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648777,RU58_00031,RU58_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648778,RU58_00032,RU58_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648779,RU58_00033,RU58_00033,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20201221,-
1610509,26648780,RU58_00034,RU58_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648781,RU58_00035,RU58_00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648782,RU58_00036,RU58_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648783,RU58_00037,RU58_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648784,RU58_00038,RU58_00038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648785,RU58_00039,RU58_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648786,RU58_00040,RU58_00040,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1610509,26648787,RU58_00041,RU58_00041,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1610509,26648788,RU58_00042,RU58_00042,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201221,-
1610509,26648789,RU58_00043,RU58_00043,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1610509,26648790,RU58_00044,RU58_00044,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1610509,26648791,RU58_00045,RU58_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648792,RU58_00046,RU58_00046,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1610509,26648793,RU58_00047,RU58_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648794,RU58_00048,RU58_00048,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1610509,26648795,RU58_00049,RU58_00049,-,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20201221,-
1610509,26648796,RU58_00050,RU58_00050,-,-,-,-,tail chaperonin protein,protein-coding,-,-,-,tail chaperonin protein,20201221,-
1610509,26648797,RU58_00051,RU58_00051,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1610509,26648798,RU58_00052,RU58_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648799,RU58_00053,RU58_00053,-,-,-,-,tail tape measure,protein-coding,-,-,-,tail tape measure,20201221,-
1610509,26648800,RU58_00054,RU58_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648801,RU58_00055,RU58_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648802,RU58_00056,RU58_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648803,RU58_00057,RU58_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648804,RU58_00058,RU58_00058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648805,RU58_00059,RU58_00059,-,-,-,-,PF09327 domain protein,protein-coding,-,-,-,PF09327 domain protein,20201221,-
1610509,26648806,RU58_00060,RU58_00060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648807,RU58_00061,RU58_00061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648808,RU58_00062,RU58_00062,-,-,-,-,DNA polymerase subunit,protein-coding,-,-,-,DNA polymerase subunit,20201221,-
1610509,26648809,RU58_00063,RU58_00063,-,-,-,-,replicative clamp,protein-coding,-,-,-,replicative clamp,20201221,-
1610509,26648810,RU58_00064,RU58_00064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648811,RU58_00001,RU58_00001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26683527,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Achromobacter phage 22732H; Achromobacter xylosoxidans phage phiAxp-1).,other,-,-,-,-,20200513,-
