#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767588,64470815,KGG74_gp02,KGG74_gp02,CPT_Spernnie_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767588,64470827,KGG74_gp13,KGG74_gp13,CPT_Spernnie_012,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767588,64470828,KGG74_gp15,KGG74_gp15,CPT_Spernnie_015,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767588,64470829,KGG74_gp16,KGG74_gp16,CPT_Spernnie_016,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767588,64470830,KGG74_gp17,KGG74_gp17,CPT_Spernnie_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470831,KGG74_gp18,KGG74_gp18,CPT_Spernnie_018,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2767588,64470832,KGG74_gp19,KGG74_gp19,CPT_Spernnie_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470833,KGG74_gp20,KGG74_gp20,CPT_Spernnie_020,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767588,64470834,KGG74_gp21,KGG74_gp21,CPT_Spernnie_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767588,64470835,KGG74_gp22,KGG74_gp22,CPT_Spernnie_022,-,-,-,endolysin N-acetylmuramidase,protein-coding,-,-,-,endolysin N-acetylmuramidase,20210529,-
2767588,64470836,KGG74_gp23,KGG74_gp23,CPT_Spernnie_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470837,KGG74_gp24,KGG74_gp24,CPT_Spernnie_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470838,KGG74_gp25,KGG74_gp25,CPT_Spernnie_025,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2767588,64470839,KGG74_gp26,KGG74_gp26,CPT_Spernnie_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470840,KGG74_gp27,KGG74_gp27,CPT_Spernnie_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470841,KGG74_gp28,KGG74_gp28,CPT_Spernnie_028,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2767588,64470842,KGG74_gp29,KGG74_gp29,CPT_Spernnie_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470843,KGG74_gp30,KGG74_gp30,CPT_Spernnie_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470844,KGG74_gp31,KGG74_gp31,CPT_Spernnie_031,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210529,-
2767588,64470845,KGG74_gp32,KGG74_gp32,CPT_Spernnie_032,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210529,-
2767588,64470846,KGG74_gp33,KGG74_gp33,CPT_Spernnie_033,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2767588,64470847,KGG74_gp34,KGG74_gp34,CPT_Spernnie_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470848,KGG74_gp35,KGG74_gp35,CPT_Spernnie_035,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767588,64470849,KGG74_gp36,KGG74_gp36,CPT_Spernnie_036,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767588,64470850,KGG74_gp37,KGG74_gp37,CPT_Spernnie_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470851,KGG74_gp38,KGG74_gp38,CPT_Spernnie_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470852,KGG74_gp39,KGG74_gp39,CPT_Spernnie_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470853,KGG74_gp40,KGG74_gp40,CPT_Spernnie_040,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210505,-
2767588,64470854,KGG74_gp41,KGG74_gp41,CPT_Spernnie_041,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2767588,64470855,KGG74_gp42,KGG74_gp42,CPT_Spernnie_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470856,KGG74_gp43,KGG74_gp43,CPT_Spernnie_043,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210505,-
2767588,64470857,KGG74_gp44,KGG74_gp44,CPT_Spernnie_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470858,KGG74_gp45,KGG74_gp45,CPT_Spernnie_045,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210529,-
2767588,64470859,KGG74_gp46,KGG74_gp46,CPT_Spernnie_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470860,KGG74_gp47,KGG74_gp47,CPT_Spernnie_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470861,KGG74_gp48,KGG74_gp48,CPT_Spernnie_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470862,KGG74_gp49,KGG74_gp49,CPT_Spernnie_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470863,KGG74_gp50,KGG74_gp50,CPT_Spernnie_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470864,KGG74_gp51,KGG74_gp51,CPT_Spernnie_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470865,KGG74_gp52,KGG74_gp52,CPT_Spernnie_052,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
2767588,64470866,KGG74_gp53,KGG74_gp53,CPT_Spernnie_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470867,KGG74_gp54,KGG74_gp54,CPT_Spernnie_054,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210529,-
2767588,64470868,KGG74_gp55,KGG74_gp55,CPT_Spernnie_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470869,KGG74_gp56,KGG74_gp56,CPT_Spernnie_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470870,KGG74_gp57,KGG74_gp57,CPT_Spernnie_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470871,KGG74_gp58,KGG74_gp58,CPT_Spernnie_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470872,KGG74_gp59,KGG74_gp59,CPT_Spernnie_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470873,KGG74_gp60,KGG74_gp60,CPT_Spernnie_060,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210529,-
2767588,64470874,KGG74_gp61,KGG74_gp61,CPT_Spernnie_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470875,KGG74_gp62,KGG74_gp62,CPT_Spernnie_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470876,KGG74_gp63,KGG74_gp63,CPT_Spernnie_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470877,KGG74_gp64,KGG74_gp64,CPT_Spernnie_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470878,KGG74_gp65,KGG74_gp65,CPT_Spernnie_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470879,KGG74_gp66,KGG74_gp66,CPT_Spernnie_066,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210505,-
2767588,64470880,KGG74_gp67,KGG74_gp67,CPT_Spernnie_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470881,KGG74_gp68,KGG74_gp68,CPT_Spernnie_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470882,KGG74_gp69,KGG74_gp69,CPT_Spernnie_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470883,KGG74_gp70,KGG74_gp70,CPT_Spernnie_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470884,KGG74_gp71,KGG74_gp71,CPT_Spernnie_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470885,KGG74_gp72,KGG74_gp72,CPT_Spernnie_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470886,KGG74_gp73,KGG74_gp73,CPT_Spernnie_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470887,KGG74_gp74,KGG74_gp74,CPT_Spernnie_074,-,-,-,N-acetyltransferase,protein-coding,-,-,-,N-acetyltransferase,20210505,-
2767588,64470888,KGG74_gp75,KGG74_gp75,CPT_Spernnie_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470889,KGG74_gp76,KGG74_gp76,CPT_Spernnie_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470890,KGG74_gp77,KGG74_gp77,CPT_Spernnie_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470891,KGG74_gp78,KGG74_gp78,CPT_Spernnie_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470892,KGG74_gp79,KGG74_gp79,CPT_Spernnie_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470893,KGG74_gp80,KGG74_gp80,CPT_Spernnie_080,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2767588,64470894,KGG74_gp81,KGG74_gp81,CPT_Spernnie_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470895,KGG74_gp82,KGG74_gp82,CPT_Spernnie_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470896,KGG74_gp83,KGG74_gp83,CPT_Spernnie_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470897,KGG74_gp01,KGG74_gp01,CPT_Spernnie_001,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2767588,64792275,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
