#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10456,37628495,D1P95_gp015,D1P95_gp015,SlsnVgp015,-,-,-,occlusion-derived virus envelope protein ODV-E56,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E56,20181103,-
10456,37628558,D1P95_gp030,D1P95_gp030,SlsnVgp030,-,-,-,LEF-11,protein-coding,-,-,-,LEF-11|late expression factor 11,20181103,-
10456,37628559,D1P95_gp031,D1P95_gp031,SlsnVgp031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628560,D1P95_gp032,D1P95_gp032,SlsnVgp032,-,-,-,transcription regulator P47,protein-coding,-,-,-,transcription regulator P47,20181103,-
10456,37628561,D1P95_gp033,D1P95_gp033,SlsnVgp033,-,-,-,LEF-12,protein-coding,-,-,-,LEF-12|late expression factor 12,20181103,-
10456,37628562,D1P95_gp034,D1P95_gp034,SlsnVgp034,-,-,-,LEF-8,protein-coding,-,-,-,LEF-8|late expression factor 8,20181103,-
10456,37628563,D1P95_gp035,D1P95_gp035,SlsnVgp035,-,-,-,bJDP,protein-coding,-,-,-,bJDP|baculovirus J domain protein,20181103,-
10456,37628564,D1P95_gp036,D1P95_gp036,SlsnVgp036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628565,D1P95_gp037,D1P95_gp037,SlsnVgp037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628566,D1P95_gp038,D1P95_gp038,SlsnVgp038,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20181103,-
10456,37628567,D1P95_gp039,D1P95_gp039,SlsnVgp039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628568,D1P95_gp040,D1P95_gp040,SlsnVgp040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628569,D1P95_gp041,D1P95_gp041,SlsnVgp041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628570,D1P95_gp042,D1P95_gp042,SlsnVgp042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628571,D1P95_gp043,D1P95_gp043,SlsnVgp043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628572,D1P95_gp044,D1P95_gp044,SlsnVgp044,-,-,-,LEF-10,protein-coding,-,-,-,LEF-10|late expression factor 10,20181103,-
10456,37628573,D1P95_gp045,D1P95_gp045,SlsnVgp045,-,-,-,VP1054 virion protein,protein-coding,-,-,-,VP1054 virion protein,20181103,-
10456,37628574,D1P95_gp046,D1P95_gp046,SlsnVgp046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628575,D1P95_gp047,D1P95_gp047,SlsnVgp047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628576,D1P95_gp048,D1P95_gp048,SlsnVgp048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628577,D1P95_gp049,D1P95_gp049,SlsnVgp049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628578,D1P95_gp050,D1P95_gp050,SlsnVgp0550,-,-,-,cathepsin-like cysteine proteinase,protein-coding,-,-,-,cathepsin-like cysteine proteinase,20181103,-
10456,37628579,D1P95_gp051,D1P95_gp051,SlsnVgp051,-,-,-,P49,protein-coding,-,-,-,P49|apoptotic suppressor protein,20181103,-
10456,37628580,D1P95_gp052,D1P95_gp052,SlsnVgp052,-,-,-,few polyhedra protein,protein-coding,-,-,-,few polyhedra protein,20210212,-
10456,37628581,D1P95_gp053,D1P95_gp053,SlsnVgp053,-,-,-,LEF-9,protein-coding,-,-,-,LEF-9|late expression factor 9,20181103,-
10456,37628582,D1P95_gp054,D1P95_gp054,SlsnVgp054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628583,D1P95_gp055,D1P95_gp055,SlsnVgp055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628584,D1P95_gp056,D1P95_gp056,SlsnVgp056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628585,D1P95_gp057,D1P95_gp057,SlsnVgp057,-,-,-,RR2B,protein-coding,-,-,-,RR2B|ribonucleotide reductase small subunit-liike protein,20181103,-
10456,37628586,D1P95_gp058,D1P95_gp058,SlsnVgp058,-,-,-,apoptosis inhibitor,protein-coding,-,-,-,apoptosis inhibitor,20181103,-
10456,37628587,D1P95_gp059,D1P95_gp059,SlsnVgp059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628588,D1P95_gp060,D1P95_gp060,SlsnVgp060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628589,D1P95_gp061,D1P95_gp061,SlsnVgp061,-,-,-,LEF-3,protein-coding,-,-,-,LEF-3|late expression factor 3,20181103,-
10456,37628590,D1P95_gp062,D1P95_gp062,SlsnVgp062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628591,D1P95_gp063,D1P95_gp063,SlsnVgp063,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20181103,-
10456,37628592,D1P95_gp064,D1P95_gp064,SlsnVgp064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628593,D1P95_gp065,D1P95_gp065,SlsnVgp065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628594,D1P95_gp066,D1P95_gp066,SlsnVgp066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628595,D1P95_gp067,D1P95_gp067,SlsnVgp067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628596,D1P95_gp068,D1P95_gp068,SlsnVgp068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628597,D1P95_gp069,D1P95_gp069,SlsnVgp069,-,-,-,VLF-1,protein-coding,-,-,-,VLF-1|very late expression factor 1,20181103,-
10456,37628598,D1P95_gp070,D1P95_gp070,SlsnVgp070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628599,D1P95_gp071,D1P95_gp071,SlsnVgp071,-,-,-,glycoprotein GP41,protein-coding,-,-,-,glycoprotein GP41,20181103,-
10456,37628600,D1P95_gp072,D1P95_gp072,SlsnVgp072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628601,D1P95_gp073,D1P95_gp073,SlsnVgp073,-,-,-,telokin-like protein-20,protein-coding,-,-,-,telokin-like protein-20,20181103,-
10456,37628602,D1P95_gp074,D1P95_gp074,SlsnVgp074,-,-,-,VP91,protein-coding,-,-,-,VP91|virion protein 91 kDa,20181103,-
10456,37628603,D1P95_gp075,D1P95_gp075,SlsnVgp075,-,-,-,zinc finger protein CG30,protein-coding,-,-,-,zinc finger protein CG30,20181103,-
10456,37628604,D1P95_gp076,D1P95_gp076,SlsnVgp076,-,-,-,VP39 capsid,protein-coding,-,-,-,VP39 capsid|major capsid protein,20181103,-
10456,37628605,D1P95_gp077,D1P95_gp077,SlsnVgp077,-,-,-,LEF-4,protein-coding,-,-,-,LEF-4|late expression factor 4,20181103,-
10456,37628606,D1P95_gp078,D1P95_gp078,SlsnVgp078,-,-,-,p33,protein-coding,-,-,-,p33,20181103,-
10456,37628607,D1P95_gp079,D1P95_gp079,SlsnVgp079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628608,D1P95_gp080,D1P95_gp080,SlsnVgp080,-,-,-,occlusion-derived virus envelope protein ODV-E25,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E25,20181103,-
10456,37628609,D1P95_gp081,D1P95_gp081,SlsnVgp081,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20181103,-
10456,37628610,D1P95_gp082,D1P95_gp082,SlsnVgp082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628611,D1P95_gp083,D1P95_gp083,SlsnVgp083,-,-,-,hypothetical protein 38K,protein-coding,-,-,-,hypothetical protein 38K,20181103,-
10456,37628612,D1P95_gp084,D1P95_gp084,SlsnVgp084,-,-,-,LEF-5,protein-coding,-,-,-,LEF-5|late expression factor 5,20181103,-
10456,37628613,D1P95_gp085,D1P95_gp085,SlsnVgp085,-,-,-,P6.9,protein-coding,-,-,-,P6.9|probable DNA binding protein,20180825,-
10456,37628614,D1P95_gp002,D1P95_gp002,SlsnVgp002,-,-,-,essential structural protein pp78/81,protein-coding,-,-,-,essential structural protein pp78/81,20181103,-
10456,37628615,D1P95_gp003,D1P95_gp003,SlsnVgp003,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20181103,-
10456,37628616,D1P95_gp004,D1P95_gp004,SlsnVgp004,-,-,-,HOAR,protein-coding,-,-,-,HOAR,20181103,-
10456,37628617,D1P95_gp005,D1P95_gp005,SlsnVgp005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628618,D1P95_gp006,D1P95_gp006,SlsnVgp006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628619,D1P95_gp007,D1P95_gp007,SlsnVgp007,-,-,-,IE-0,protein-coding,-,-,-,IE-0|immediate early 0 protein,20181103,-
10456,37628620,D1P95_gp008,D1P95_gp008,SlsnVgp008,-,-,-,dUTP pyrophosphatase,protein-coding,-,-,-,dUTP pyrophosphatase,20181103,-
10456,37628621,D1P95_gp009,D1P95_gp009,SlsnVgp009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628622,D1P95_gp010,D1P95_gp010,SlsnVgp010,-,-,-,occlusion-derived virus envelope protein ODV-E18 peptide,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E18 peptide,20181103,-
10456,37628623,D1P95_gp011,D1P95_gp011,SlsnVgp011,-,-,-,occlusion-derived virus envelope protein ODV-EC27,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-EC27,20181103,-
10456,37628624,D1P95_gp012,D1P95_gp012,SlsnVgp012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628625,D1P95_gp013,D1P95_gp013,SlsnVgp013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628626,D1P95_gp014,D1P95_gp014,SlsnVgp014,-,-,-,IE-1,protein-coding,-,-,-,IE-1|immediate early protein,20181103,-
10456,37629496,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (SlMNPV; Spodoptera littoralis NPV; Spodoptera littoralis multicapsid nuclear polyhedrosis virus; Spodoptera littoralis multiple nucleopolyhedrovirus; Spodoptera littoralis nuclear polyhedrosis virus).,other,-,-,-,-,20210531,-
