#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662332,26639921,RCRHEA_2,RCRHEA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1662332,26639935,RCRHEA_16,RCRHEA_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662332,26639936,RCRHEA_17,RCRHEA_17,-,-,-,-,cell wall peptidase,protein-coding,-,-,-,cell wall peptidase,20201221,-
1662332,26639937,RCRHEA_18,RCRHEA_18,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1662332,26639938,RCRHEA_19,RCRHEA_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639939,RCRHEA_20,RCRHEA_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662332,26639940,RCRHEA_21,RCRHEA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639941,RCRHEA_22,RCRHEA_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639942,RCRHEA_23,RCRHEA_23,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1662332,26639943,RCRHEA_24,RCRHEA_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639944,RCRHEA_25,RCRHEA_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639945,RCRHEA_26,RCRHEA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639946,RCRHEA_27,RCRHEA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639947,RCRHEA_28,RCRHEA_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639948,RCRHEA_29,RCRHEA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639949,RCRHEA_30,RCRHEA_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639950,RCRHEA_31,RCRHEA_31,-,-,-,-,ARC repressor,protein-coding,-,-,-,ARC repressor,20201221,-
1662332,26639951,RCRHEA_32,RCRHEA_32,-,-,-,-,partitioning protein,protein-coding,-,-,-,partitioning protein,20201221,-
1662332,26639952,RCRHEA_33,RCRHEA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639953,RCRHEA_34,RCRHEA_34,-,-,-,-,replication initiator protein A,protein-coding,-,-,-,replication initiator protein A,20201221,-
1662332,26639954,RCRHEA_35,RCRHEA_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639955,RCRHEA_36,RCRHEA_36,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1662332,26639956,RCRHEA_37,RCRHEA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639957,RCRHEA_38,RCRHEA_38,-,-,-,-,phosphohydrolase,protein-coding,-,-,-,phosphohydrolase,20201221,-
1662332,26639958,RCRHEA_39,RCRHEA_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639959,RCRHEA_40,RCRHEA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639960,RCRHEA_41,RCRHEA_41,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1662332,26639961,RCRHEA_42,RCRHEA_42,-,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1662332,26639962,RCRHEA_43,RCRHEA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639963,RCRHEA_44,RCRHEA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639964,RCRHEA_45,RCRHEA_45,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662332,26639965,RCRHEA_1,RCRHEA_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1662332,26680853,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
