#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
981323,10874210,tmp,GoPhGTE2_gp14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
981323,10897000,GoPhGTE2_gp21,GoPhGTE2_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897001,GoPhGTE2_gp45,GoPhGTE2_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897002,GoPhGTE2_gp20,GoPhGTE2_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897003,GoPhGTE2_gp19,GoPhGTE2_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897004,GoPhGTE2_gp18,GoPhGTE2_gp18,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201220,-
981323,10897005,GoPhGTE2_gp17,GoPhGTE2_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897006,GoPhGTE2_gp16,GoPhGTE2_gp16,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
981323,10897007,GoPhGTE2_gp37,GoPhGTE2_gp37,-,-,-,-,putative cutinase,protein-coding,-,-,-,putative cutinase,20201220,-
981323,10897008,GoPhGTE2_gp13,GoPhGTE2_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897009,GoPhGTE2_gp12,GoPhGTE2_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897010,GoPhGTE2_gp11,GoPhGTE2_gp11,-,-,-,-,main tail protein,protein-coding,-,-,-,main tail protein,20201220,-
981323,10897011,GoPhGTE2_gp10,GoPhGTE2_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897012,GoPhGTE2_gp48,GoPhGTE2_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897013,GoPhGTE2_gp09,GoPhGTE2_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897014,GoPhGTE2_gp15,GoPhGTE2_gp15,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
981323,10897015,GoPhGTE2_gp38,GoPhGTE2_gp38,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
981323,10897016,GoPhGTE2_gp52,GoPhGTE2_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897017,GoPhGTE2_gp42,GoPhGTE2_gp42,-,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20201220,-
981323,10897018,GoPhGTE2_gp57,GoPhGTE2_gp57,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201220,-
981323,10897019,GoPhGTE2_gp08,GoPhGTE2_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897020,GoPhGTE2_gp07,GoPhGTE2_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897021,GoPhGTE2_gp55,GoPhGTE2_gp55,-,-,-,-,ankyrin,protein-coding,-,-,-,ankyrin,20201220,-
981323,10897022,GoPhGTE2_gp06,GoPhGTE2_gp06,-,-,-,-,main capsid protein,protein-coding,-,-,-,main capsid protein,20201220,-
981323,10897023,GoPhGTE2_gp54,GoPhGTE2_gp54,-,-,-,-,putative aminotransferase,protein-coding,-,-,-,putative aminotransferase,20201220,-
981323,10897024,GoPhGTE2_gp05,GoPhGTE2_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897025,GoPhGTE2_gp51,GoPhGTE2_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897026,GoPhGTE2_gp04,GoPhGTE2_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897027,GoPhGTE2_gp41,GoPhGTE2_gp41,-,-,-,-,phage-encoded dCTP pyrophosphatase,protein-coding,-,-,-,phage-encoded dCTP pyrophosphatase,20201220,-
981323,10897028,GoPhGTE2_gp39,GoPhGTE2_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897029,GoPhGTE2_gp47,GoPhGTE2_gp47,-,-,-,-,primase,protein-coding,-,-,-,primase,20201220,-
981323,10897030,GoPhGTE2_gp40,GoPhGTE2_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897031,GoPhGTE2_gp43,GoPhGTE2_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897032,GoPhGTE2_gp46,GoPhGTE2_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897033,GoPhGTE2_gp44,GoPhGTE2_gp44,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
981323,10897034,GoPhGTE2_gp50,GoPhGTE2_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897035,GoPhGTE2_gp01,GoPhGTE2_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897036,GoPhGTE2_gp03,GoPhGTE2_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
981323,10897037,GoPhGTE2_gp49,GoPhGTE2_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897038,GoPhGTE2_gp56,GoPhGTE2_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10897039,GoPhGTE2_gp36,GoPhGTE2_gp36,-,-,-,-,putative deaminase,protein-coding,-,-,-,putative deaminase,20201220,-
981323,10929454,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage GTE2).,other,-,-,-,-,20200513,-
