#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
7209,9937370,LOAG_00014,LOAG_00014,-,-,Unknown,-,6-phosphofructokinase,protein-coding,-,-,-,6-phosphofructokinase,20201104,-
7209,9937420,LOAG_00052,LOAG_00052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937421,LOAG_00025,LOAG_00025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937422,LOAG_00054,LOAG_00054,-,-,Unknown,-,major facilitator superfamily transporter,protein-coding,-,-,-,major facilitator superfamily transporter,20201104,-
7209,9937423,LOAG_00055,LOAG_00055,-,-,Unknown,-,palmitoyl-protein thioesterase 1,protein-coding,-,-,-,palmitoyl-protein thioesterase 1,20201104,-
7209,9937424,LOAG_00056,LOAG_00056,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937425,LOAG_16336,LOAG_16336,LOAG_00057,-,Unknown,-,chaperone DnaK,protein-coding,-,-,-,chaperone DnaK,20201104,-
7209,9937427,LOAG_00059,LOAG_00059,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937428,LOAG_00060,LOAG_00060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937429,LOAG_00061,LOAG_00061,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937430,LOAG_00062,LOAG_00062,-,-,Unknown,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201104,-
7209,9937431,LOAG_00063,LOAG_00063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937432,LOAG_16337,LOAG_16337,LOAG_00064,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937434,LOAG_00066,LOAG_00066,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937435,LOAG_00067,LOAG_00067,-,-,Unknown,-,translation initiation factor 4E,protein-coding,-,-,-,translation initiation factor 4E,20201104,-
7209,9937436,LOAG_16338,LOAG_16338,LOAG_00068,-,Unknown,-,phospholipase C beta,protein-coding,-,-,-,phospholipase C beta,20201104,-
7209,9937437,LOAG_00069,LOAG_00069,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937438,LOAG_00070,LOAG_00070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937439,LOAG_00071,LOAG_00071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937440,LOAG_00072,LOAG_00072,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937441,LOAG_00073,LOAG_00073,-,-,Unknown,-,heat shock protein 90,protein-coding,-,-,-,heat shock protein 90,20201104,-
7209,9937442,LOAG_00074,LOAG_00074,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937443,LOAG_00053,LOAG_00053,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937444,LOAG_00089,LOAG_00089,-,-,Unknown,-,28S ribosomal protein S33,protein-coding,-,-,-,28S ribosomal protein S33,20201104,-
7209,9937445,LOAG_00090,LOAG_00090,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937446,LOAG_00091,LOAG_00091,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937447,LOAG_00092,LOAG_00092,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937448,LOAG_00093,LOAG_00093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937449,LOAG_00094,LOAG_00094,-,-,Unknown,-,leucine Rich Repeat family protein,protein-coding,-,-,-,leucine Rich Repeat family protein,20201104,-
7209,9937450,LOAG_00095,LOAG_00095,-,-,Unknown,-,zinc finger protein,protein-coding,-,-,-,zinc finger protein,20201104,-
7209,9937451,LOAG_16670,LOAG_16670,LOAG_00096,-,Unknown,-,Sec8 exocyst complex component specific domain-containing protein,protein-coding,-,-,-,Sec8 exocyst complex component specific domain-containing protein,20201104,-
7209,9937453,LOAG_00076,LOAG_00076,-,-,Unknown,-,histone H3,protein-coding,-,-,-,histone H3,20201104,-
7209,9937456,LOAG_16669,LOAG_16669,LOAG_00079,-,Unknown,-,RUN domain-containing protein,protein-coding,-,-,-,RUN domain-containing protein,20201104,-
7209,9937457,LOAG_00080,LOAG_00080,-,-,Unknown,-,scaffold attachment factor B,protein-coding,-,-,-,scaffold attachment factor B,20201104,-
7209,9937458,LOAG_00081,LOAG_00081,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937459,LOAG_00082,LOAG_00082,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937460,LOAG_00083,LOAG_00083,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937461,LOAG_00084,LOAG_00084,-,-,Unknown,-,atypical/RIO/RIO1 protein kinase,protein-coding,-,-,-,atypical/RIO/RIO1 protein kinase,20201104,-
7209,9937462,LOAG_00085,LOAG_00085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937463,LOAG_00086,LOAG_00086,-,-,Unknown,-,ribosomal protein L19,protein-coding,-,-,-,ribosomal protein L19,20201104,-
7209,9937464,LOAG_00087,LOAG_00087,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937465,LOAG_00088,LOAG_00088,-,-,Unknown,-,josephin-2,protein-coding,-,-,-,josephin-2,20201104,-
7209,9937466,LOAG_00098,LOAG_00098,-,-,Unknown,-,Ras-like GTP-binding protein rhoA,protein-coding,-,-,-,Ras-like GTP-binding protein rhoA,20201104,-
7209,9937467,LOAG_00099,LOAG_00099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937468,LOAG_00100,LOAG_00100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937469,LOAG_00101,LOAG_00101,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937470,LOAG_00102,LOAG_00102,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937471,LOAG_00103,LOAG_00103,-,-,Unknown,-,F-box domain-containing protein,protein-coding,-,-,-,F-box domain-containing protein,20201104,-
7209,9937472,LOAG_00104,LOAG_00104,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937473,LOAG_00105,LOAG_00105,-,-,Unknown,-,"dTDP-4-dehydrorhamnose 3,5-epimerase",protein-coding,-,-,-,"dTDP-4-dehydrorhamnose 3,5-epimerase",20201104,-
7209,9937474,LOAG_00106,LOAG_00106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937475,LOAG_00107,LOAG_00107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937476,LOAG_00108,LOAG_00108,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937477,LOAG_00109,LOAG_00109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937478,LOAG_00110,LOAG_00110,-,-,Unknown,-,mediator complex subunit 31,protein-coding,-,-,-,mediator complex subunit 31,20201104,-
7209,9937479,LOAG_00111,LOAG_00111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937480,LOAG_00112,LOAG_00112,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937481,LOAG_00113,LOAG_00113,-,-,Unknown,-,synaptobrevin family protein,protein-coding,-,-,-,synaptobrevin family protein,20201104,-
7209,9937482,LOAG_00114,LOAG_00114,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937483,LOAG_00115,LOAG_00115,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937484,LOAG_00116,LOAG_00116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937485,LOAG_17182,LOAG_17182,LOAG_00117,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937487,LOAG_00119,LOAG_00119,-,-,Unknown,-,ribonuclease P protein subunit p29,protein-coding,-,-,-,ribonuclease P protein subunit p29,20201104,-
7209,9937488,LOAG_00120,LOAG_00120,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937489,LOAG_00121,LOAG_00121,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937490,LOAG_00122,LOAG_00122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937491,LOAG_00123,LOAG_00123,-,-,Unknown,-,UDP-glucuronic acid decarboxylase,protein-coding,-,-,-,UDP-glucuronic acid decarboxylase,20201104,-
7209,9937492,LOAG_00124,LOAG_00124,-,-,Unknown,-,cytochrome c oxidase assembly protein CtaG/Cox11 containing protein,protein-coding,-,-,-,cytochrome c oxidase assembly protein CtaG/Cox11 containing protein,20201104,-
7209,9937493,LOAG_00125,LOAG_00125,-,-,Unknown,-,NEK/NEK8 protein kinase,protein-coding,-,-,-,NEK/NEK8 protein kinase,20201104,-
7209,9937494,LOAG_00126,LOAG_00126,-,-,Unknown,-,major sperm protein,protein-coding,-,-,-,major sperm protein,20201104,-
7209,9937495,LOAG_00127,LOAG_00127,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937496,LOAG_00128,LOAG_00128,-,-,Unknown,-,2Fe-2S iron-sulfur cluster binding domain-containing protein,protein-coding,-,-,-,2Fe-2S iron-sulfur cluster binding domain-containing protein,20201104,-
7209,9937497,LOAG_00129,LOAG_00129,-,-,Unknown,-,PWI domain-containing protein,protein-coding,-,-,-,PWI domain-containing protein,20201104,-
7209,9937498,LOAG_00130,LOAG_00130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937499,LOAG_00131,LOAG_00131,-,-,Unknown,-,UDP-glucose 4-epimerase,protein-coding,-,-,-,UDP-glucose 4-epimerase,20201104,-
7209,9937500,LOAG_00132,LOAG_00132,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937501,LOAG_00133,LOAG_00133,-,-,Unknown,-,NADH dehydrogenase 1 beta subcomplex subunit 7,protein-coding,-,-,-,NADH dehydrogenase 1 beta subcomplex subunit 7,20201104,-
7209,9937502,LOAG_00134,LOAG_00134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937503,LOAG_00135,LOAG_00135,-,-,Unknown,-,disintegrin family protein,protein-coding,-,-,-,disintegrin family protein,20201104,-
7209,9937504,LOAG_00136,LOAG_00136,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937505,LOAG_00137,LOAG_00137,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937506,LOAG_16946,LOAG_16946,LOAG_00138,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937507,LOAG_00139,LOAG_00139,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937508,LOAG_00140,LOAG_00140,-,-,Unknown,-,CYN-5 protein,protein-coding,-,-,-,CYN-5 protein,20201104,-
7209,9937509,LOAG_00141,LOAG_00141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937510,LOAG_00118,LOAG_00118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937511,LOAG_00143,LOAG_00143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937512,LOAG_00144,LOAG_00144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937513,LOAG_00145,LOAG_00145,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937514,LOAG_00146,LOAG_00146,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937515,LOAG_00147,LOAG_00147,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937516,LOAG_00148,LOAG_00148,-,-,Unknown,-,60S ribosomal protein L35a,protein-coding,-,-,-,60S ribosomal protein L35a,20201104,-
7209,9937517,LOAG_00149,LOAG_00149,-,-,Unknown,-,tetraspanin family protein,protein-coding,-,-,-,tetraspanin family protein,20201104,-
7209,9937518,LOAG_00150,LOAG_00150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937519,LOAG_00151,LOAG_00151,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937520,LOAG_00152,LOAG_00152,-,-,Unknown,-,phosphoprotein phosphatase inhibitor 2,protein-coding,-,-,-,phosphoprotein phosphatase inhibitor 2,20201104,-
7209,9937521,LOAG_00153,LOAG_00153,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937522,LOAG_00154,LOAG_00154,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937523,LOAG_00155,LOAG_00155,-,-,Unknown,-,Ras family protein,protein-coding,-,-,-,Ras family protein,20201104,-
7209,9937524,LOAG_00156,LOAG_00156,-,-,Unknown,-,tRNA 2-thiolation protein 1,protein-coding,-,-,-,tRNA 2-thiolation protein 1,20201104,-
7209,9937525,LOAG_00157,LOAG_00157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937526,LOAG_00158,LOAG_00158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937527,LOAG_00159,LOAG_00159,-,-,Unknown,-,pax transcription factor protein 2,protein-coding,-,-,-,pax transcription factor protein 2,20201104,-
7209,9937530,LOAG_00161,LOAG_00161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937531,LOAG_00162,LOAG_00162,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937532,LOAG_00163,LOAG_00163,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937533,LOAG_00164,LOAG_00164,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937534,LOAG_00165,LOAG_00165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937536,LOAG_16738,LOAG_16738,LOAG_00168,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937537,LOAG_00169,LOAG_00169,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937538,LOAG_00170,LOAG_00170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937539,LOAG_00171,LOAG_00171,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937540,LOAG_00172,LOAG_00172,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937541,LOAG_00173,LOAG_00173,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937542,LOAG_00174,LOAG_00174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937543,LOAG_00175,LOAG_00175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937544,LOAG_00176,LOAG_00176,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937546,LOAG_00178,LOAG_00178,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937547,LOAG_00179,LOAG_00179,-,-,Unknown,-,fli-1 protein,protein-coding,-,-,-,fli-1 protein,20201104,-
7209,9937548,LOAG_00160,LOAG_00160,-,-,Unknown,-,membrane-anchored cell surface protein,protein-coding,-,-,-,membrane-anchored cell surface protein,20201104,-
7209,9937549,LOAG_00181,LOAG_00181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937550,LOAG_00182,LOAG_00182,-,-,Unknown,-,guanine nucleotide-binding protein alpha-3 subunit,protein-coding,-,-,-,guanine nucleotide-binding protein alpha-3 subunit,20201104,-
7209,9937551,LOAG_00183,LOAG_00183,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937552,LOAG_00184,LOAG_00184,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937553,LOAG_00185,LOAG_00185,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937554,LOAG_00186,LOAG_00186,-,-,Unknown,-,kunitz/Bovine pancreatic trypsin inhibitor domain-containing protein,protein-coding,-,-,-,kunitz/Bovine pancreatic trypsin inhibitor domain-containing protein,20201104,-
7209,9937555,LOAG_00187,LOAG_00187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937556,LOAG_00188,LOAG_00188,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937557,LOAG_00189,LOAG_00189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937559,LOAG_16756,LOAG_16756,LOAG_00191,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937560,LOAG_00192,LOAG_00192,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937561,LOAG_00193,LOAG_00193,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937562,LOAG_00194,LOAG_00194,-,-,Unknown,-,transmembrane protein,protein-coding,-,-,-,transmembrane protein,20201104,-
7209,9937563,LOAG_00195,LOAG_00195,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937564,LOAG_00180,LOAG_00180,-,-,Unknown,-,SET domain-containing protein,protein-coding,-,-,-,SET domain-containing protein,20201104,-
7209,9937565,LOAG_00206,LOAG_00206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937566,LOAG_16992,LOAG_16992,LOAG_00207,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937568,LOAG_00209,LOAG_00209,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937570,LOAG_16989,LOAG_16989,LOAG_00196,-,Unknown,-,GATA zinc finger family protein,protein-coding,-,-,-,GATA zinc finger family protein,20201104,-
7209,9937571,LOAG_16990,LOAG_16990,LOAG_00197,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937575,LOAG_00201,LOAG_00201,-,-,Unknown,-,piwi domain-containing protein,protein-coding,-,-,-,piwi domain-containing protein,20201104,-
7209,9937576,LOAG_00202,LOAG_00202,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
