#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653763,60331319,2,I5H64_gp002,SEA_MINIONDAVE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2653763,60331406,89,I5H64_gp089,SEA_MINIONDAVE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331407,90,I5H64_gp090,SEA_MINIONDAVE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331408,91,I5H64_gp091,SEA_MINIONDAVE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331409,92,I5H64_gp092,SEA_MINIONDAVE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331410,93,I5H64_gp093,SEA_MINIONDAVE_93,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210417,-
2653763,60331411,94,I5H64_gp094,SEA_MINIONDAVE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331412,95,I5H64_gp095,SEA_MINIONDAVE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331413,96,I5H64_gp096,SEA_MINIONDAVE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331414,97,I5H64_gp097,SEA_MINIONDAVE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331415,98,I5H64_gp098,SEA_MINIONDAVE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331416,99,I5H64_gp099,SEA_MINIONDAVE_99,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201202,-
2653763,60331417,100,I5H64_gp100,SEA_MINIONDAVE_100,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2653763,60331418,101,I5H64_gp101,SEA_MINIONDAVE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331419,102,I5H64_gp102,SEA_MINIONDAVE_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2653763,60331420,103,I5H64_gp103,SEA_MINIONDAVE_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2653763,60331421,1,I5H64_gp001,SEA_MINIONDAVE_1,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210417,-
2653763,60338799,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
