#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
595528,14894399,CAOG_08376,CAOG_08376,-,-,Unknown,-,propionyl-CoA carboxylase subunit alpha,protein-coding,-,-,-,propionyl-CoA carboxylase subunit alpha,20201223,-
595528,14894437,CAOG_08338,CAOG_08338,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894438,CAOG_08339,CAOG_08339,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894439,CAOG_08354,CAOG_08354,-,-,Unknown,-,syk-prov protein,protein-coding,-,-,-,syk-prov protein,20201223,-
595528,14894440,CAOG_08353,CAOG_08353,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894441,CAOG_08348,CAOG_08348,-,-,Unknown,-,Mob1,protein-coding,-,-,-,Mob1,20201223,-
595528,14894442,CAOG_08346,CAOG_08346,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894443,CAOG_08344,CAOG_08344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894444,CAOG_08345,CAOG_08345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894445,CAOG_08331,CAOG_08331,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894446,CAOG_08340,CAOG_08340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894447,CAOG_08342,CAOG_08342,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894448,CAOG_08341,CAOG_08341,-,-,Unknown,-,RNA-binding protein PNO1,protein-coding,-,-,-,RNA-binding protein PNO1,20201223,-
595528,14894449,CAOG_08337,CAOG_08337,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894450,CAOG_08336,CAOG_08336,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894451,CAOG_08335,CAOG_08335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894452,CAOG_08334,CAOG_08334,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894453,CAOG_08288,CAOG_08288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894455,CAOG_08328,CAOG_08328,-,-,Unknown,-,tyrosine-protein kinase Srms,protein-coding,-,-,-,tyrosine-protein kinase Srms,20201223,-
595528,14894456,CAOG_08329,CAOG_08329,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894457,CAOG_08327,CAOG_08327,-,-,Unknown,-,phosphoenolpyruvate synthase,protein-coding,-,-,-,phosphoenolpyruvate synthase,20201223,-
595528,14894458,CAOG_08326,CAOG_08326,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894459,CAOG_08325,CAOG_08325,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894460,CAOG_08318,CAOG_08318,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894461,CAOG_08319,CAOG_08319,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894462,CAOG_08317,CAOG_08317,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894463,CAOG_08323,CAOG_08323,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894465,CAOG_08324,CAOG_08324,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894466,CAOG_08321,CAOG_08321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894467,CAOG_08322,CAOG_08322,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894468,CAOG_08320,CAOG_08320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894469,CAOG_08314,CAOG_08314,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894470,CAOG_08313,CAOG_08313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894471,CAOG_08316,CAOG_08316,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894472,CAOG_08315,CAOG_08315,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894473,CAOG_08312,CAOG_08312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894474,CAOG_08309,CAOG_08309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894475,CAOG_08310,CAOG_08310,-,-,Unknown,-,aquaporin 10,protein-coding,-,-,-,aquaporin 10,20201223,-
595528,14894476,CAOG_08311,CAOG_08311,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894479,CAOG_08308,CAOG_08308,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894480,CAOG_08298,CAOG_08298,-,-,Unknown,-,DNA repair helicase RAD25,protein-coding,-,-,-,DNA repair helicase RAD25,20201223,-
595528,14894481,CAOG_08297,CAOG_08297,-,-,Unknown,-,neurotrophin receptor B xTrkB-beta,protein-coding,-,-,-,neurotrophin receptor B xTrkB-beta,20201223,-
595528,14894483,CAOG_08304,CAOG_08304,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894484,CAOG_08305,CAOG_08305,-,-,Unknown,-,TM2 domain-containing protein 3,protein-coding,-,-,-,TM2 domain-containing protein 3,20201223,-
595528,14894485,CAOG_08299,CAOG_08299,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894488,CAOG_08301,CAOG_08301,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894489,CAOG_08300,CAOG_08300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894491,CAOG_08295,CAOG_08295,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894492,CAOG_08293,CAOG_08293,-,-,Unknown,-,vacuolar ATPase subunit D,protein-coding,-,-,-,vacuolar ATPase subunit D,20201223,-
595528,14894493,CAOG_08294,CAOG_08294,-,-,Unknown,-,40S ribosomal protein S9,protein-coding,-,-,-,40S ribosomal protein S9,20201223,-
595528,14894494,CAOG_08290,CAOG_08290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894495,CAOG_08291,CAOG_08291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894496,CAOG_08292,CAOG_08292,-,-,Unknown,-,ornithine decarboxylase 1,protein-coding,-,-,-,ornithine decarboxylase 1,20201223,-
595528,14894497,CAOG_08289,CAOG_08289,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894498,CAOG_08287,CAOG_08287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894499,CAOG_08285,CAOG_08285,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894500,CAOG_08286,CAOG_08286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894501,CAOG_08283,CAOG_08283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894502,CAOG_08284,CAOG_08284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894511,CAOG_08281,CAOG_08281,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894512,CAOG_08279,CAOG_08279,-,-,Unknown,-,adenosine/AMP deaminase,protein-coding,-,-,-,adenosine/AMP deaminase,20201223,-
595528,14894513,CAOG_08280,CAOG_08280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894514,CAOG_08278,CAOG_08278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894515,CAOG_08277,CAOG_08277,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894516,CAOG_08276,CAOG_08276,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894517,CAOG_08246,CAOG_08246,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894518,CAOG_08247,CAOG_08247,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894519,CAOG_08268,CAOG_08268,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894520,CAOG_08269,CAOG_08269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894521,CAOG_08252,CAOG_08252,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894522,CAOG_08248,CAOG_08248,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894523,CAOG_08254,CAOG_08254,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894524,CAOG_08255,CAOG_08255,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894525,CAOG_08271,CAOG_08271,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894526,CAOG_08272,CAOG_08272,-,-,Unknown,-,protein kinase C,protein-coding,-,-,-,protein kinase C,20201223,-
595528,14894527,CAOG_08257,CAOG_08257,-,-,Unknown,-,photoregulatory zinc-finger protein COP1,protein-coding,-,-,-,photoregulatory zinc-finger protein COP1,20201223,-
595528,14894528,CAOG_08258,CAOG_08258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894529,CAOG_08259,CAOG_08259,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894531,CAOG_08274,CAOG_08274,-,-,Unknown,-,tyrosine-protein kinase transforming protein SEA,protein-coding,-,-,-,tyrosine-protein kinase transforming protein SEA,20201223,-
595528,14894532,CAOG_08275,CAOG_08275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894533,CAOG_08261,CAOG_08261,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894534,CAOG_08262,CAOG_08262,-,-,Unknown,-,leucyl-tRNA synthetase,protein-coding,-,-,-,leucyl-tRNA synthetase,20201223,-
595528,14894535,CAOG_08243,CAOG_08243,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894536,CAOG_08264,CAOG_08264,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894537,CAOG_08265,CAOG_08265,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894539,CAOG_08241,CAOG_08241,-,-,Unknown,-,tyrosine-protein kinase Src42A,protein-coding,-,-,-,tyrosine-protein kinase Src42A,20201223,-
595528,14894540,CAOG_08245,CAOG_08245,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894541,CAOG_08244,CAOG_08244,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894543,CAOG_08270,CAOG_08270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894544,CAOG_08242,CAOG_08242,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894545,CAOG_08273,CAOG_08273,-,-,Unknown,-,glutaminyl cyclase,protein-coding,-,-,-,glutaminyl cyclase,20201223,-
595528,14894546,CAOG_08256,CAOG_08256,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894547,CAOG_08253,CAOG_08253,-,-,Unknown,-,ribosomal protein S10,protein-coding,-,-,-,ribosomal protein S10,20201223,-
595528,14894548,CAOG_08263,CAOG_08263,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894549,CAOG_08249,CAOG_08249,-,-,Unknown,-,iron permease 1,protein-coding,-,-,-,iron permease 1,20201223,-
595528,14894550,CAOG_08260,CAOG_08260,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894551,CAOG_08250,CAOG_08250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894552,CAOG_08251,CAOG_08251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894553,CAOG_08209,CAOG_08209,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894554,CAOG_08210,CAOG_08210,-,-,Unknown,-,UV excision repair protein Rad23,protein-coding,-,-,-,UV excision repair protein Rad23,20201223,-
595528,14894555,CAOG_08221,CAOG_08221,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894556,CAOG_08222,CAOG_08222,-,-,Unknown,-,mitogen-activated protein kinase 1,protein-coding,-,-,-,mitogen-activated protein kinase 1,20201223,-
595528,14894558,CAOG_08200,CAOG_08200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894560,CAOG_08225,CAOG_08225,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894561,CAOG_08226,CAOG_08226,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894562,CAOG_08227,CAOG_08227,-,-,Unknown,-,tyrosine-protein kinase CSK,protein-coding,-,-,-,tyrosine-protein kinase CSK,20201223,-
595528,14894563,CAOG_08230,CAOG_08230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894564,CAOG_08231,CAOG_08231,-,-,Unknown,-,translation elongation factor G,protein-coding,-,-,-,translation elongation factor G,20201223,-
595528,14894565,CAOG_08238,CAOG_08238,-,-,Unknown,-,tyrosine-protein kinase transforming protein SEA,protein-coding,-,-,-,tyrosine-protein kinase transforming protein SEA,20201223,-
595528,14894566,CAOG_08239,CAOG_08239,-,-,Unknown,-,tyrosine-protein kinase Src42A,protein-coding,-,-,-,tyrosine-protein kinase Src42A,20201223,-
595528,14894568,CAOG_08235,CAOG_08235,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894569,CAOG_08236,CAOG_08236,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894570,CAOG_08237,CAOG_08237,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894571,CAOG_08232,CAOG_08232,-,-,Unknown,-,Gpn2 protein,protein-coding,-,-,-,Gpn2 protein,20201223,-
595528,14894572,CAOG_08211,CAOG_08211,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894573,CAOG_08212,CAOG_08212,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894574,CAOG_08213,CAOG_08213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894577,CAOG_08204,CAOG_08204,-,-,Unknown,-,AMP-activated protein kinase alpha subunit,protein-coding,-,-,-,AMP-activated protein kinase alpha subunit,20201223,-
595528,14894578,CAOG_08205,CAOG_08205,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894579,CAOG_08206,CAOG_08206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894580,CAOG_08233,CAOG_08233,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894581,CAOG_08234,CAOG_08234,-,-,Unknown,-,NADH:ubiquinone oxidoreductase NDUFV1,protein-coding,-,-,-,NADH:ubiquinone oxidoreductase NDUFV1,20201223,-
595528,14894583,CAOG_08228,CAOG_08228,-,-,Unknown,-,aspartate transaminase,protein-coding,-,-,-,aspartate transaminase,20201223,-
595528,14894584,CAOG_08229,CAOG_08229,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894585,CAOG_08198,CAOG_08198,-,-,Unknown,-,lipase,protein-coding,-,-,-,lipase,20201223,-
595528,14894586,CAOG_08199,CAOG_08199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894587,CAOG_08215,CAOG_08215,-,-,Unknown,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201223,-
595528,14894588,CAOG_08216,CAOG_08216,-,-,Unknown,-,NADH-ubiquinone oxidoreductase 75 kDa subunit,protein-coding,-,-,-,NADH-ubiquinone oxidoreductase 75 kDa subunit,20201223,-
595528,14894589,CAOG_08217,CAOG_08217,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894590,CAOG_08219,CAOG_08219,-,-,Unknown,-,alanyl-tRNA synthetase,protein-coding,-,-,-,alanyl-tRNA synthetase,20201223,-
595528,14894591,CAOG_08220,CAOG_08220,-,-,Unknown,-,threonine synthase-like protein,protein-coding,-,-,-,threonine synthase-like protein,20201223,-
595528,14894592,CAOG_08207,CAOG_08207,-,-,Unknown,-,coiled-coil domain containing 94,protein-coding,-,-,-,coiled-coil domain containing 94,20201223,-
595528,14894593,CAOG_08208,CAOG_08208,-,-,Unknown,-,cholesterol acyltransferase,protein-coding,-,-,-,cholesterol acyltransferase,20201223,-
595528,14894595,CAOG_08214,CAOG_08214,-,-,Unknown,-,pfkB family carbohydrate kinase,protein-coding,-,-,-,pfkB family carbohydrate kinase,20201223,-
595528,14894596,CAOG_08168,CAOG_08168,-,-,Unknown,-,non-receptor protein kinase,protein-coding,-,-,-,non-receptor protein kinase,20201223,-
595528,14894597,CAOG_08169,CAOG_08169,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894598,CAOG_08170,CAOG_08170,-,-,Unknown,-,sorting nexin,protein-coding,-,-,-,sorting nexin,20201223,-
595528,14894599,CAOG_08171,CAOG_08171,-,-,Unknown,-,thiamine pyrophosphate carrier 1 protein,protein-coding,-,-,-,thiamine pyrophosphate carrier 1 protein,20201223,-
595528,14894600,CAOG_08172,CAOG_08172,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894601,CAOG_08173,CAOG_08173,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894602,CAOG_08174,CAOG_08174,-,-,Unknown,-,DNA-directed RNA polymerase II subunit RPB2,protein-coding,-,-,-,DNA-directed RNA polymerase II subunit RPB2,20201223,-
595528,14894603,CAOG_08175,CAOG_08175,-,-,Unknown,-,methyltransferase-UbiE,protein-coding,-,-,-,methyltransferase-UbiE,20201223,-
595528,14894604,CAOG_08176,CAOG_08176,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894605,CAOG_08177,CAOG_08177,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894606,CAOG_08178,CAOG_08178,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894607,CAOG_08179,CAOG_08179,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894610,CAOG_08182,CAOG_08182,-,-,Unknown,-,Ras-like protein Rab-21,protein-coding,-,-,-,Ras-like protein Rab-21,20201223,-
595528,14894611,CAOG_08183,CAOG_08183,-,-,Unknown,-,delta-aminolevulinic acid dehydratase,protein-coding,-,-,-,delta-aminolevulinic acid dehydratase,20201223,-
595528,14894612,CAOG_08184,CAOG_08184,-,-,Unknown,-,ubiquitin-activating enzyme 5,protein-coding,-,-,-,ubiquitin-activating enzyme 5,20201223,-
595528,14894613,CAOG_08185,CAOG_08185,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894614,CAOG_08186,CAOG_08186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894617,CAOG_08189,CAOG_08189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894618,CAOG_08190,CAOG_08190,-,-,Unknown,-,20S proteasome alpha6 subunit,protein-coding,-,-,-,20S proteasome alpha6 subunit,20201223,-
595528,14894621,CAOG_08193,CAOG_08193,-,-,Unknown,-,origin recognition complex,protein-coding,-,-,-,origin recognition complex,20201223,-
595528,14894622,CAOG_08194,CAOG_08194,-,-,Unknown,-,mannose-1-phosphate guanylyltransferase,protein-coding,-,-,-,mannose-1-phosphate guanylyltransferase,20201223,-
595528,14894623,CAOG_08195,CAOG_08195,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894624,CAOG_08196,CAOG_08196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894625,CAOG_08197,CAOG_08197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894626,CAOG_08045,CAOG_08045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
