#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821549,29123637,2,SEA_BAXTERFOX_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821549,29123682,47,SEA_BAXTERFOX_47,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1821549,29123683,48,SEA_BAXTERFOX_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123684,49,SEA_BAXTERFOX_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123685,50,SEA_BAXTERFOX_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123686,51,SEA_BAXTERFOX_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123687,52,SEA_BAXTERFOX_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123688,53,SEA_BAXTERFOX_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123689,54,SEA_BAXTERFOX_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123690,55,SEA_BAXTERFOX_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123691,56,SEA_BAXTERFOX_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123692,57,SEA_BAXTERFOX_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123693,58,SEA_BAXTERFOX_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123694,59,SEA_BAXTERFOX_59,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1821549,29123695,60,SEA_BAXTERFOX_60,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1821549,29123696,61,SEA_BAXTERFOX_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123697,62,SEA_BAXTERFOX_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123698,63,SEA_BAXTERFOX_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123699,64,SEA_BAXTERFOX_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123700,65,SEA_BAXTERFOX_65,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821549,29123701,66,SEA_BAXTERFOX_66,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1821549,29123702,67,SEA_BAXTERFOX_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123703,68,SEA_BAXTERFOX_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123704,69,SEA_BAXTERFOX_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123705,70,SEA_BAXTERFOX_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123706,71,SEA_BAXTERFOX_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123707,72,SEA_BAXTERFOX_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123708,73,SEA_BAXTERFOX_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123709,74,SEA_BAXTERFOX_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123710,75,SEA_BAXTERFOX_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123711,76,SEA_BAXTERFOX_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123712,77,SEA_BAXTERFOX_77,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1821549,29123713,78,SEA_BAXTERFOX_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123714,79,SEA_BAXTERFOX_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123715,80,SEA_BAXTERFOX_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123716,81,SEA_BAXTERFOX_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123717,82,SEA_BAXTERFOX_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123718,83,SEA_BAXTERFOX_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123719,84,SEA_BAXTERFOX_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123720,85,SEA_BAXTERFOX_85,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821549,29123721,1,SEA_BAXTERFOX_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1821549,29140831,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
1821549,30853575,86,SEA_BAXTERFOX_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
