#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
538398,7256373,ORF75,PB1_gp78,-,-,-,-,pseudo,pseudo,-,-,-,-,20201220,-
538398,7262144,PB1_gp50,PB1_gp50,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
538398,7262145,PB1_gp51,PB1_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262146,PB1_gp52,PB1_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262147,PB1_gp53,PB1_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262148,PB1_gp54,PB1_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262149,PB1_gp55,PB1_gp55,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200926,-
538398,7262150,PB1_gp56,PB1_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262151,PB1_gp57,PB1_gp57,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
538398,7262152,PB1_gp58,PB1_gp58,-,-,-,-,3'-5' exonuclease,protein-coding,-,-,-,3'-5' exonuclease,20201220,-
538398,7262153,PB1_gp59,PB1_gp59,-,-,-,-,polynucleotide kinase/phosphorylase,protein-coding,-,-,-,polynucleotide kinase/phosphorylase,20200629,-
538398,7262154,PB1_gp60,PB1_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262155,PB1_gp61,PB1_gp61,-,-,-,-,thymidylate synthase complementing protein,protein-coding,-,-,-,thymidylate synthase complementing protein,20200629,-
538398,7262156,PB1_gp62,PB1_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262157,PB1_gp63,PB1_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262158,PB1_gp64,PB1_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262159,PB1_gp65,PB1_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262160,PB1_gp66,PB1_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262161,PB1_gp67,PB1_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262162,PB1_gp68,PB1_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
538398,7262163,PB1_gp69,PB1_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262164,PB1_gp70,PB1_gp70,-,-,-,-,ATP-dependent exonuclease,protein-coding,-,-,-,ATP-dependent exonuclease,20200629,-
538398,7262165,PB1_gp71,PB1_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262166,PB1_gp72,PB1_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262167,PB1_gp73,PB1_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262168,PB1_gp74,PB1_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262169,PB1_gp75,PB1_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262170,PB1_gp76,PB1_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262171,PB1_gp77,PB1_gp77,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
538398,7262172,PB1_gp80,PB1_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262173,PB1_gp81,PB1_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262174,PB1_gp82,PB1_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262175,PB1_gp83,PB1_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262176,PB1_gp84,PB1_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262177,PB1_gp85,PB1_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262178,PB1_gp86,PB1_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262179,PB1_gp87,PB1_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262180,PB1_gp88,PB1_gp88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262181,PB1_gp89,PB1_gp89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262182,PB1_gp90,PB1_gp90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262183,PB1_gp91,PB1_gp91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7265278,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas aeruginosa bacteriophage PB1).,other,-,-,-,-,20200513,-
