#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147142,14182570,F843_gp02,F843_gp02,HK578_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1147142,14182596,F843_gp28,F843_gp28,HK578_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182597,F843_gp29,F843_gp29,HK578_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182598,F843_gp30,F843_gp30,HK578_030,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20201221,-
1147142,14182599,F843_gp31,F843_gp31,HK578_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182600,F843_gp32,F843_gp32,HK578_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182601,F843_gp33,F843_gp33,HK578_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182602,F843_gp34,F843_gp34,HK578_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182603,F843_gp35,F843_gp35,HK578_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182604,F843_gp36,F843_gp36,HK578_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182605,F843_gp37,F843_gp37,HK578_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182606,F843_gp38,F843_gp38,HK578_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182607,F843_gp39,F843_gp39,HK578_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182608,F843_gp40,F843_gp40,HK578_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182609,F843_gp41,F843_gp41,HK578_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182610,F843_gp42,F843_gp42,HK578_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182611,F843_gp43,F843_gp43,HK578_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182612,F843_gp44,F843_gp44,HK578_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182613,F843_gp45,F843_gp45,HK578_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182614,F843_gp46,F843_gp46,HK578_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182615,F843_gp47,F843_gp47,HK578_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182616,F843_gp48,F843_gp48,HK578_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182617,F843_gp49,F843_gp49,HK578_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182618,F843_gp50,F843_gp50,HK578_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182619,F843_gp51,F843_gp51,HK578_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182620,F843_gp52,F843_gp52,HK578_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182621,F843_gp53,F843_gp53,HK578_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182622,F843_gp54,F843_gp54,HK578_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182623,F843_gp55,F843_gp55,HK578_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182624,F843_gp56,F843_gp56,HK578_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182625,F843_gp57,F843_gp57,HK578_057,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1147142,14182626,F843_gp58,F843_gp58,HK578_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182627,F843_gp59,F843_gp59,HK578_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182628,F843_gp60,F843_gp60,HJ578_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182629,F843_gp01,F843_gp01,HK578_001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1147142,14250433,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage HK578).,other,-,-,-,-,20200513,-
