#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250416,63911146,2,KDJ06_gp02,SEA_SERGEI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210420,-
2250416,63911190,46,KDJ06_gp46,SEA_SERGEI_46,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210420,-
2250416,63911191,47,KDJ06_gp47,SEA_SERGEI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911192,48,KDJ06_gp48,SEA_SERGEI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911193,49,KDJ06_gp49,SEA_SERGEI_49,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210420,-
2250416,63911194,50,KDJ06_gp50,SEA_SERGEI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911195,51,KDJ06_gp51,SEA_SERGEI_51,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210420,-
2250416,63911196,52,KDJ06_gp52,SEA_SERGEI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911197,53,KDJ06_gp53,SEA_SERGEI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911198,54,KDJ06_gp54,SEA_SERGEI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911199,55,KDJ06_gp55,SEA_SERGEI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911200,56,KDJ06_gp56,SEA_SERGEI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911201,57,KDJ06_gp57,SEA_SERGEI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911202,58,KDJ06_gp58,SEA_SERGEI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911203,59,KDJ06_gp59,SEA_SERGEI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911204,60,KDJ06_gp60,SEA_SERGEI_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2250416,63911205,1,KDJ06_gp01,SEA_SERGEI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,64409721,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
