#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1567025,24725610,HB2014_2,HB2014_2,-,-,-,-,putative rIIB,protein-coding,-,-,-,putative rIIB,20200629,-
1567025,24725665,HB2014_t10,HB2014_t10,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725666,HB2014_t11,HB2014_t11,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725667,HB2014_t12,HB2014_t12,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725668,HB2014_t13,HB2014_t13,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725669,HB2014_t14,HB2014_t14,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725670,HB2014_t15,HB2014_t15,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725671,HB2014_t16,HB2014_t16,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725672,HB2014_51,HB2014_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725673,HB2014_t17,HB2014_t17,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725674,HB2014_t18,HB2014_t18,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725675,HB2014_t19,HB2014_t19,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725676,HB2014_t20,HB2014_t20,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725677,HB2014_t21,HB2014_t21,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725678,HB2014_52,HB2014_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725679,HB2014_t22,HB2014_t22,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725680,HB2014_1,HB2014_1,-,-,-,-,putative rIIA,protein-coding,-,-,-,putative rIIA,20200629,-
1567025,24725681,HB2014_53,HB2014_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725682,HB2014_54,HB2014_54,-,-,-,-,"terminase,large subunit",protein-coding,-,-,-,"terminase,large subunit",20210403,-
1567025,24725683,HB2014_55,HB2014_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725684,HB2014_56,HB2014_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725685,HB2014_57,HB2014_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725686,HB2014_58,HB2014_58,-,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20201221,-
1567025,24725687,HB2014_59,HB2014_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725688,HB2014_60,HB2014_60,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210327,-
1567025,24725689,HB2014_61,HB2014_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725690,HB2014_62,HB2014_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725691,HB2014_63,HB2014_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725692,HB2014_64,HB2014_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725693,HB2014_65,HB2014_65,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1567025,24725694,HB2014_66,HB2014_66,-,-,-,-,DUF3277 family protein,protein-coding,-,-,-,DUF3277 family protein,20210212,-
1567025,24725695,HB2014_67,HB2014_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725696,HB2014_68,HB2014_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725697,HB2014_69,HB2014_69,-,-,-,-,putative tail length tape-measure protein,protein-coding,-,-,-,putative tail length tape-measure protein,20200629,-
1567025,24725698,HB2014_70,HB2014_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725699,HB2014_71,HB2014_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725700,HB2014_72,HB2014_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725701,HB2014_73,HB2014_73,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20210212,-
1567025,24725702,HB2014_74,HB2014_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725703,HB2014_75,HB2014_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725704,HB2014_76,HB2014_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725705,HB2014_77,HB2014_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725706,HB2014_78,HB2014_78,-,-,-,-,long tail fiber protein,protein-coding,-,-,-,long tail fiber protein,20200629,-
1567025,24725707,HB2014_79,HB2014_79,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1567025,24725708,HB2014_80,HB2014_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725709,HB2014_81,HB2014_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725710,HB2014_82,HB2014_82,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1567025,24725711,HB2014_83,HB2014_83,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200629,-
1567025,24725712,HB2014_84,HB2014_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725713,HB2014_85,HB2014_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725714,HB2014_86,HB2014_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725715,HB2014_87,HB2014_87,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200919,-
1567025,24725716,HB2014_88,HB2014_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725717,HB2014_89,HB2014_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725718,HB2014_90,HB2014_90,-,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20200629,-
1567025,24725719,HB2014_91,HB2014_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725720,HB2014_92,HB2014_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725721,HB2014_93,HB2014_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725722,HB2014_94,HB2014_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725723,HB2014_95,HB2014_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725724,HB2014_96,HB2014_96,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200629,-
1567025,24725725,HB2014_97,HB2014_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725726,HB2014_98,HB2014_98,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1567025,24725727,HB2014_99,HB2014_99,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20200629,-
1567025,24725728,HB2014_100,HB2014_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725729,HB2014_101,HB2014_101,-,-,-,-,putative phage DNA primase/helicase,protein-coding,-,-,-,putative phage DNA primase/helicase,20200629,-
1567025,24725730,HB2014_102,HB2014_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725731,HB2014_103,HB2014_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725732,HB2014_104,HB2014_104,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200629,-
1567025,24725733,HB2014_105,HB2014_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725734,HB2014_106,HB2014_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725735,HB2014_107,HB2014_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725736,HB2014_108,HB2014_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725737,HB2014_109,HB2014_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725738,HB2014_110,HB2014_110,-,-,-,-,ribonucleoside triphosphate reductase alpha chain,protein-coding,-,-,-,ribonucleoside triphosphate reductase alpha chain,20200629,-
1567025,24725739,HB2014_111,HB2014_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725740,HB2014_112,HB2014_112,-,-,-,-,ribonucleoside triphosphate reductase beta chain,protein-coding,-,-,-,ribonucleoside triphosphate reductase beta chain,20200629,-
1567025,24725741,HB2014_113,HB2014_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725742,HB2014_114,HB2014_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725743,HB2014_115,HB2014_115,-,-,-,-,oxygen sensitive ribonucleoside-triphosphate reductase,protein-coding,-,-,-,oxygen sensitive ribonucleoside-triphosphate reductase,20200629,-
1567025,24725744,HB2014_116,HB2014_116,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200629,-
1567025,24725745,HB2014_117,HB2014_117,-,-,-,-,oxygen sensitive ribonucleoside-triphosphate reductase,protein-coding,-,-,-,oxygen sensitive ribonucleoside-triphosphate reductase,20200629,-
1567025,24725746,HB2014_118,HB2014_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725747,HB2014_119,HB2014_119,-,-,-,-,"anaerobic NTP reductase, small subunit",protein-coding,-,-,-,"anaerobic NTP reductase, small subunit",20200629,-
1567025,24725748,HB2014_120,HB2014_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725749,HB2014_121,HB2014_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725750,HB2014_122,HB2014_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725751,HB2014_123,HB2014_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725752,HB2014_124,HB2014_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725753,HB2014_125,HB2014_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725754,HB2014_126,HB2014_126,-,-,-,-,putative nictotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nictotinate phosphoribosyltransferase,20200629,-
1567025,24725755,HB2014_127,HB2014_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725756,HB2014_1268,HB2014_1268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567025,24725757,HB2014_50,HB2014_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24936616,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage HB-2014; Salmonella pullorum phage HB-2014).,other,-,-,-,-,20200513,-
