#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510495,55011094,2,HOV09_gp02,SEA_SONALI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2510495,55011115,24,HOV09_gp24,SEA_SONALI_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2510495,55011116,25,HOV09_gp25,SEA_SONALI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011117,26,HOV09_gp26,SEA_SONALI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011118,27,HOV09_gp27,SEA_SONALI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510495,55011119,28,HOV09_gp28,SEA_SONALI_28,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210403,-
2510495,55011120,29,HOV09_gp29,SEA_SONALI_29,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2510495,55011121,30,HOV09_gp30,SEA_SONALI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011122,31,HOV09_gp31,SEA_SONALI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011123,32,HOV09_gp32,SEA_SONALI_32,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210403,-
2510495,55011124,33,HOV09_gp33,SEA_SONALI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011125,34,HOV09_gp34,SEA_SONALI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011126,35,HOV09_gp35,SEA_SONALI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011127,36,HOV09_gp36,SEA_SONALI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510495,55011128,37,HOV09_gp37,SEA_SONALI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011129,38,HOV09_gp38,SEA_SONALI_38,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210403,-
2510495,55011130,39,HOV09_gp39,SEA_SONALI_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2510495,55011131,40,HOV09_gp40,SEA_SONALI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011132,41,HOV09_gp41,SEA_SONALI_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2510495,55011133,42,HOV09_gp42,SEA_SONALI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011134,43,HOV09_gp43,SEA_SONALI_43,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210403,-
2510495,55011135,44,HOV09_gp44,SEA_SONALI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011136,45,HOV09_gp45,SEA_SONALI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011137,46,HOV09_gp46,SEA_SONALI_46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2510495,55011138,47,HOV09_gp47,SEA_SONALI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510495,55011139,48,HOV09_gp48,SEA_SONALI_48,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210403,-
2510495,55011140,49,HOV09_gp49,SEA_SONALI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011141,50,HOV09_gp50,SEA_SONALI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011142,51,HOV09_gp51,SEA_SONALI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510495,55011143,52,HOV09_gp52,SEA_SONALI_52,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2510495,55011144,53,HOV09_gp53,SEA_SONALI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011145,54,HOV09_gp54,SEA_SONALI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011146,55,HOV09_gp55,SEA_SONALI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011147,56,HOV09_gp56,SEA_SONALI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011148,57,HOV09_gp57,SEA_SONALI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011149,58,HOV09_gp58,SEA_SONALI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011150,59,HOV09_gp59,SEA_SONALI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011151,60,HOV09_gp60,SEA_SONALI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011152,61,HOV09_gp61,SEA_SONALI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011153,62,HOV09_gp62,SEA_SONALI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011154,63,HOV09_gp63,SEA_SONALI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011155,64,HOV09_gp64,SEA_SONALI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011156,65,HOV09_gp65,SEA_SONALI_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2510495,55011157,66,HOV09_gp66,SEA_SONALI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011158,67,HOV09_gp67,SEA_SONALI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011159,68,HOV09_gp68,SEA_SONALI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011160,69,HOV09_gp69,SEA_SONALI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011161,70,HOV09_gp70,SEA_SONALI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011162,71,HOV09_gp71,SEA_SONALI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011163,72,HOV09_gp72,SEA_SONALI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011164,73,HOV09_gp73,SEA_SONALI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011165,74,HOV09_gp74,SEA_SONALI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011166,75,HOV09_gp75,SEA_SONALI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011167,76,HOV09_gp76,SEA_SONALI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011168,77,HOV09_gp77,SEA_SONALI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011169,78,HOV09_gp78,SEA_SONALI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011170,79,HOV09_gp79,SEA_SONALI_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011171,80,HOV09_gp80,SEA_SONALI_80,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2510495,55011172,81,HOV09_gp81,SEA_SONALI_81,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201221,-
2510495,55011173,82,HOV09_gp82,SEA_SONALI_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011174,83,HOV09_gp83,SEA_SONALI_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011175,84,HOV09_gp84,SEA_SONALI_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011176,85,HOV09_gp85,SEA_SONALI_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011177,86,HOV09_gp86,SEA_SONALI_86,-,-,-,ParB-like nuclease domain,protein-coding,-,-,-,ParB-like nuclease domain,20210403,-
2510495,55011178,87,HOV09_gp87,SEA_SONALI_87,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201221,-
2510495,55011179,88,HOV09_gp88,SEA_SONALI_88,-,-,-,Que-C like queosine biosynthesis protein,protein-coding,-,-,-,Que-C like queosine biosynthesis protein,20210403,-
2510495,55011180,89,HOV09_gp89,SEA_SONALI_89,-,-,-,QueD-like queosine biosynthesis protein,protein-coding,-,-,-,QueD-like queosine biosynthesis protein,20210403,-
2510495,55011181,90,HOV09_gp90,SEA_SONALI_90,-,-,-,QueE-like queosine biosynthesis protein,protein-coding,-,-,-,QueE-like queosine biosynthesis protein,20210403,-
2510495,55011182,91,HOV09_gp91,SEA_SONALI_91,-,-,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20210403,-
2510495,55011183,92,HOV09_gp92,SEA_SONALI_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011184,93,HOV09_gp93,SEA_SONALI_93,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210403,-
2510495,55011185,94,HOV09_gp94,SEA_SONALI_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510495,55011186,95,HOV09_gp95,SEA_SONALI_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011187,96,HOV09_gp96,SEA_SONALI_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011188,97,HOV09_gp97,SEA_SONALI_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011189,98,HOV09_gp98,SEA_SONALI_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011190,99,HOV09_gp99,SEA_SONALI_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011191,15,HOV09_gp15,SEA_SONALI_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011192,1,HOV09_gp01,SEA_SONALI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55154342,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200624,-
