#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4959,3974664,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candida famata; Candida famata var. famata; Debaryomyces tyrocola var. hansenii; Pichia hansenii; Saccharomyces hansenii; Torulaspora hansenii).,other,-,-,-,-,20191218,-
4959,64987779,KEG66_t22,KEG66_t22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987780,KEG66_t01,KEG66_t01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987781,KEG66_t04,KEG66_t04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987782,KEG66_t05,KEG66_t05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987783,KEG66_t06,KEG66_t06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987784,KEG66_t07,KEG66_t07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987785,KEG66_t09,KEG66_t09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987786,KEG66_t10,KEG66_t10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987787,KEG66_t11,KEG66_t11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987788,KEG66_t12,KEG66_t12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987789,KEG66_t14,KEG66_t14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987790,KEG66_t15,KEG66_t15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987791,KEG66_t16,KEG66_t16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987792,KEG66_t17,KEG66_t17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987793,KEG66_t18,KEG66_t18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987794,KEG66_t19,KEG66_t19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987795,KEG66_t20,KEG66_t20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987796,KEG66_t21,KEG66_t21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987797,KEG66_t23,KEG66_t23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987798,KEG66_t25,KEG66_t25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
