#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
287412,26634694,AVT80_gp21,AVT80_gp21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
287412,26634725,AVT80_gp33,AVT80_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634726,AVT80_gp34,AVT80_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634727,AVT80_gp35,AVT80_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634728,AVT80_gp36,AVT80_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634729,AVT80_gp37,AVT80_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634730,AVT80_gp38,AVT80_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634731,AVT80_gp39,AVT80_gp39,-,-,-,-,putative sak protein,protein-coding,-,-,-,putative sak protein,20201220,-
287412,26634732,AVT80_gp40,AVT80_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634733,AVT80_gp41,AVT80_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634734,AVT80_gp42,AVT80_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634735,AVT80_gp43,AVT80_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634736,AVT80_gp44,AVT80_gp44,-,-,-,-,putative DNA polymerase subunit,protein-coding,-,-,-,putative DNA polymerase subunit,20201220,-
287412,26634737,AVT80_gp45,AVT80_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634738,AVT80_gp46,AVT80_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634739,AVT80_gp47,AVT80_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634740,AVT80_gp48,AVT80_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634741,AVT80_gp49,AVT80_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634742,AVT80_gp50,AVT80_gp50,-,-,-,-,putative Holliday junction endonuclease,protein-coding,-,-,-,putative Holliday junction endonuclease,20201220,-
287412,26634743,AVT80_gp51,AVT80_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634744,AVT80_gp52,AVT80_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634745,AVT80_gp01,AVT80_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201220,-
287412,26680500,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus bacteriophage SL4; Lactococcus phage SL4).,other,-,-,-,-,20200513,-
