#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
272559,3293639,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteroides fragilis ATCC 25285; Bacteroides fragilis str. NCTC 9343; Bacteroides fragilis strain NCTC 9343).,other,-,-,-,-,20201207,-
272559,60368990,BF9343_RS19135,BF9343_RS19135,BFt60,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369116,BF9343_RS02520,BF9343_RS02520,BFt08,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369227,BF9343_RS02255,BF9343_RS02255,BFt07,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369290,BF9343_RS05345,BF9343_RS05345,BFt14,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369330,BF9343_RS06275,BF9343_RS06275,BFt17,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369387,BF9343_RS06145,BF9343_RS06145,BFt16,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369473,BF9343_RS18890,BF9343_RS18890,BFt56,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369481,BF9343_RS12155,BF9343_RS12155,BFt33,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369525,BF9343_RS11580,BF9343_RS11580,BFt27,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369544,BF9343_RS11255,BF9343_RS11255,BFt26,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369557,BF9343_RS18340,BF9343_RS18340,BFt53,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369582,BF9343_RS11815,BF9343_RS11815,BFt30,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369694,BF9343_RS07880,BF9343_RS07880,BFt19,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369767,BF9343_RS09560,BF9343_RS09560,BFt22,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369785,BF9343_RS10760,BF9343_RS10760,BFt24,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369797,BF9343_RS20625,BF9343_RS20625,BFt70,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369835,BF9343_RS03120,BF9343_RS03120,BFt10,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369861,BF9343_RS11965,BF9343_RS11965,BFt32,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60369865,BF9343_RS16335,BF9343_RS16335,BFt48,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60370027,BF9343_RS18075,BF9343_RS18075,BFt51,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60370033,BF9343_RS00355,BF9343_RS00355,BFt01,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60370083,BF9343_RS12170,BF9343_RS12170,BFt36,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60370249,BF9343_RS17395,BF9343_RS17395,BFt50,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
