#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1913038,60334349,I5H93_gp002,I5H93_gp002,SEA_SUPERGREY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
1913038,60334417,I5H93_gp074,I5H93_gp074,SEA_SUPERGREY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334418,I5H93_gp076,I5H93_gp076,SEA_SUPERGREY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334419,I5H93_gp077,I5H93_gp077,SEA_SUPERGREY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334420,I5H93_gp078,I5H93_gp078,SEA_SUPERGREY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334421,I5H93_gp079,I5H93_gp079,SEA_SUPERGREY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334422,I5H93_gp080,I5H93_gp080,SEA_SUPERGREY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334423,I5H93_gp081,I5H93_gp081,SEA_SUPERGREY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334424,I5H93_gp082,I5H93_gp082,SEA_SUPERGREY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334425,I5H93_gp083,I5H93_gp083,SEA_SUPERGREY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334426,I5H93_gp084,I5H93_gp084,SEA_SUPERGREY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334427,I5H93_gp085,I5H93_gp085,SEA_SUPERGREY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334428,I5H93_gp087,I5H93_gp087,SEA_SUPERGREY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334429,I5H93_gp088,I5H93_gp088,SEA_SUPERGREY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334430,I5H93_gp089,I5H93_gp089,SEA_SUPERGREY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334431,I5H93_gp090,I5H93_gp090,SEA_SUPERGREY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334432,I5H93_gp091,I5H93_gp091,SEA_SUPERGREY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334433,I5H93_gp093,I5H93_gp093,SEA_SUPERGREY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334434,I5H93_gp094,I5H93_gp094,SEA_SUPERGREY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334435,I5H93_gp095,I5H93_gp095,SEA_SUPERGREY_95,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20201217,-
1913038,60334436,I5H93_gp096,I5H93_gp096,SEA_SUPERGREY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334437,I5H93_gp097,I5H93_gp097,SEA_SUPERGREY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334438,I5H93_gp098,I5H93_gp098,SEA_SUPERGREY_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334439,I5H93_gp099,I5H93_gp099,SEA_SUPERGREY_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334440,I5H93_gp100,I5H93_gp100,SEA_SUPERGREY_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
1913038,60334441,I5H93_gp101,I5H93_gp101,SEA_SUPERGREY_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334442,I5H93_gp102,I5H93_gp102,SEA_SUPERGREY_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
1913038,60334443,I5H93_gp103,I5H93_gp103,SEA_SUPERGREY_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1913038,60334444,I5H93_gp038,I5H93_gp038,SEA_SUPERGREY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334445,I5H93_gp065,I5H93_gp065,SEA_SUPERGREY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334446,I5H93_gp075,I5H93_gp075,SEA_SUPERGREY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334447,I5H93_gp086,I5H93_gp086,SEA_SUPERGREY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334448,I5H93_gp092,I5H93_gp092,SEA_SUPERGREY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334449,I5H93_gp041,I5H93_gp041,SEA_SUPERGREY_41,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1913038,60334450,I5H93_gp055,I5H93_gp055,SEA_SUPERGREY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334451,I5H93_gp001,I5H93_gp001,SEA_SUPERGREY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1913038,60338575,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
