#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2744011,64871589,2,KIV64_gp02,SEA_DROOGSARMY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
2744011,64871623,36,KIV64_gp56,SEA_DROOGSARMY_36,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210522,-
2744011,64871624,37,KIV64_gp55,SEA_DROOGSARMY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871625,38,KIV64_gp54,SEA_DROOGSARMY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871626,39,KIV64_gp53,SEA_DROOGSARMY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871627,40,KIV64_gp52,SEA_DROOGSARMY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871628,41,KIV64_gp51,SEA_DROOGSARMY_41,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210522,-
2744011,64871629,42,KIV64_gp50,SEA_DROOGSARMY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871630,43,KIV64_gp49,SEA_DROOGSARMY_43,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210522,-
2744011,64871631,44,KIV64_gp48,SEA_DROOGSARMY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871632,45,KIV64_gp47,SEA_DROOGSARMY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871633,46,KIV64_gp46,SEA_DROOGSARMY_46,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210522,-
2744011,64871634,47,KIV64_gp45,SEA_DROOGSARMY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871635,48,KIV64_gp44,SEA_DROOGSARMY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871636,49,KIV64_gp43,SEA_DROOGSARMY_49,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210522,-
2744011,64871637,50,KIV64_gp42,SEA_DROOGSARMY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871638,51,KIV64_gp41,SEA_DROOGSARMY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871639,52,KIV64_gp40,SEA_DROOGSARMY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871640,53,KIV64_gp39,SEA_DROOGSARMY_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2744011,64871641,54,KIV64_gp38,SEA_DROOGSARMY_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2744011,64871642,55,KIV64_gp37,SEA_DROOGSARMY_55,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210522,-
2744011,64871643,56,KIV64_gp36,SEA_DROOGSARMY_56,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210522,-
2744011,64871644,57,KIV64_gp35,SEA_DROOGSARMY_57,-,-,-,esterase,protein-coding,-,-,-,esterase,20210522,-
2744011,64871645,58,KIV64_gp34,SEA_DROOGSARMY_58,-,-,-,DprA-like DNA processing chain A,protein-coding,-,-,-,DprA-like DNA processing chain A,20210522,-
2744011,64871646,59,KIV64_gp33,SEA_DROOGSARMY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871647,60,KIV64_gp32,SEA_DROOGSARMY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871648,61,KIV64_gp31,SEA_DROOGSARMY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871649,62,KIV64_gp30,SEA_DROOGSARMY_62,-,-,-,phosphoribosyl transferase,protein-coding,-,-,-,phosphoribosyl transferase,20210522,-
2744011,64871650,63,KIV64_gp29,SEA_DROOGSARMY_63,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210522,-
2744011,64871651,64,KIV64_gp28,SEA_DROOGSARMY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871652,65,KIV64_gp27,SEA_DROOGSARMY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871653,66,KIV64_gp26,SEA_DROOGSARMY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871654,67,KIV64_gp25,SEA_DROOGSARMY_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210522,-
2744011,64871655,68,KIV64_gp24,SEA_DROOGSARMY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871656,69,KIV64_gp23,SEA_DROOGSARMY_69,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210522,-
2744011,64871657,70,KIV64_gp22,SEA_DROOGSARMY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871658,71,KIV64_gp21,SEA_DROOGSARMY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871659,72,KIV64_gp20,SEA_DROOGSARMY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871660,73,KIV64_gp19,SEA_DROOGSARMY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871661,74,KIV64_gp18,SEA_DROOGSARMY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871662,75,KIV64_gp17,SEA_DROOGSARMY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871663,76,KIV64_gp16,SEA_DROOGSARMY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871664,77,KIV64_gp15,SEA_DROOGSARMY_77,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210522,-
2744011,64871665,78,KIV64_gp14,SEA_DROOGSARMY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871666,79,KIV64_gp13,SEA_DROOGSARMY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871667,80,KIV64_gp12,SEA_DROOGSARMY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871668,81,KIV64_gp11,SEA_DROOGSARMY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871669,82,KIV64_gp10,SEA_DROOGSARMY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871670,83,KIV64_gp09,SEA_DROOGSARMY_83,-,-,-,glycosylase,protein-coding,-,-,-,glycosylase,20210515,-
2744011,64871671,84,KIV64_gp08,SEA_DROOGSARMY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871672,1,KIV64_gp01,SEA_DROOGSARMY_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2744011,64953941,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
