#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675260,65070208,KMC99_gp02,KMC99_gp02,CHPC972_001145,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2675260,65070222,KMC99_gp16,KMC99_gp16,CHPC972_001159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070223,KMC99_gp17,KMC99_gp17,CHPC972_001160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070224,KMC99_gp18,KMC99_gp18,CHPC972_001161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070225,KMC99_gp19,KMC99_gp19,CHPC972_001162,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2675260,65070226,KMC99_gp20,KMC99_gp20,CHPC972_001163,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2675260,65070227,KMC99_gp21,KMC99_gp21,CHPC972_001164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070228,KMC99_gp22,KMC99_gp22,CHPC972_001165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070229,KMC99_gp23,KMC99_gp23,CHPC972_001166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070230,KMC99_gp24,KMC99_gp24,CHPC972_001167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070231,KMC99_gp25,KMC99_gp25,CHPC972_001168,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20210608,-
2675260,65070232,KMC99_gp26,KMC99_gp26,CHPC972_001169,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210608,-
2675260,65070233,KMC99_gp27,KMC99_gp27,CHPC972_001170,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675260,65070234,KMC99_gp28,KMC99_gp28,CHPC972_001171,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675260,65070235,KMC99_gp29,KMC99_gp29,CHPC972_001172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070236,KMC99_gp30,KMC99_gp30,CHPC972_001173,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210608,-
2675260,65070237,KMC99_gp31,KMC99_gp31,CHPC972_001174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070238,KMC99_gp32,KMC99_gp32,CHPC972_001175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070239,KMC99_gp33,KMC99_gp33,CHPC972_001176,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210608,-
2675260,65070240,KMC99_gp34,KMC99_gp34,CHPC972_001177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070241,KMC99_gp35,KMC99_gp35,CHPC972_001178,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2675260,65070242,KMC99_gp36,KMC99_gp36,CHPC972_001179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070243,KMC99_gp37,KMC99_gp37,CHPC972_001180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070244,KMC99_gp38,KMC99_gp38,CHPC972_001181,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675260,65070245,KMC99_gp39,KMC99_gp39,CHPC972_001182,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675260,65070246,KMC99_gp40,KMC99_gp40,CHPC972_001183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070247,KMC99_gp01,KMC99_gp01,CHPC972_001144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65243307,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
