#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2794947,63027115,2,J1773_gp02,SEA_LILBEANIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210605,-
2794947,63027185,73,J1773_gp73,SEA_LILBEANIE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027186,74,J1773_gp74,SEA_LILBEANIE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027187,75,J1773_gp75,SEA_LILBEANIE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027188,76,J1773_gp76,SEA_LILBEANIE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027189,77,J1773_gp77,SEA_LILBEANIE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027190,78,J1773_gp78,SEA_LILBEANIE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027191,79,J1773_gp79,SEA_LILBEANIE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027192,80,J1773_gp80,SEA_LILBEANIE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027193,81,J1773_gp81,SEA_LILBEANIE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027194,82,J1773_gp82,SEA_LILBEANIE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027195,83,J1773_gp83,SEA_LILBEANIE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027196,84,J1773_gp84,SEA_LILBEANIE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027197,85,J1773_gp85,SEA_LILBEANIE_85,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2794947,63027198,86,J1773_gp86,SEA_LILBEANIE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027199,87,J1773_gp87,SEA_LILBEANIE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027200,88,J1773_gp88,SEA_LILBEANIE_88,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210605,-
2794947,63027201,89,J1773_gp89,SEA_LILBEANIE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027202,90,J1773_gp90,SEA_LILBEANIE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794947,63027203,91,J1773_gp91,SEA_LILBEANIE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027204,92,J1773_gp92,SEA_LILBEANIE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027205,93,J1773_gp93,SEA_LILBEANIE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027206,94,J1773_gp94,SEA_LILBEANIE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027207,95,J1773_gp95,SEA_LILBEANIE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027208,96,J1773_gp96,SEA_LILBEANIE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027209,97,J1773_gp97,SEA_LILBEANIE_97,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2794947,63027210,8,J1773_gp08,SEA_LILBEANIE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027211,1,J1773_gp01,SEA_LILBEANIE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210309,-
2794947,63139693,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
