#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821556,29125486,2,SEA_KITA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821556,29125511,27,SEA_KITA_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1821556,29125512,28,SEA_KITA_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821556,29125513,29,SEA_KITA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125514,30,SEA_KITA_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821556,29125515,31,SEA_KITA_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125516,32,SEA_KITA_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125517,33,SEA_KITA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125518,34,SEA_KITA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125519,35,SEA_KITA_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125520,36,SEA_KITA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125521,37,SEA_KITA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125522,38,SEA_KITA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125523,39,SEA_KITA_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125524,40,SEA_KITA_40,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1821556,29125525,41,SEA_KITA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125526,42,SEA_KITA_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125527,43,SEA_KITA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125528,44,SEA_KITA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125529,45,SEA_KITA_45,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1821556,29125530,46,SEA_KITA_46,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1821556,29125531,47,SEA_KITA_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125532,48,SEA_KITA_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125533,49,SEA_KITA_49,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1821556,29125534,50,SEA_KITA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125535,51,SEA_KITA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125536,52,SEA_KITA_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125537,53,SEA_KITA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125538,54,SEA_KITA_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125539,55,SEA_KITA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125540,56,SEA_KITA_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125541,57,SEA_KITA_57,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1821556,29125542,58,SEA_KITA_58,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1821556,29125543,59,SEA_KITA_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125544,60,SEA_KITA_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125545,61,SEA_KITA_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125546,62,SEA_KITA_62,-,-,-,-,activating signal cointegrator protein,protein-coding,-,-,-,activating signal cointegrator protein,20201221,-
1821556,29125547,63,SEA_KITA_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125548,64,SEA_KITA_64,-,-,-,-,methylase,protein-coding,-,-,-,methylase,20201221,-
1821556,29125549,65,SEA_KITA_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125550,66,SEA_KITA_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125551,67,SEA_KITA_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125552,68,SEA_KITA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125553,69,SEA_KITA_69,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1821556,29125554,70,SEA_KITA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125555,71,SEA_KITA_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125556,72,SEA_KITA_72,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1821556,29125557,73,SEA_KITA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125558,74,SEA_KITA_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125559,75,SEA_KITA_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125560,76,SEA_KITA_76,-,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20210424,-
1821556,29125561,77,SEA_KITA_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125562,78,SEA_KITA_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125563,79,SEA_KITA_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125564,80,SEA_KITA_80,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821556,29125565,1,SEA_KITA_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1821556,29140841,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
