#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059881,54987181,HOS58_gp02,HOS58_gp02,SEA_ATTOOMI_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2059881,54987207,HOS58_gp28,HOS58_gp28,SEA_ATTOOMI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987208,HOS58_gp29,HOS58_gp29,SEA_ATTOOMI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987209,HOS58_gp30,HOS58_gp30,SEA_ATTOOMI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987210,HOS58_gp31,HOS58_gp31,SEA_ATTOOMI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987211,HOS58_gp32,HOS58_gp32,SEA_ATTOOMI_32,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
2059881,54987212,HOS58_gp33,HOS58_gp33,SEA_ATTOOMI_33,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2059881,54987213,HOS58_gp34,HOS58_gp34,SEA_ATTOOMI_34,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2059881,54987214,HOS58_gp35,HOS58_gp35,SEA_ATTOOMI_35,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210403,-
2059881,54987215,HOS58_gp36,HOS58_gp36,SEA_ATTOOMI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059881,54987216,HOS58_gp37,HOS58_gp37,SEA_ATTOOMI_37,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2059881,54987217,HOS58_gp38,HOS58_gp38,SEA_ATTOOMI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987218,HOS58_gp39,HOS58_gp39,SEA_ATTOOMI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987219,HOS58_gp40,HOS58_gp40,SEA_ATTOOMI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987220,HOS58_gp41,HOS58_gp41,SEA_ATTOOMI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987221,HOS58_gp42,HOS58_gp42,SEA_ATTOOMI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987222,HOS58_gp43,HOS58_gp43,SEA_ATTOOMI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987223,HOS58_gp44,HOS58_gp44,SEA_ATTOOMI_44,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2059881,54987224,HOS58_gp45,HOS58_gp45,SEA_ATTOOMI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987225,HOS58_gp46,HOS58_gp46,SEA_ATTOOMI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987226,HOS58_gp47,HOS58_gp47,SEA_ATTOOMI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987227,HOS58_gp48,HOS58_gp48,SEA_ATTOOMI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987228,HOS58_gp49,HOS58_gp49,SEA_ATTOOMI_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2059881,54987229,HOS58_gp50,HOS58_gp50,SEA_ATTOOMI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987230,HOS58_gp51,HOS58_gp51,SEA_ATTOOMI_51,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2059881,54987231,HOS58_gp52,HOS58_gp52,SEA_ATTOOMI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987232,HOS58_gp53,HOS58_gp53,SEA_ATTOOMI_53,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2059881,54987233,HOS58_gp01,HOS58_gp01,SEA_ATTOOMI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,55153763,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
