#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1864623,29066347,BI095_gp02,BI095_gp02,-,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200629,-
1864623,29066377,BI095_gp32,BI095_gp32,-,-,-,-,putative transcriptional activator,protein-coding,-,-,-,putative transcriptional activator,20200629,-
1864623,29066378,BI095_gp33,BI095_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066379,BI095_gp34,BI095_gp34,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
1864623,29066380,BI095_gp35,BI095_gp35,-,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20200629,-
1864623,29066381,BI095_gp36,BI095_gp36,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200629,-
1864623,29066382,BI095_gp37,BI095_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066383,BI095_gp38,BI095_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066384,BI095_gp39,BI095_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066385,BI095_gp40,BI095_gp40,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1864623,29066386,BI095_gp41,BI095_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066387,BI095_gp42,BI095_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066388,BI095_gp43,BI095_gp43,-,-,-,-,putative primosomal protein,protein-coding,-,-,-,putative primosomal protein,20200629,-
1864623,29066389,BI095_gp44,BI095_gp44,-,-,-,-,putative replication protein,protein-coding,-,-,-,putative replication protein,20200629,-
1864623,29066390,BI095_gp45,BI095_gp45,-,-,-,-,putative crossover junction endodeoxyribonuclease,protein-coding,-,-,-,putative crossover junction endodeoxyribonuclease,20200629,-
1864623,29066391,BI095_gp46,BI095_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066392,BI095_gp47,BI095_gp47,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1864623,29066393,BI095_gp48,BI095_gp48,-,-,-,-,putative phosphoadenosine phosphosulfate reductase,protein-coding,-,-,-,putative phosphoadenosine phosphosulfate reductase,20200629,-
1864623,29066394,BI095_gp49,BI095_gp49,-,-,-,-,putative Ead/Ea22-like protein,protein-coding,-,-,-,putative Ead/Ea22-like protein,20200629,-
1864623,29066395,BI095_gp50,BI095_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066396,BI095_gp51,BI095_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066397,BI095_gp52,BI095_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066398,BI095_gp01,BI095_gp01,-,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20200629,-
1864623,29139974,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
1864623,35199124,BI095_gp53,BI095_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,35199125,BIO95_gp56,BIO95_gp56,-,-,-,-,putative 0-spanin,protein-coding,-,-,-,putative 0-spanin,20200629,-
1864623,35199126,BI095_gp54,BI095_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,35199127,BI095_gp55,BI095_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
