#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675256,55815222,HYQ17_gp02,HYQ17_gp02,CHPC964_000961,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200905,-
2675256,55815262,HYQ17_gp42,HYQ17_gp42,CHPC964_001001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815263,HYQ17_gp43,HYQ17_gp43,CHPC964_001002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815264,HYQ17_gp44,HYQ17_gp44,CHPC964_001003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815265,HYQ17_gp45,HYQ17_gp45,CHPC964_001004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815266,HYQ17_gp46,HYQ17_gp46,CHPC964_001005,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210424,-
2675256,55815267,HYQ17_gp47,HYQ17_gp47,CHPC964_001006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815268,HYQ17_gp48,HYQ17_gp48,CHPC964_001007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815269,HYQ17_gp49,HYQ17_gp49,CHPC964_001008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815270,HYQ17_gp50,HYQ17_gp50,CHPC964_001009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815271,HYQ17_gp51,HYQ17_gp51,CHPC964_001010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815272,HYQ17_gp52,HYQ17_gp52,CHPC964_001011,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20200905,-
2675256,55815273,HYQ17_gp53,HYQ17_gp53,CHPC964_001012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815274,HYQ17_gt01,HYQ17_gt01,CHPC964_001016,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2675256,55815275,HYQ17_gp55,HYQ17_gp55,CHPC964_001014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815276,HYQ17_gp54,HYQ17_gp54,CHPC964_001015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675256,55815277,HYQ17_gp56,HYQ17_gp56,CHPC964_001013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815278,HYQ17_gp01,HYQ17_gp01,CHPC964_000960,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200905,-
2675256,55863638,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
