#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
933801,10044094,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acidianus hospitalis str. W1; Acidianus hospitalis strain W1).,other,-,-,-,-,20101221,-
933801,10599468,AHOS_RS00145,AHOS_RS00145,Ahos_0028,-,-,-,DNA double-strand break repair nuclease NurA,protein-coding,-,-,-,DNA double-strand break repair nuclease NurA,20190827,-
933801,10599469,AHOS_RS00150,AHOS_RS00150,Ahos_0029,-,-,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,protein-coding,-,-,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,20190827,-
933801,10599470,AHOS_RS00155,AHOS_RS00155,Ahos_0030,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20190827,-
933801,10599471,AHOS_RS00160,AHOS_RS00160,Ahos_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599472,AHOS_RS00165,AHOS_RS00165,Ahos_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
933801,10599473,AHOS_RS00170,AHOS_RS00170,Ahos_0033,-,-,-,Rdx family protein,protein-coding,-,-,-,Rdx family protein,20200830,-
933801,10599474,AHOS_RS00175,AHOS_RS00175,Ahos_0034,-,-,-,cbb3-type cytochrome c oxidase subunit I,protein-coding,-,-,-,cbb3-type cytochrome c oxidase subunit I,20200830,-
933801,10599475,AHOS_RS00180,AHOS_RS00180,Ahos_0035,-,-,-,enoyl-CoA hydratase/isomerase family protein,protein-coding,-,-,-,enoyl-CoA hydratase/isomerase family protein,20190827,-
933801,10599476,AHOS_RS00185,AHOS_RS00185,Ahos_0036,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20190827,-
933801,10599477,AHOS_RS00190,AHOS_RS00190,Ahos_0037,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20190827,-
933801,10599478,AHOS_RS00195,AHOS_RS00195,Ahos_0038,-,-,-,AIR synthase,protein-coding,-,-,-,AIR synthase,20190827,-
933801,10599479,AHOS_RS00200,AHOS_RS00200,Ahos_0039,-,-,-,NTP transferase domain-containing protein,protein-coding,-,-,-,NTP transferase domain-containing protein,20200905,-
933801,10599480,AHOS_RS00205,AHOS_RS00205,Ahos_0040,-,-,-,DUF1614 domain-containing protein,protein-coding,-,-,-,DUF1614 domain-containing protein,20190827,-
933801,10599481,AHOS_RS00210,AHOS_RS00210,Ahos_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599482,AHOS_RS00215,AHOS_RS00215,Ahos_0042,-,-,-,phosphomethylpyrimidine kinase,protein-coding,-,-,-,phosphomethylpyrimidine kinase,20190827,-
933801,10599483,AHOS_RS00220,AHOS_RS00220,Ahos_0043,-,-,-,PadR family transcriptional regulator,protein-coding,-,-,-,PadR family transcriptional regulator,20190827,-
933801,10599484,AHOS_RS00225,AHOS_RS00225,Ahos_0044,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200830,-
933801,10599486,AHOS_RS00235,AHOS_RS00235,Ahos_0046,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20190827,-
933801,10599487,AHOS_RS00240,AHOS_RS00240,Ahos_0047,-,-,-,VIT1/CCC1 transporter family protein,protein-coding,-,-,-,VIT1/CCC1 transporter family protein,20200905,-
933801,10599488,AHOS_RS00245,AHOS_RS00245,Ahos_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599489,AHOS_RS00250,AHOS_RS00250,Ahos_0049,-,-,-,carbon-nitrogen hydrolase family protein,protein-coding,-,-,-,carbon-nitrogen hydrolase family protein,20190827,-
933801,10599490,AHOS_RS00255,AHOS_RS00255,Ahos_0050,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210417,-
933801,10599491,AHOS_RS00260,AHOS_RS00260,Ahos_0051,-,-,-,acetoin utilization protein AcuC,protein-coding,-,-,-,acetoin utilization protein AcuC,20190827,-
933801,10599492,purT,AHOS_RS00265,Ahos_0052,-,-,-,formate-dependent phosphoribosylglycinamide formyltransferase,protein-coding,-,-,-,formate-dependent phosphoribosylglycinamide formyltransferase,20190827,-
933801,10599493,AHOS_RS00270,AHOS_RS00270,Ahos_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599494,AHOS_RS00275,AHOS_RS00275,Ahos_0054,-,-,-,phosphatidate cytidylyltransferase,protein-coding,-,-,-,phosphatidate cytidylyltransferase,20190827,-
933801,10599495,AHOS_RS00280,AHOS_RS00280,Ahos_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599497,AHOS_RS00285,AHOS_RS00285,Ahos_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599498,AHOS_RS00290,AHOS_RS00290,Ahos_0057,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20190827,-
933801,10599499,AHOS_RS00295,AHOS_RS00295,Ahos_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599500,AHOS_RS00300,AHOS_RS00300,Ahos_0059,-,-,-,molybdenum cofactor biosynthesis protein MoaB,protein-coding,-,-,-,molybdenum cofactor biosynthesis protein MoaB,20190827,-
933801,10599501,AHOS_RS00305,AHOS_RS00305,Ahos_0060,-,-,-,4Fe-4S dicluster domain-containing protein,protein-coding,-,-,-,4Fe-4S dicluster domain-containing protein,20200905,-
933801,10599503,AHOS_RS00315,AHOS_RS00315,Ahos_0062,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20190827,-
933801,10599504,AHOS_RS00320,AHOS_RS00320,Ahos_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
933801,10599505,AHOS_RS00325,AHOS_RS00325,Ahos_0064,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20190827,-
933801,10599507,AHOS_RS00335,AHOS_RS00335,Ahos_0066,-,-,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20190827,-
933801,10599508,AHOS_RS00340,AHOS_RS00340,Ahos_0067,-,-,-,-,pseudo,-,-,-,-,20190827,-
933801,10599509,AHOS_RS00345,AHOS_RS00345,Ahos_0069,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200912,-
933801,10599510,AHOS_RS00350,AHOS_RS00350,Ahos_0070,-,-,-,sulfite exporter TauE/SafE family protein,protein-coding,-,-,-,sulfite exporter TauE/SafE family protein,20190827,-
933801,10599511,AHOS_RS00355,AHOS_RS00355,Ahos_0071,-,-,-,DUF1634 domain-containing protein,protein-coding,-,-,-,DUF1634 domain-containing protein,20190827,-
933801,10599512,AHOS_RS00360,AHOS_RS00360,Ahos_0072,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200830,-
933801,10599513,AHOS_RS00365,AHOS_RS00365,Ahos_0073,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599514,AHOS_RS00370,AHOS_RS00370,Ahos_0074,-,-,-,molybdopterin-dependent oxidoreductase,protein-coding,-,-,-,molybdopterin-dependent oxidoreductase,20200905,-
933801,10599515,AHOS_RS00375,AHOS_RS00375,Ahos_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200830,-
933801,10599516,AHOS_RS00380,AHOS_RS00380,Ahos_0076,-,-,-,DUF2299 domain-containing protein,protein-coding,-,-,-,DUF2299 domain-containing protein,20200905,-
933801,10599517,AHOS_RS00385,AHOS_RS00385,Ahos_0077,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20190827,-
933801,10599518,AHOS_RS00390,AHOS_RS00390,Ahos_0078,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599519,AHOS_RS00395,AHOS_RS00395,Ahos_0079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599520,AHOS_RS00400,AHOS_RS00400,Ahos_0080,-,-,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,protein-coding,-,-,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,20190827,-
933801,10599521,thiI,AHOS_RS00405,Ahos_0081,-,-,-,tRNA 4-thiouridine(8) synthase ThiI,protein-coding,-,-,-,tRNA 4-thiouridine(8) synthase ThiI,20190827,-
933801,10599522,AHOS_RS00410,AHOS_RS00410,Ahos_0082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599523,AHOS_RS00415,AHOS_RS00415,Ahos_0083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599524,AHOS_RS00420,AHOS_RS00420,Ahos_0084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599525,AHOS_RS00430,AHOS_RS00430,Ahos_0085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200830,-
933801,10599526,AHOS_RS00435,AHOS_RS00435,Ahos_0086,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200830,-
933801,10599527,AHOS_RS00440,AHOS_RS00440,Ahos_0087,-,-,-,dihydrolipoyl dehydrogenase,protein-coding,-,-,-,dihydrolipoyl dehydrogenase,20190827,-
933801,10599528,AHOS_RS00445,AHOS_RS00445,Ahos_0088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200831,-
933801,10599529,AHOS_RS00450,AHOS_RS00450,Ahos_0089,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid ferredoxin oxidoreductase subunit beta,20190827,-
933801,10599530,AHOS_RS00455,AHOS_RS00455,Ahos_0090,-,-,-,2-oxoacid:acceptor oxidoreductase subunit alpha,protein-coding,-,-,-,2-oxoacid:acceptor oxidoreductase subunit alpha,20190827,-
933801,10599531,AHOS_RS00460,AHOS_RS00460,Ahos_0091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599532,AHOS_RS00465,AHOS_RS00465,Ahos_0092,-,-,-,DUF3211 domain-containing protein,protein-coding,-,-,-,DUF3211 domain-containing protein,20190827,-
933801,10599533,tfb,AHOS_RS00470,Ahos_0093,-,-,-,transcription initiation factor TFIIB,protein-coding,-,-,-,transcription initiation factor TFIIB,20200905,-
933801,10599534,AHOS_RS00475,AHOS_RS00475,Ahos_0094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599535,AHOS_RS00485,AHOS_RS00485,Ahos_0095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599536,AHOS_RS00490,AHOS_RS00490,Ahos_0096,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200905,-
933801,10599537,AHOS_RS00495,AHOS_RS00495,Ahos_0097,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20190827,-
933801,10599538,AHOS_RS00500,AHOS_RS00500,Ahos_0098,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20190827,-
933801,10599539,AHOS_RS00505,AHOS_RS00505,Ahos_0099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599540,AHOS_RS00510,AHOS_RS00510,Ahos_0100,-,-,-,APC family permease,protein-coding,-,-,-,APC family permease,20190827,-
933801,10599541,AHOS_RS00515,AHOS_RS00515,Ahos_0101,-,-,-,glycosyltransferase family 39 protein,protein-coding,-,-,-,glycosyltransferase family 39 protein,20200830,-
933801,10599542,AHOS_RS00520,AHOS_RS00520,Ahos_0102,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200905,-
933801,10599543,AHOS_RS00525,AHOS_RS00525,Ahos_0103,-,-,-,MMPL family transporter,protein-coding,-,-,-,MMPL family transporter,20200905,-
933801,10599544,AHOS_RS00530,AHOS_RS00530,Ahos_0104,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200919,-
933801,10599545,AHOS_RS00535,AHOS_RS00535,Ahos_0105,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20190827,-
933801,10599546,AHOS_RS00540,AHOS_RS00540,Ahos_0106,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20190827,-
933801,10599547,AHOS_RS00545,AHOS_RS00545,Ahos_0107,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20190827,-
933801,10599548,AHOS_RS00550,AHOS_RS00550,Ahos_0108,-,-,-,sulfite oxidase-like oxidoreductase,protein-coding,-,-,-,sulfite oxidase-like oxidoreductase,20190827,-
933801,10599549,AHOS_RS00555,AHOS_RS00555,Ahos_0109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599550,AHOS_RS00560,AHOS_RS00560,Ahos_0110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599551,AHOS_RS00565,AHOS_RS00565,Ahos_0111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599552,AHOS_RS00570,AHOS_RS00570,Ahos_0112,-,-,-,quinol oxidase,protein-coding,-,-,-,quinol oxidase,20210529,-
933801,10599553,AHOS_RS00575,AHOS_RS00575,Ahos_0113,-,-,-,DoxX family membrane protein,protein-coding,-,-,-,DoxX family membrane protein,20200830,-
933801,10599554,AHOS_RS00580,AHOS_RS00580,Ahos_0114,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599555,AHOS_RS00585,AHOS_RS00585,Ahos_0115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599556,AHOS_RS00590,AHOS_RS00590,Ahos_0116,-,-,-,M61 family metallopeptidase,protein-coding,-,-,-,M61 family metallopeptidase,20190827,-
933801,10599557,AHOS_RS00595,AHOS_RS00595,Ahos_0117,-,-,-,stage II sporulation protein M,protein-coding,-,-,-,stage II sporulation protein M,20190827,-
933801,10599558,AHOS_RS00600,AHOS_RS00600,Ahos_0118,-,-,-,NAD-dependent epimerase/dehydratase family protein,protein-coding,-,-,-,NAD-dependent epimerase/dehydratase family protein,20200830,-
933801,10599559,AHOS_RS00605,AHOS_RS00605,Ahos_0119,-,-,-,NAD-binding protein,protein-coding,-,-,-,NAD-binding protein,20200830,-
933801,10599560,AHOS_RS00610,AHOS_RS00610,Ahos_0120,-,-,-,hydantoinase B/oxoprolinase family protein,protein-coding,-,-,-,hydantoinase B/oxoprolinase family protein,20200830,-
933801,10599561,AHOS_RS00615,AHOS_RS00615,Ahos_0121,-,-,-,hydantoinase/oxoprolinase family protein,protein-coding,-,-,-,hydantoinase/oxoprolinase family protein,20190827,-
933801,10599562,AHOS_RS00620,AHOS_RS00620,Ahos_0122,-,-,-,5-formyltetrahydrofolate cyclo-ligase,protein-coding,-,-,-,5-formyltetrahydrofolate cyclo-ligase,20190827,-
933801,10599563,AHOS_RS00625,AHOS_RS00625,Ahos_0123,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200830,-
933801,10599564,AHOS_RS00630,AHOS_RS00630,Ahos_0124,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210417,-
933801,10599565,AHOS_RS00635,AHOS_RS00635,Ahos_0125,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20200830,-
933801,10599566,AHOS_RS00640,AHOS_RS00640,Ahos_0126,-,-,-,S9 family peptidase,protein-coding,-,-,-,S9 family peptidase,20190827,-
933801,10599567,AHOS_RS00645,AHOS_RS00645,Ahos_0127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599568,AHOS_RS00650,AHOS_RS00650,Ahos_0128,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20190827,-
933801,10599569,AHOS_RS00655,AHOS_RS00655,Ahos_0129,-,-,-,sugar nucleotide-binding protein,protein-coding,-,-,-,sugar nucleotide-binding protein,20200830,-
933801,10599570,AHOS_RS00660,AHOS_RS00660,Ahos_0130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599571,AHOS_RS00665,AHOS_RS00665,Ahos_0131,-,-,-,sulfur oxidation protein,protein-coding,-,-,-,sulfur oxidation protein,20190827,-
933801,10599572,AHOS_RS00670,AHOS_RS00670,Ahos_0132,-,-,-,EamA family transporter,protein-coding,-,-,-,EamA family transporter,20200905,-
933801,10599573,AHOS_RS00675,AHOS_RS00675,Ahos_0133,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20190827,-
933801,10599574,AHOS_RS00680,AHOS_RS00680,Ahos_0134,-,-,-,VTT domain-containing protein,protein-coding,-,-,-,VTT domain-containing protein,20200905,-
933801,10599575,AHOS_RS00685,AHOS_RS00685,Ahos_0135,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210529,-
933801,10599576,AHOS_RS00690,AHOS_RS00690,Ahos_0136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599577,AHOS_RS00695,AHOS_RS00695,Ahos_0137,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20190827,-
933801,10599578,AHOS_RS00700,AHOS_RS00700,Ahos_0138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599579,AHOS_RS00705,AHOS_RS00705,Ahos_0139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599580,AHOS_RS00710,AHOS_RS00710,Ahos_0140,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210417,-
933801,10599581,AHOS_RS00715,AHOS_RS00715,Ahos_0141,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200830,-
933801,10599582,AHOS_RS00720,AHOS_RS00720,Ahos_0142,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20200830,-
933801,10599583,AHOS_RS00725,AHOS_RS00725,Ahos_0143,-,-,-,ADP-ribose-binding protein,protein-coding,-,-,-,ADP-ribose-binding protein,20190827,-
933801,10599584,AHOS_RS00730,AHOS_RS00730,Ahos_0144,-,-,-,thermopsin,protein-coding,-,-,-,thermopsin,20190827,-
933801,10599585,AHOS_RS00735,AHOS_RS00735,Ahos_0145,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599586,AHOS_RS00740,AHOS_RS00740,Ahos_0146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599587,AHOS_RS00745,AHOS_RS00745,Ahos_0147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599588,AHOS_RS00750,AHOS_RS00750,Ahos_0148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599589,AHOS_RS00755,AHOS_RS00755,Ahos_0149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599590,AHOS_RS00760,AHOS_RS00760,Ahos_0150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599591,AHOS_RS00765,AHOS_RS00765,Ahos_0151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599592,AHOS_RS00770,AHOS_RS00770,Ahos_0152,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599593,AHOS_RS00775,AHOS_RS00775,Ahos_0153,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20190827,-
933801,10599594,AHOS_RS00780,AHOS_RS00780,Ahos_0154,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20200830,-
933801,10599595,tnpB,AHOS_RS00785,Ahos_0155,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,protein-coding,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,20200830,-
933801,10599596,AHOS_RS00790,AHOS_RS00790,Ahos_0156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599597,AHOS_RS00795,AHOS_RS00795,Ahos_0157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599598,panB,AHOS_RS00800,Ahos_0158,-,-,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,protein-coding,-,-,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,20190827,-
933801,10599599,AHOS_RS00805,AHOS_RS00805,Ahos_0159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599600,AHOS_RS00810,AHOS_RS00810,Ahos_0160,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20190827,-
933801,10599601,AHOS_RS00815,AHOS_RS00815,Ahos_0161,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20190827,-
933801,10599602,AHOS_RS00820,AHOS_RS00820,Ahos_0162,-,-,-,carbohydrate ABC transporter substrate-binding protein,protein-coding,-,-,-,carbohydrate ABC transporter substrate-binding protein,20190827,-
933801,10599603,AHOS_RS00825,AHOS_RS00825,Ahos_0163,-,-,-,amino acid permease,protein-coding,-,-,-,amino acid permease,20200905,-
933801,10599604,AHOS_RS00830,AHOS_RS00830,Ahos_0164,-,-,-,YncE family protein,protein-coding,-,-,-,YncE family protein,20200905,-
933801,10599605,AHOS_RS00835,AHOS_RS00835,Ahos_0165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599606,AHOS_RS00840,AHOS_RS00840,Ahos_0166,-,-,-,M20/M25/M40 family metallo-hydrolase,protein-coding,-,-,-,M20/M25/M40 family metallo-hydrolase,20200830,-
933801,10599607,AHOS_RS00845,AHOS_RS00845,Ahos_0167,-,-,-,-,pseudo,-,-,-,-,20190827,-
933801,10599608,AHOS_RS00850,AHOS_RS00850,Ahos_0168,-,-,-,lipoate--protein ligase family protein,protein-coding,-,-,-,lipoate--protein ligase family protein,20190827,-
933801,10599609,AHOS_RS00855,AHOS_RS00855,Ahos_0169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
