#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656572,60327540,2,I5H28_gp002,SEA_DONKEYKONG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2656572,60327558,21,I5H28_gp021,SEA_DONKEYKONG_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327559,22,I5H28_gp022,SEA_DONKEYKONG_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327560,23,I5H28_gp023,SEA_DONKEYKONG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327561,24,I5H28_gp024,SEA_DONKEYKONG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327562,25,I5H28_gp025,SEA_DONKEYKONG_25,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2656572,60327563,26,I5H28_gp026,SEA_DONKEYKONG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327564,27,I5H28_gp027,SEA_DONKEYKONG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327565,28,I5H28_gp028,SEA_DONKEYKONG_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327566,29,I5H28_gp029,SEA_DONKEYKONG_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327567,30,I5H28_gp030,SEA_DONKEYKONG_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201203,-
2656572,60327568,31,I5H28_gp031,SEA_DONKEYKONG_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2656572,60327569,32,I5H28_gp032,SEA_DONKEYKONG_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656572,60327570,33,I5H28_gp033,SEA_DONKEYKONG_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656572,60327571,34,I5H28_gp034,SEA_DONKEYKONG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327572,35,I5H28_gp035,SEA_DONKEYKONG_35,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20201129,-
2656572,60327573,36,I5H28_gp036,SEA_DONKEYKONG_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327574,38,I5H28_gp038,SEA_DONKEYKONG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327575,39,I5H28_gp039,SEA_DONKEYKONG_39,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
2656572,60327576,40,I5H28_gp040,SEA_DONKEYKONG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327577,41,I5H28_gp041,SEA_DONKEYKONG_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2656572,60327578,42,I5H28_gp042,SEA_DONKEYKONG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327579,43,I5H28_gp043,SEA_DONKEYKONG_43,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201129,-
2656572,60327580,44,I5H28_gp044,SEA_DONKEYKONG_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2656572,60327581,45,I5H28_gp045,SEA_DONKEYKONG_45,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
2656572,60327582,46,I5H28_gp046,SEA_DONKEYKONG_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2656572,60327583,47,I5H28_gp047,SEA_DONKEYKONG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327584,48,I5H28_gp048,SEA_DONKEYKONG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327585,50,I5H28_gp050,SEA_DONKEYKONG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327586,51,I5H28_gp051,SEA_DONKEYKONG_51,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2656572,60327587,52,I5H28_gp052,SEA_DONKEYKONG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327588,53,I5H28_gp053,SEA_DONKEYKONG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327589,54,I5H28_gp054,SEA_DONKEYKONG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656572,60327590,55,I5H28_gp055,SEA_DONKEYKONG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327591,56,I5H28_gp056,SEA_DONKEYKONG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327592,57,I5H28_gp057,SEA_DONKEYKONG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327593,58,I5H28_gp058,SEA_DONKEYKONG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327594,59,I5H28_gp059,SEA_DONKEYKONG_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327595,60,I5H28_gp060,SEA_DONKEYKONG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656572,60327596,61,I5H28_gp061,SEA_DONKEYKONG_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2656572,60327597,62,I5H28_gp062,SEA_DONKEYKONG_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2656572,60327598,63,I5H28_gp063,SEA_DONKEYKONG_63,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2656572,60327599,64,I5H28_gp064,SEA_DONKEYKONG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327600,65,I5H28_gp065,SEA_DONKEYKONG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327601,66,I5H28_gp066,SEA_DONKEYKONG_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656572,60327602,67,I5H28_gp067,SEA_DONKEYKONG_67,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210417,-
2656572,60327603,68,I5H28_gp068,SEA_DONKEYKONG_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2656572,60327604,69,I5H28_gp069,SEA_DONKEYKONG_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327605,71,I5H28_gp071,SEA_DONKEYKONG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327606,72,I5H28_gp072,SEA_DONKEYKONG_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656572,60327607,73,I5H28_gp073,SEA_DONKEYKONG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327608,74,I5H28_gp074,SEA_DONKEYKONG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327609,75,I5H28_gp075,SEA_DONKEYKONG_75,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2656572,60327610,76,I5H28_gp076,SEA_DONKEYKONG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327611,77,I5H28_gp077,SEA_DONKEYKONG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327612,78,I5H28_gp078,SEA_DONKEYKONG_78,-,-,-,DnaC-like helicase loader,protein-coding,-,-,-,DnaC-like helicase loader,20201129,-
2656572,60327613,79,I5H28_gp079,SEA_DONKEYKONG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327614,80,I5H28_gp080,SEA_DONKEYKONG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327615,82,I5H28_gp082,SEA_DONKEYKONG_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327616,83,I5H28_gp083,SEA_DONKEYKONG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327617,84,I5H28_gp084,SEA_DONKEYKONG_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327618,85,I5H28_gp085,SEA_DONKEYKONG_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327619,86,I5H28_gp086,SEA_DONKEYKONG_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327620,87,I5H28_gp087,SEA_DONKEYKONG_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327621,88,I5H28_gp088,SEA_DONKEYKONG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327622,89,I5H28_gp089,SEA_DONKEYKONG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327623,90,I5H28_gp090,SEA_DONKEYKONG_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327624,91,I5H28_gp091,SEA_DONKEYKONG_91,-,-,-,nucleotidyl transferase,protein-coding,-,-,-,nucleotidyl transferase,20201129,-
2656572,60327625,92,I5H28_gp092,SEA_DONKEYKONG_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327626,93,I5H28_gp093,SEA_DONKEYKONG_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327627,94,I5H28_gp094,SEA_DONKEYKONG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327628,95,I5H28_gp095,SEA_DONKEYKONG_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327629,96,I5H28_gp096,SEA_DONKEYKONG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327630,97,I5H28_gp097,SEA_DONKEYKONG_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327631,99,I5H28_gp099,SEA_DONKEYKONG_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327632,100,I5H28_gp100,SEA_DONKEYKONG_100,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
2656572,60327633,101,I5H28_gp101,SEA_DONKEYKONG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2656572,60327634,102,I5H28_gp102,SEA_DONKEYKONG_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327635,103,I5H28_gp103,SEA_DONKEYKONG_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327636,104,I5H28_gp104,SEA_DONKEYKONG_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327637,105,I5H28_gp105,SEA_DONKEYKONG_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327638,106,I5H28_gp106,SEA_DONKEYKONG_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327639,108,I5H28_gp108,SEA_DONKEYKONG_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327640,109,I5H28_gp109,SEA_DONKEYKONG_109,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2656572,60327641,110,I5H28_gp110,SEA_DONKEYKONG_110,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2656572,60327642,37,I5H28_gp037,SEA_DONKEYKONG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327643,70,I5H28_gp070,SEA_DONKEYKONG_70,-,-,-,PAPS reductase-like domain protein,protein-coding,-,-,-,PAPS reductase-like domain protein,20201129,-
2656572,60327644,81,I5H28_gp081,SEA_DONKEYKONG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327645,98,I5H28_gp098,SEA_DONKEYKONG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327646,107,I5H28_gp107,SEA_DONKEYKONG_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2656572,60327647,49,I5H28_gp049,SEA_DONKEYKONG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656572,60327648,14,I5H28_gp014,SEA_DONKEYKONG_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
2656572,60327649,1,I5H28_gp001,SEA_DONKEYKONG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2656572,60338809,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
