#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041413,40091951,FDI73_gp001,FDI73_gp001,CPT_Melville_001,-,-,-,rIIa-like protector from prophage-induced early lysis,protein-coding,-,-,-,rIIa-like protector from prophage-induced early lysis,20200910,-
2041413,40091978,FDI73_gp028,FDI73_gp028,CPT_Melville_028,-,-,-,putative conserved lipoprotein,protein-coding,-,-,-,putative conserved lipoprotein,20200910,-
2041413,40091979,FDI73_gp029,FDI73_gp029,CPT_Melville_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091980,FDI73_gp030,FDI73_gp030,CPT_Melville_030,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
2041413,40091981,FDI73_gp031,FDI73_gp031,CPT_Melville_031,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20200910,-
2041413,40091982,FDI73_gp032,FDI73_gp032,CPT_Melville_032,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20200910,-
2041413,40091983,FDI73_gp033,FDI73_gp033,CPT_Melville_033,-,-,-,beta glucosyl transferase,protein-coding,-,-,-,beta glucosyl transferase,20200910,-
2041413,40091984,FDI73_gp034,FDI73_gp034,CPT_Melville_034,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20200910,-
2041413,40091985,FDI73_gp035,FDI73_gp035,CPT_Melville_035,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20200910,-
2041413,40091986,FDI73_gp036,FDI73_gp036,CPT_Melville_036,-,-,-,Imm-like immunity to superinfection membrane protein,protein-coding,-,-,-,Imm-like immunity to superinfection membrane protein,20200910,-
2041413,40091987,FDI73_gp037,FDI73_gp037,CPT_Melville_037,-,-,-,putative conserved lipoprotein,protein-coding,-,-,-,putative conserved lipoprotein,20200910,-
2041413,40091988,FDI73_gp038,FDI73_gp038,CPT_Melville_038,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
2041413,40091989,FDI73_gp039,FDI73_gp039,CPT_Melville_039,-,-,-,MobD-like homing endonuclease,protein-coding,-,-,-,MobD-like homing endonuclease,20200910,-
2041413,40091990,FDI73_gp040,FDI73_gp040,CPT_Melville_040,-,-,-,RegA-like translational repressor protein,protein-coding,-,-,-,RegA-like translational repressor protein,20200910,-
2041413,40091991,FDI73_gp041,FDI73_gp041,CPT_Melville_041,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
2041413,40091992,FDI73_gp042,FDI73_gp042,CPT_Melville_042,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
2041413,40091993,FDI73_gp043,FDI73_gp043,CPT_Melville_043,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200910,-
2041413,40091994,FDI73_gp044,FDI73_gp044,CPT_Melville_044,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200910,-
2041413,40091995,FDI73_gp045,FDI73_gp045,CPT_Melville_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091996,FDI73_gp046,FDI73_gp046,CPT_Melville_046,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20200910,-
2041413,40091997,FDI73_gp047,FDI73_gp047,CPT_Melville_047,-,-,-,MobD-like homing endonuclease,protein-coding,-,-,-,MobD-like homing endonuclease,20200910,-
2041413,40091998,FDI73_gp048,FDI73_gp048,CPT_Melville_048,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20200910,-
2041413,40091999,FDI73_gp049,FDI73_gp049,CPT_Melville_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092000,FDI73_gp050,FDI73_gp050,CPT_Melville_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092001,FDI73_gp051,FDI73_gp051,CPT_Melville_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092002,FDI73_gp052,FDI73_gp052,CPT_Melville_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092003,FDI73_gp053,FDI73_gp053,CPT_Melville_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092004,FDI73_gp054,FDI73_gp054,CPT_Melville_054,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20200910,-
2041413,40092005,FDI73_gp055,FDI73_gp055,CPT_Melville_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092006,FDI73_gp056,FDI73_gp056,CPT_Melville_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092007,FDI73_gp057,FDI73_gp057,CPT_Melville_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092008,FDI73_gp058,FDI73_gp058,CPT_Melville_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092009,FDI73_gp059,FDI73_gp059,CPT_Melville_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092010,FDI73_gp060,FDI73_gp060,CPT_Melville_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092011,FDI73_gp061,FDI73_gp061,CPT_Melville_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092012,FDI73_gp062,FDI73_gp062,CPT_Melville_062,-,-,-,NrdH-like anaerobic nucleotide reductase subunit,protein-coding,-,-,-,NrdH-like anaerobic nucleotide reductase subunit,20200910,-
2041413,40092013,FDI73_gp063,FDI73_gp063,CPT_Melville_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092014,FDI73_gp064,FDI73_gp064,CPT_Melville_064,-,-,-,NrdG-like anaerobic nucleotide reductase subunit,protein-coding,-,-,-,NrdG-like anaerobic nucleotide reductase subunit,20200910,-
2041413,40092015,FDI73_gp065,FDI73_gp065,CPT_Melville_065,-,-,-,NrdD-like anaerobic nucleotide reductase subunit,protein-coding,-,-,-,NrdD-like anaerobic nucleotide reductase subunit,20200910,-
2041413,40092016,FDI73_gp066,FDI73_gp066,CPT_Melville_066,-,-,-,TevII-like homing endonuclease,protein-coding,-,-,-,TevII-like homing endonuclease,20200910,-
2041413,40092017,FDI73_gp067,FDI73_gp067,CPT_Melville_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092018,FDI73_gp068,FDI73_gp068,CPT_Melville_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092019,FDI73_gp069,FDI73_gp069,CPT_Melville_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092020,FDI73_gp070,FDI73_gp070,CPT_Melville_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092021,FDI73_gp071,FDI73_gp071,CPT_Melville_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092022,FDI73_gp072,FDI73_gp072,CPT_Melville_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092023,FDI73_gp073,FDI73_gp073,CPT_Melville_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092024,FDI73_gp074,FDI73_gp074,CPT_Melville_074,-,-,-,NrdC-like glutaredoxin,protein-coding,-,-,-,NrdC-like glutaredoxin,20200910,-
2041413,40092025,FDI73_gp075,FDI73_gp075,CPT_Melville_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092026,FDI73_gp076,FDI73_gp076,CPT_Melville_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092027,FDI73_gp077,FDI73_gp077,CPT_Melville_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092028,FDI73_gp078,FDI73_gp078,CPT_Melville_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092029,FDI73_gp079,FDI73_gp079,CPT_Melville_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092030,FDI73_gp080,FDI73_gp080,CPT_Melville_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092031,FDI73_gp081,FDI73_gp081,CPT_Melville_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092032,FDI73_gp082,FDI73_gp082,CPT_Melville_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092033,FDI73_gp083,FDI73_gp083,CPT_Melville_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092034,FDI73_gp084,FDI73_gp084,CPT_Melville_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092035,FDI73_gp085,FDI73_gp085,CPT_Melville_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092036,FDI73_gp086,FDI73_gp086,CPT_Melville_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092037,FDI73_gp087,FDI73_gp087,CPT_Melville_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092038,FDI73_gp088,FDI73_gp088,CPT_Melville_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092039,FDI73_gp089,FDI73_gp089,CPT_Melville_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092040,FDI73_gp090,FDI73_gp090,CPT_Melville_090,-,-,-,putative nucleotidyl transferase,protein-coding,-,-,-,putative nucleotidyl transferase,20200910,-
2041413,40092041,FDI73_gp091,FDI73_gp091,CPT_Melville_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092042,FDI73_gp092,FDI73_gp092,CPT_Melville_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092043,FDI73_gp093,FDI73_gp093,CPT_Melville_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092044,FDI73_gp094,FDI73_gp094,CPT_Melville_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092045,FDI73_gp095,FDI73_gp095,CPT_Melville_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092046,FDI73_gp096,FDI73_gp096,CPT_Melville_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092047,FDI73_gp097,FDI73_gp097,CPT_Melville_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092048,FDI73_gp098,FDI73_gp098,CPT_Melville_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092049,FDI73_gp099,FDI73_gp099,CPT_Melville_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092050,FDI73_gp100,FDI73_gp100,CPT_Melville_100,-,-,-,rI-like periplasmic antiholin,protein-coding,-,-,-,rI-like periplasmic antiholin,20200910,-
2041413,40092051,FDI73_gp101,FDI73_gp101,CPT_Melville_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092052,FDI73_gp102,FDI73_gp102,CPT_Melville_102,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200910,-
2041413,40092053,FDI73_gp103,FDI73_gp103,CPT_Melville_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092054,FDI73_gp104,FDI73_gp104,CPT_Melville_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092055,FDI73_gp105,FDI73_gp105,CPT_Melville_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092056,FDI73_gp106,FDI73_gp106,CPT_Melville_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092057,FDI73_gp107,FDI73_gp107,CPT_Melville_107,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200910,-
2041413,40092058,FDI73_gp108,FDI73_gp108,CPT_Melville_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092059,FDI73_gp109,FDI73_gp109,CPT_Melville_109,-,-,-,RegB-like site-specific RNA endonuclease,protein-coding,-,-,-,RegB-like site-specific RNA endonuclease,20200910,-
2041413,40092060,FDI73_gp110,FDI73_gp110,CPT_Melville_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092061,FDI73_gp111,FDI73_gp111,CPT_Melville_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092062,FDI73_gp112,FDI73_gp112,CPT_Melville_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092063,FDI73_gp113,FDI73_gp113,CPT_Melville_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092064,FDI73_gp114,FDI73_gp114,CPT_Melville_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092065,FDI73_gp115,FDI73_gp115,CPT_Melville_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092066,FDI73_gp116,FDI73_gp116,CPT_Melville_116,-,-,-,endolysin-murein hydrolase,protein-coding,-,-,-,endolysin-murein hydrolase,20200910,-
2041413,40092067,FDI73_gp117,FDI73_gp117,CPT_Melville_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092068,FDI73_gp118,FDI73_gp118,CPT_Melville_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092069,FDI73_gp119,FDI73_gp119,CPT_Melville_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092070,FDI73_gp120,FDI73_gp120,CPT_Melville_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092071,FDI73_gp121,FDI73_gp121,CPT_Melville_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092072,FDI73_gp122,FDI73_gp122,CPT_Melville_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092073,FDI73_gp123,FDI73_gp123,CPT_Melville_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092074,FDI73_gp124,FDI73_gp124,CPT_Melville_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092075,FDI73_gp125,FDI73_gp125,CPT_Melville_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092076,FDI73_gt001,FDI73_gt001,CPT_Melville_126,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092077,FDI73_gt002,FDI73_gt002,CPT_Melville_127,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092078,FDI73_gt003,FDI73_gt003,CPT_Melville_128,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092079,FDI73_gt004,FDI73_gt004,CPT_Melville_129,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092080,FDI73_gt005,FDI73_gt005,CPT_Melville_130,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092081,FDI73_gp264,FDI73_gp264,CPT_Melville_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092082,FDI73_gt006,FDI73_gt006,CPT_Melville_132,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092083,FDI73_gt007,FDI73_gt007,CPT_Melville_133,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092084,FDI73_gt008,FDI73_gt008,CPT_Melville_134,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092085,FDI73_gt009,FDI73_gt009,CPT_Melville_135,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092086,FDI73_gt010,FDI73_gt010,CPT_Melville_136,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092087,FDI73_gt011,FDI73_gt011,CPT_Melville_137,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2041413,40092088,FDI73_gp263,FDI73_gp263,CPT_Melville_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092089,FDI73_gp262,FDI73_gp262,CPT_Melville_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092090,FDI73_gp261,FDI73_gp261,CPT_Melville_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092091,FDI73_gp260,FDI73_gp260,CPT_Melville_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092092,FDI73_gp259,FDI73_gp259,CPT_Melville_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092093,FDI73_gp258,FDI73_gp258,CPT_Melville_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092094,FDI73_gp257,FDI73_gp257,CPT_Melville_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092095,FDI73_gp256,FDI73_gp256,CPT_Melville_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092096,FDI73_gp255,FDI73_gp255,CPT_Melville_146,-,-,-,chaperone for long tail fiber formation,protein-coding,-,-,-,chaperone for long tail fiber formation,20200910,-
2041413,40092097,FDI73_gp254,FDI73_gp254,CPT_Melville_147,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200910,-
2041413,40092098,FDI73_gp253,FDI73_gp253,CPT_Melville_148,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200910,-
2041413,40092099,FDI73_gp252,FDI73_gp252,CPT_Melville_149,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200910,-
2041413,40092100,FDI73_gp251,FDI73_gp251,CPT_Melville_150,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
2041413,40092101,FDI73_gp250,FDI73_gp250,CPT_Melville_151,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
2041413,40092102,FDI73_gp249,FDI73_gp249,CPT_Melville_152,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200910,-
2041413,40092103,FDI73_gp248,FDI73_gp248,CPT_Melville_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092104,FDI73_gp247,FDI73_gp247,CPT_Melville_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40092105,FDI73_gp246,FDI73_gp246,CPT_Melville_155,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
2041413,40092106,FDI73_gp245,FDI73_gp245,CPT_Melville_156,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
2041413,40092107,FDI73_gp244,FDI73_gp244,CPT_Melville_157,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
2041413,40092108,FDI73_gp243,FDI73_gp243,CPT_Melville_158,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200910,-
2041413,40092109,FDI73_gp242,FDI73_gp242,CPT_Melville_159,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
2041413,40092110,FDI73_gp241,FDI73_gp241,CPT_Melville_160,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
2041413,40092111,FDI73_gp240,FDI73_gp240,CPT_Melville_161,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20200910,-
2041413,40092112,FDI73_gp239,FDI73_gp239,CPT_Melville_162,-,-,-,wac-like collar fiber,protein-coding,-,-,-,wac-like collar fiber,20200910,-
2041413,40092113,FDI73_gp238,FDI73_gp238,CPT_Melville_163,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
2041413,40092114,FDI73_gp237,FDI73_gp237,CPT_Melville_164,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
2041413,40092115,FDI73_gp236,FDI73_gp236,CPT_Melville_165,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200910,-
2041413,40092116,FDI73_gp235,FDI73_gp235,CPT_Melville_166,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2041413,40092117,FDI73_gp234,FDI73_gp234,CPT_Melville_167,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2041413,40092118,FDI73_gp233,FDI73_gp233,CPT_Melville_168,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
2041413,40092119,FDI73_gp232,FDI73_gp232,CPT_Melville_169,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
2041413,40092120,FDI73_gp231,FDI73_gp231,CPT_Melville_170,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20200910,-
2041413,40092121,FDI73_gp230,FDI73_gp230,CPT_Melville_171,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
2041413,40092122,FDI73_gp229,FDI73_gp229,CPT_Melville_172,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
2041413,40092123,FDI73_gp228,FDI73_gp228,CPT_Melville_173,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20200910,-
2041413,40092124,FDI73_gp227,FDI73_gp227,CPT_Melville_174,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
