#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912318,40072990,FDH16_gp001,FDH16_gp001,-,-,-,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20200910,-
1912318,40073026,FDH16_gp016,FDH16_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073027,FDH16_gp017,FDH16_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073028,FDH16_gp018,FDH16_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073029,FDH16_gp019,FDH16_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073030,FDH16_gp020,FDH16_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073031,FDH16_gp021,FDH16_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073032,FDH16_gp022,FDH16_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073033,FDH16_gp023,FDH16_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073034,FDH16_gp024,FDH16_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073035,FDH16_gp025,FDH16_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073036,FDH16_gp026,FDH16_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073037,FDH16_gp027,FDH16_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073038,FDH16_gp028,FDH16_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073039,FDH16_gp029,FDH16_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073040,FDH16_gp030,FDH16_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073041,FDH16_gp031,FDH16_gp031,-,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210424,-
1912318,40073042,FDH16_gp032,FDH16_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073043,FDH16_gp033,FDH16_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073044,FDH16_gp034,FDH16_gp034,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
1912318,40073045,FDH16_gp035,FDH16_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073046,FDH16_gp036,FDH16_gp036,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200910,-
1912318,40073047,FDH16_gp037,FDH16_gp037,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1912318,40073048,FDH16_gp038,FDH16_gp038,-,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,ATP-dependent Clp protease proteolytic subunit,20210424,-
1912318,40073049,FDH16_gp039,FDH16_gp039,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20200910,-
1912318,40073050,FDH16_gp040,FDH16_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073051,FDH16_gp041,FDH16_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073052,FDH16_gp042,FDH16_gp042,-,-,-,-,6-phosphofructokinase,protein-coding,-,-,-,6-phosphofructokinase,20200910,-
1912318,40073053,FDH16_gp043,FDH16_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073054,FDH16_gp044,FDH16_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073055,FDH16_gp045,FDH16_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073056,FDH16_gp046,FDH16_gp046,-,-,-,-,RNA polymerase sigma-54 factor,protein-coding,-,-,-,RNA polymerase sigma-54 factor,20200910,-
1912318,40073057,FDH16_gp047,FDH16_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073058,FDH16_gp048,FDH16_gp048,-,-,-,-,4-hydroxy-3-polyprenylbenzoate decarboxylase,protein-coding,-,-,-,4-hydroxy-3-polyprenylbenzoate decarboxylase,20200910,-
1912318,40073059,FDH16_gp049,FDH16_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073060,FDH16_gp050,FDH16_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073061,FDH16_gp051,FDH16_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073062,FDH16_gp052,FDH16_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073063,FDH16_gp053,FDH16_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073064,FDH16_gp054,FDH16_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073065,FDH16_gp055,FDH16_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073066,FDH16_gp056,FDH16_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073067,FDH16_gp057,FDH16_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073068,FDH16_gt001,FDH16_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073069,FDH16_gt003,FDH16_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073070,FDH16_gp147,FDH16_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073071,FDH16_gt004,FDH16_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073072,FDH16_gp145,FDH16_gp145,-,-,-,-,ATP-dependent chaperone,protein-coding,-,-,-,ATP-dependent chaperone,20200910,-
1912318,40073073,FDH16_gp144,FDH16_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073074,FDH16_gt008,FDH16_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073075,FDH16_gp142,FDH16_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073076,FDH16_gt011,FDH16_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073077,FDH16_gp140,FDH16_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073078,FDH16_gp139,FDH16_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073079,FDH16_gt020,FDH16_gt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073080,FDH16_gt021,FDH16_gt021,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073081,FDH16_gp136,FDH16_gp136,-,-,-,-,cell wall hydrolyse,protein-coding,-,-,-,cell wall hydrolyse,20200912,-
1912318,40073082,FDH16_gp135,FDH16_gp135,-,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20200910,-
1912318,40073083,FDH16_gp134,FDH16_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073084,FDH16_gp133,FDH16_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073085,FDH16_gp132,FDH16_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073086,FDH16_gp131,FDH16_gp131,-,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20200910,-
1912318,40073087,FDH16_gp130,FDH16_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073088,FDH16_gp129,FDH16_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073089,FDH16_gp128,FDH16_gp128,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
1912318,40073090,FDH16_gp127,FDH16_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073091,FDH16_gp126,FDH16_gp126,-,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",20200910,-
1912318,40073092,FDH16_gp125,FDH16_gp125,-,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20200910,-
1912318,40073093,FDH16_gp124,FDH16_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073094,FDH16_gp123,FDH16_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073095,FDH16_gp122,FDH16_gp122,-,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210424,-
1912318,40073096,FDH16_gp121,FDH16_gp121,-,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",protein-coding,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",20200910,-
1912318,40073097,FDH16_gp120,FDH16_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073098,FDH16_gp119,FDH16_gp119,-,-,-,-,NAD-dependent protein deacetylase of SIR2 family,protein-coding,-,-,-,NAD-dependent protein deacetylase of SIR2 family,20200910,-
1912318,40073099,FDH16_gp118,FDH16_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073100,FDH16_gp117,FDH16_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073101,FDH16_gp116,FDH16_gp116,-,-,-,-,putative replication origin binding protein,protein-coding,-,-,-,putative replication origin binding protein,20200910,-
1912318,40073102,FDH16_gp115,FDH16_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073103,FDH16_gp114,FDH16_gp114,-,-,-,-,D2 protein,protein-coding,-,-,-,D2 protein,20200910,-
1912318,40073104,FDH16_gp113,FDH16_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073105,FDH16_gp112,FDH16_gp112,-,-,-,-,D3 protein,protein-coding,-,-,-,D3 protein,20200910,-
1912318,40073106,FDH16_gp111,FDH16_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073107,FDH16_gp110,FDH16_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073108,FDH16_gp109,FDH16_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073109,FDH16_gp108,FDH16_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073110,FDH16_gp107,FDH16_gp107,-,-,-,-,NAD-dependent DNA ligase subunit A,protein-coding,-,-,-,NAD-dependent DNA ligase subunit A,20210417,-
1912318,40073111,FDH16_gp106,FDH16_gp106,-,-,-,-,NDP-dependent DNA ligase subunit B,protein-coding,-,-,-,NDP-dependent DNA ligase subunit B,20200910,-
1912318,40073112,FDH16_gp105,FDH16_gp105,-,-,-,-,D5 protein,protein-coding,-,-,-,D5 protein,20200910,-
1912318,40073113,FDH16_gp104,FDH16_gp104,-,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20210417,-
1912318,40073114,FDH16_gp103,FDH16_gp103,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200910,-
1912318,40073115,FDH16_gp102,FDH16_gp102,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1912318,40073116,FDH16_gp101,FDH16_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073117,FDH16_gp100,FDH16_gp100,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1912318,40073118,FDH16_gp099,FDH16_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1912318,40073119,FDH16_gp098,FDH16_gp098,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20200910,-
1912318,40073120,FDH16_gp097,FDH16_gp097,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20200910,-
1912318,40073121,FDH16_gp096,FDH16_gp096,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
1912318,40073122,FDH16_gp095,FDH16_gp095,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20200910,-
1912318,40073123,FDH16_gp094,FDH16_gp094,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210424,-
1912318,40073124,FDH16_gp093,FDH16_gp093,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1912318,40073125,FDH16_gp092,FDH16_gp092,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1912318,40073126,FDH16_gp091,FDH16_gp091,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1912318,40073127,FDH16_gp090,FDH16_gp090,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210424,-
1912318,40073128,FDH16_gp089,FDH16_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073129,FDH16_gp088,FDH16_gp088,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200910,-
1912318,40073130,FDH16_gp087,FDH16_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073131,FDH16_gp086,FDH16_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073132,FDH16_gp085,FDH16_gp085,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20200910,-
1912318,40073133,FDH16_gp084,FDH16_gp084,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20200910,-
1912318,40073134,FDH16_gp083,FDH16_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073135,FDH16_gp082,FDH16_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073136,FDH16_gp081,FDH16_gp081,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
1912318,40073137,FDH16_gp080,FDH16_gp080,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1912318,40073138,FDH16_gp079,FDH16_gp079,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200910,-
1912318,40073139,FDH16_gp078,FDH16_gp078,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1912318,40073140,FDH16_gp077,FDH16_gp077,-,-,-,-,portal (connector) protein,protein-coding,-,-,-,portal (connector) protein,20210424,-
1912318,40073141,FDH16_gp076,FDH16_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073142,FDH16_gp075,FDH16_gp075,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1912318,40073143,FDH16_gp074,FDH16_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073144,FDH16_gp073,FDH16_gp073,-,-,-,-,receptor-binding protein,protein-coding,-,-,-,receptor-binding protein,20200910,-
1912318,40073145,FDH16_gp072,FDH16_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073146,FDH16_gp071,FDH16_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073147,FDH16_gp070,FDH16_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073148,FDH16_gp069,FDH16_gp069,-,-,-,-,putative A1 protein,protein-coding,-,-,-,putative A1 protein,20201221,-
1912318,40073149,FDH16_gp068,FDH16_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073150,FDH16_gp067,FDH16_gp067,-,-,-,-,A2 protein,protein-coding,-,-,-,A2 protein,20200910,-
1912318,40073151,FDH16_gp066,FDH16_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073152,FDH16_gp065,FDH16_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073153,FDH16_gp064,FDH16_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073154,FDH16_gp063,FDH16_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073155,FDH16_gp062,FDH16_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073156,FDH16_gp061,FDH16_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073157,FDH16_gp060,FDH16_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073158,FDH16_gp059,FDH16_gp059,-,-,-,-,S9 family peptidase,protein-coding,-,-,-,S9 family peptidase,20201221,-
1912318,40073159,FDH16_gp058,FDH16_gp058,-,-,-,-,nucleoside transporter,protein-coding,-,-,-,nucleoside transporter,20201221,-
1912318,40120353,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
