#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
322855,5076550,XPXV15_gp49,XPXV15_gp49,-,-,-,-,putative thymidylate synthase complementing protein,protein-coding,-,-,-,putative thymidylate synthase complementing protein,20201220,-
322855,5076571,XPXV15_gp35,XPXV15_gp35,-,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20201220,-
322855,5076572,XPXV15_gp70,XPXV15_gp70,-,-,-,-,putative endoglucanase,protein-coding,-,-,-,putative endoglucanase,20201220,-
322855,5076573,XPXV15_gp56,XPXV15_gp56,-,-,-,-,possible translation initiation factor,protein-coding,-,-,-,possible translation initiation factor,20201220,-
322855,5076574,XPXV15_gp24,XPXV15_gp24,-,-,-,-,possible host specificity factor,protein-coding,-,-,-,possible host specificity factor,20201220,-
322855,5076575,XPXV15_gp31,XPXV15_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076576,XPXV15_gp63,XPXV15_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076577,XPXV15_gp67,XPXV15_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076578,XPXV15_gp10,XPXV15_gp10,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
322855,5076579,XPXV15_gp17,XPXV15_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076580,XPXV15_gp51,XPXV15_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076581,XPXV15_gp60,XPXV15_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076582,XPXV15_gp05,XPXV15_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076583,XPXV15_gp57,XPXV15_gp57,-,-,-,-,possible peptide chain release factor,protein-coding,-,-,-,possible peptide chain release factor,20201220,-
322855,5076584,XPXV15_gp16,XPXV15_gp16,-,-,-,-,possible phage minor tail protein,protein-coding,-,-,-,possible phage minor tail protein,20201220,-
322855,5076585,XPXV15_gp72,XPXV15_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076586,XPXV15_gp52,XPXV15_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076587,XPXV15_gp41,XPXV15_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076588,XPXV15_gp20,XPXV15_gp20,-,-,-,-,hypothetical protein phage protein,protein-coding,-,-,-,hypothetical protein phage protein,20201220,-
322855,5076589,XPXV15_gp14,XPXV15_gp14,-,-,-,-,hypothetical protein phage protein,protein-coding,-,-,-,hypothetical protein phage protein,20201220,-
322855,5076590,XPXV15_gp77,XPXV15_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076591,XPXV15_gp74,XPXV15_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076592,XPXV15_gp46,XPXV15_gp46,-,-,-,-,possible DNA polymerase subunit,protein-coding,-,-,-,possible DNA polymerase subunit,20201220,-
322855,5076593,XPXV15_gp73,XPXV15_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076594,XPXV15_gp43,XPXV15_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076595,XPXV15_gp55,XPXV15_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076596,XPXV15_gp62,XPXV15_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076597,XPXV15_gp80,XPXV15_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076598,XPXV15_gp58,XPXV15_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076599,XPXV15_gp48,XPXV15_gp48,-,-,-,-,possible integrase,protein-coding,-,-,-,possible integrase,20201220,-
322855,5076600,XPXV15_gp12,XPXV15_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076601,XPXV15_gp08,XPXV15_gp08,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
322855,5076602,XPXV15_gp65,XPXV15_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076603,XPXV15_gp36,XPXV15_gp36,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201220,-
322855,5076604,XPXV15_gp19,XPXV15_gp19,-,-,-,-,possible phage tail protein,protein-coding,-,-,-,possible phage tail protein,20201220,-
322855,5076605,XPXV15_gp71,XPXV15_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076606,XPXV15_gp76,XPXV15_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076607,XPXV15_gp82,XPXV15_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076608,XPXV15_gp54,XPXV15_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076609,XPXV15_gp02,XPXV15_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076610,XPXV15_gp21,XPXV15_gp21,-,-,-,-,hypothetical protein phage protein,protein-coding,-,-,-,hypothetical protein phage protein,20201220,-
322855,5076611,XPXV15_gp23,XPXV15_gp23,-,-,-,-,possible phage tail protein,protein-coding,-,-,-,possible phage tail protein,20201220,-
322855,5076612,XPXV15_gp28,XPXV15_gp28,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
322855,5076613,XPXV15_gp06,XPXV15_gp06,-,-,-,-,possible NADH dehydrogenase subunit,protein-coding,-,-,-,possible NADH dehydrogenase subunit,20201220,-
322855,5076614,XPXV15_gp83,XPXV15_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076615,XPXV15_gp07,XPXV15_gp07,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20201220,-
322855,5076616,XPXV15_gp64,XPXV15_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076617,XPXV15_gp11,XPXV15_gp11,-,-,-,-,possible phage tail fiber protein,protein-coding,-,-,-,possible phage tail fiber protein,20201220,-
322855,5076618,XPXV15_gp79,XPXV15_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076619,XPXV15_gp42,XPXV15_gp42,-,-,-,-,possible DNA helicase,protein-coding,-,-,-,possible DNA helicase,20201220,-
322855,5076620,XPXV15_gp69,XPXV15_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076621,XPXV15_gp40,XPXV15_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076622,XPXV15_gp22,XPXV15_gp22,-,-,-,-,putative phage minor tail protein,protein-coding,-,-,-,putative phage minor tail protein,20201220,-
322855,5076623,XPXV15_gp29,XPXV15_gp29,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
322855,5076624,XPXV15_gp81,XPXV15_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076625,XPXV15_gp75,XPXV15_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076626,XPXV15_gp18,XPXV15_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076627,XPXV15_gp66,XPXV15_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076628,XPXV15_gp44,XPXV15_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076629,XPXV15_gp84,XPXV15_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076630,XPXV15_gp30,XPXV15_gp30,-,-,-,-,possible endodeoxyribonuclease,protein-coding,-,-,-,possible endodeoxyribonuclease,20201220,-
322855,5076631,XPXV15_gp68,XPXV15_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076632,XPXV15_gp01,XPXV15_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076633,XPXV15_gp45,XPXV15_gp45,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201220,-
322855,5130177,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Xanthomonas campestris pv. pelargonii bacteriophage Xp15; Xanthomonas campestris pv. pelargonii phage Xp15).,other,-,-,-,-,20200513,-
