#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392248,36540034,P168DRAFT_10038,P168DRAFT_10038,-,-,Unknown,-,Golgi apparatus membrane protein tvp18,protein-coding,-,-,-,Golgi apparatus membrane protein tvp18,20180512,-
1392248,36540122,P168DRAFT_117663,P168DRAFT_117663,-,-,Unknown,-,Rho guanyl nucleotide exchange factor,protein-coding,-,-,-,Rho guanyl nucleotide exchange factor,20180512,-
1392248,36540123,P168DRAFT_117767,P168DRAFT_117767,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540124,P168DRAFT_118043,P168DRAFT_118043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540125,P168DRAFT_118057,P168DRAFT_118057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540126,P168DRAFT_118113,P168DRAFT_118113,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20180512,-
1392248,36540127,P168DRAFT_118516,P168DRAFT_118516,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540128,P168DRAFT_119103,P168DRAFT_119103,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540129,P168DRAFT_119180,P168DRAFT_119180,-,-,Unknown,-,GTPase activating protein,protein-coding,-,-,-,GTPase activating protein,20180512,-
1392248,36540130,P168DRAFT_119302,P168DRAFT_119302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540131,P168DRAFT_119643,P168DRAFT_119643,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540132,P168DRAFT_119918,P168DRAFT_119918,-,-,Unknown,-,armadillo/beta-catenin-like repeat-containing protein,protein-coding,-,-,-,armadillo/beta-catenin-like repeat-containing protein,20180512,-
1392248,36540133,P168DRAFT_120031,P168DRAFT_120031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540134,P168DRAFT_120134,P168DRAFT_120134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540135,P168DRAFT_12018,P168DRAFT_12018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540136,P168DRAFT_12032,P168DRAFT_12032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540137,P168DRAFT_12051,P168DRAFT_12051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540138,P168DRAFT_120901,P168DRAFT_120901,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540139,P168DRAFT_120958,P168DRAFT_120958,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540140,P168DRAFT_120984,P168DRAFT_120984,-,-,Unknown,-,meiosis protein MEI2,protein-coding,-,-,-,meiosis protein MEI2,20180512,-
1392248,36540141,P168DRAFT_121017,P168DRAFT_121017,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20180512,-
1392248,36540142,P168DRAFT_121136,P168DRAFT_121136,-,-,Unknown,-,Fcf2-domain-containing protein,protein-coding,-,-,-,Fcf2-domain-containing protein,20180512,-
1392248,36540143,P168DRAFT_121278,P168DRAFT_121278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540144,P168DRAFT_121286,P168DRAFT_121286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540147,P168DRAFT_121424,P168DRAFT_121424,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540149,P168DRAFT_121557,P168DRAFT_121557,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540150,P168DRAFT_121905,P168DRAFT_121905,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540151,P168DRAFT_122274,P168DRAFT_122274,-,-,Unknown,-,protein fyv10,protein-coding,-,-,-,protein fyv10,20180512,-
1392248,36540152,P168DRAFT_122754,P168DRAFT_122754,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540153,P168DRAFT_122853,P168DRAFT_122853,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540154,P168DRAFT_122894,P168DRAFT_122894,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540155,P168DRAFT_123014,P168DRAFT_123014,-,-,Unknown,-,ribosomal protein L39e,protein-coding,-,-,-,ribosomal protein L39e,20210129,-
1392248,36540156,P168DRAFT_123503,P168DRAFT_123503,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540157,P168DRAFT_124029,P168DRAFT_124029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540158,P168DRAFT_124516,P168DRAFT_124516,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540159,P168DRAFT_12469,P168DRAFT_12469,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540160,P168DRAFT_124740,P168DRAFT_124740,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540161,P168DRAFT_124748,P168DRAFT_124748,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540162,P168DRAFT_124790,P168DRAFT_124790,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540163,P168DRAFT_124874,P168DRAFT_124874,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20180512,-
1392248,36540164,P168DRAFT_125689,P168DRAFT_125689,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540165,P168DRAFT_125868,P168DRAFT_125868,-,-,Unknown,-,phosphatidylethanolamine N-methyltransferase,protein-coding,-,-,-,phosphatidylethanolamine N-methyltransferase,20180512,-
1392248,36540166,P168DRAFT_125897,P168DRAFT_125897,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540167,P168DRAFT_126038,P168DRAFT_126038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540168,P168DRAFT_12612,P168DRAFT_12612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540169,P168DRAFT_126153,P168DRAFT_126153,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540170,P168DRAFT_126157,P168DRAFT_126157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540171,P168DRAFT_126263,P168DRAFT_126263,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20180512,-
1392248,36540172,P168DRAFT_126405,P168DRAFT_126405,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540173,P168DRAFT_126421,P168DRAFT_126421,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540174,P168DRAFT_126427,P168DRAFT_126427,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540175,P168DRAFT_126546,P168DRAFT_126546,-,-,Unknown,-,RNA-binding domain-containing protein,protein-coding,-,-,-,RNA-binding domain-containing protein,20180512,-
1392248,36540176,P168DRAFT_12677,P168DRAFT_12677,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540177,P168DRAFT_12716,P168DRAFT_12716,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540178,P168DRAFT_12719,P168DRAFT_12719,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540179,P168DRAFT_127199,P168DRAFT_127199,-,-,Unknown,-,DUF1237 domain protein,protein-coding,-,-,-,DUF1237 domain protein,20180512,-
1392248,36540180,P168DRAFT_127258,P168DRAFT_127258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540181,P168DRAFT_12732,P168DRAFT_12732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540182,P168DRAFT_127490,P168DRAFT_127490,-,-,Unknown,-,cation diffusion facilitator family metal ion transporter,protein-coding,-,-,-,cation diffusion facilitator family metal ion transporter,20180512,-
1392248,36540183,P168DRAFT_127673,P168DRAFT_127673,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540184,P168DRAFT_1277,P168DRAFT_1277,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540185,P168DRAFT_12770,P168DRAFT_12770,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540186,P168DRAFT_127744,P168DRAFT_127744,-,-,Unknown,-,fungal-specific transcription factor domain protein,protein-coding,-,-,-,fungal-specific transcription factor domain protein,20180512,-
1392248,36540187,P168DRAFT_127820,P168DRAFT_127820,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540188,P168DRAFT_127848,P168DRAFT_127848,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540189,P168DRAFT_128122,P168DRAFT_128122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540190,P168DRAFT_128335,P168DRAFT_128335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540191,P168DRAFT_128580,P168DRAFT_128580,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540192,P168DRAFT_128584,P168DRAFT_128584,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540193,P168DRAFT_129649,P168DRAFT_129649,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540194,P168DRAFT_129711,P168DRAFT_129711,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540195,P168DRAFT_129728,P168DRAFT_129728,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540196,P168DRAFT_129919,P168DRAFT_129919,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540197,P168DRAFT_130015,P168DRAFT_130015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540198,P168DRAFT_13005,P168DRAFT_13005,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540199,P168DRAFT_130128,P168DRAFT_130128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540200,P168DRAFT_130193,P168DRAFT_130193,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540201,P168DRAFT_130309,P168DRAFT_130309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540202,P168DRAFT_13052,P168DRAFT_13052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540203,P168DRAFT_130595,P168DRAFT_130595,-,-,Unknown,-,sure-like protein,protein-coding,-,-,-,sure-like protein,20180512,-
1392248,36540204,P168DRAFT_130757,P168DRAFT_130757,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540205,P168DRAFT_13091,P168DRAFT_13091,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540206,P168DRAFT_130994,P168DRAFT_130994,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540207,P168DRAFT_131250,P168DRAFT_131250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540208,P168DRAFT_131323,P168DRAFT_131323,-,-,Unknown,-,DNA-binding TFAR19-related protein,protein-coding,-,-,-,DNA-binding TFAR19-related protein,20180512,-
1392248,36540209,P168DRAFT_131367,P168DRAFT_131367,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540210,P168DRAFT_131422,P168DRAFT_131422,-,-,Unknown,-,galactose-1-phosphate uridylyltransferase,protein-coding,-,-,-,galactose-1-phosphate uridylyltransferase,20180512,-
1392248,36540211,P168DRAFT_131553,P168DRAFT_131553,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540212,P168DRAFT_131643,P168DRAFT_131643,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540213,P168DRAFT_131653,P168DRAFT_131653,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540214,P168DRAFT_132029,P168DRAFT_132029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540215,P168DRAFT_132240,P168DRAFT_132240,-,-,Unknown,-,metalloendopeptidase family intermediate peptidase,protein-coding,-,-,-,metalloendopeptidase family intermediate peptidase,20180512,-
1392248,36540216,P168DRAFT_132313,P168DRAFT_132313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
