#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656617,64871045,2,KIV58_gp002,SEA_YECEY3_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210515,-
2656617,64871082,39,KIV58_gp070,SEA_YECEY3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871083,40,KIV58_gp069,SEA_YECEY3_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871084,41,KIV58_gp068,SEA_YECEY3_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871085,42,KIV58_gp067,SEA_YECEY3_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871086,43,KIV58_gp066,SEA_YECEY3_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871087,44,KIV58_gp065,SEA_YECEY3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871088,45,KIV58_gp064,SEA_YECEY3_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871089,46,KIV58_gp063,SEA_YECEY3_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210515,-
2656617,64871090,47,KIV58_gp062,SEA_YECEY3_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871091,48,KIV58_gp061,SEA_YECEY3_48,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210515,-
2656617,64871092,49,KIV58_gp060,SEA_YECEY3_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871093,50,KIV58_gp059,SEA_YECEY3_50,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210515,-
2656617,64871094,51,KIV58_gp058,SEA_YECEY3_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871095,52,KIV58_gp057,SEA_YECEY3_52,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210515,-
2656617,64871096,53,KIV58_gp056,SEA_YECEY3_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871097,54,KIV58_gp055,SEA_YECEY3_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871098,55,KIV58_gp054,SEA_YECEY3_55,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210515,-
2656617,64871099,56,KIV58_gp053,SEA_YECEY3_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871100,57,KIV58_gp052,SEA_YECEY3_57,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210515,-
2656617,64871101,58,KIV58_gp051,SEA_YECEY3_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871102,59,KIV58_gp050,SEA_YECEY3_59,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210515,-
2656617,64871103,60,KIV58_gp049,SEA_YECEY3_60,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
2656617,64871104,61,KIV58_gp048,SEA_YECEY3_61,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
2656617,64871105,63,KIV58_gp046,SEA_YECEY3_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871106,64,KIV58_gp045,SEA_YECEY3_64,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210515,-
2656617,64871107,65,KIV58_gp044,SEA_YECEY3_65,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210515,-
2656617,64871108,66,KIV58_gp043,SEA_YECEY3_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871109,67,KIV58_gp042,SEA_YECEY3_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871110,68,KIV58_gp041,SEA_YECEY3_68,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210515,-
2656617,64871111,69,KIV58_gp040,SEA_YECEY3_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871112,70,KIV58_gp039,SEA_YECEY3_70,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210515,-
2656617,64871113,71,KIV58_gp038,SEA_YECEY3_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871114,72,KIV58_gp037,SEA_YECEY3_72,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210515,-
2656617,64871115,73,KIV58_gp036,SEA_YECEY3_73,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210515,-
2656617,64871116,74,KIV58_gp035,SEA_YECEY3_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871117,75,KIV58_gp034,SEA_YECEY3_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871118,76,KIV58_gp033,SEA_YECEY3_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871119,77,KIV58_gp032,SEA_YECEY3_77,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210515,-
2656617,64871120,78,KIV58_gp031,SEA_YECEY3_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871121,79,KIV58_gp030,SEA_YECEY3_79,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210515,-
2656617,64871122,80,KIV58_gp029,SEA_YECEY3_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871123,81,KIV58_gp028,SEA_YECEY3_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871124,82,KIV58_gp027,SEA_YECEY3_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871125,83,KIV58_gp026,SEA_YECEY3_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871126,84,KIV58_gp025,SEA_YECEY3_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871127,85,KIV58_gp024,SEA_YECEY3_85,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
2656617,64871128,86,KIV58_gp023,SEA_YECEY3_86,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
2656617,64871129,87,KIV58_gp022,SEA_YECEY3_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871130,88,KIV58_gp021,SEA_YECEY3_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871131,89,KIV58_gp020,SEA_YECEY3_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871132,90,KIV58_gp019,SEA_YECEY3_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871133,91,KIV58_gp018,SEA_YECEY3_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871134,92,KIV58_gp017,SEA_YECEY3_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871135,93,KIV58_gp016,SEA_YECEY3_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871136,94,KIV58_gp015,SEA_YECEY3_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871137,95,KIV58_gp014,SEA_YECEY3_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871138,96,KIV58_gp013,SEA_YECEY3_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871139,97,KIV58_gp012,SEA_YECEY3_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871140,98,KIV58_gp011,SEA_YECEY3_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871141,99,KIV58_gp010,SEA_YECEY3_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871142,100,KIV58_gp009,SEA_YECEY3_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871143,101,KIV58_gp008,SEA_YECEY3_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871144,5,KIV58_gp005,SEA_YECEY3_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
2656617,64871145,62,KIV58_gp047,SEA_YECEY3_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871146,102,KIV58_gp007,SEA_YECEY3_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64953927,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210517,-
