#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656545,55624646,2,HWC82_gp02,PBI_YIKES_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200905,-
2656545,55624681,40,HWC82_gp40,PBI_YIKES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624682,41,HWC82_gp41,PBI_YIKES_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656545,55624683,42,HWC82_gp42,PBI_YIKES_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624684,43,HWC82_gp43,PBI_YIKES_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624685,44,HWC82_gp44,PBI_YIKES_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624686,45,HWC82_gp45,PBI_YIKES_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624687,46,HWC82_gp46,PBI_YIKES_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624688,47,HWC82_gp47,PBI_YIKES_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656545,55624689,48,HWC82_gp48,PBI_YIKES_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624690,49,HWC82_gp49,PBI_YIKES_49,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656545,55624691,50,HWC82_gp50,PBI_YIKES_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624692,51,HWC82_gp51,PBI_YIKES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656545,55624693,52,HWC82_gp52,PBI_YIKES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624694,53,HWC82_gp53,PBI_YIKES_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624695,54,HWC82_gp54,PBI_YIKES_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624696,55,HWC82_gp55,PBI_YIKES_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624697,56,HWC82_gp56,PBI_YIKES_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624698,57,HWC82_gp57,PBI_YIKES_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624699,58,HWC82_gp58,PBI_YIKES_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624700,59,HWC82_gp59,PBI_YIKES_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624701,60,HWC82_gp60,PBI_YIKES_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624702,61,HWC82_gp61,PBI_YIKES_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624703,62,HWC82_gp62,PBI_YIKES_62,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200905,-
2656545,55624704,63,HWC82_gp63,PBI_YIKES_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624705,64,HWC82_gp64,PBI_YIKES_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624706,65,HWC82_gp65,PBI_YIKES_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624707,66,HWC82_gp66,PBI_YIKES_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624708,67,HWC82_gp67,PBI_YIKES_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2656545,55624709,68,HWC82_gp68,PBI_YIKES_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624710,69,HWC82_gp69,PBI_YIKES_69,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2656545,55624711,70,HWC82_gp70,PBI_YIKES_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624712,71,HWC82_gp71,PBI_YIKES_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624713,72,HWC82_gp72,PBI_YIKES_72,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210424,-
2656545,55624714,73,HWC82_gp73,PBI_YIKES_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624715,74,HWC82_gp74,PBI_YIKES_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624716,75,HWC82_gp75,PBI_YIKES_75,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2656545,55624717,76,HWC82_gp76,PBI_YIKES_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624718,77,HWC82_gp77,PBI_YIKES_77,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20201217,-
2656545,55624719,78,HWC82_gp78,PBI_YIKES_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624720,80,HWC82_gp80,PBI_YIKES_80,-,-,-,DnaE-like DNA polymerase III,protein-coding,-,-,-,DnaE-like DNA polymerase III,20201217,-
2656545,55624721,81,HWC82_gp81,PBI_YIKES_81,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210424,-
2656545,55624722,82,HWC82_gp82,PBI_YIKES_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624723,83,HWC82_gp83,PBI_YIKES_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624724,84,HWC82_gp84,PBI_YIKES_84,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210424,-
2656545,55624725,85,HWC82_gp85,PBI_YIKES_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624726,86,HWC82_gp86,PBI_YIKES_86,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200620,-
2656545,55624727,87,HWC82_gp87,PBI_YIKES_87,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
2656545,55624728,88,HWC82_gp88,PBI_YIKES_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624729,89,HWC82_gp89,PBI_YIKES_89,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2656545,55624730,90,HWC82_gp90,PBI_YIKES_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624731,91,HWC82_gp91,PBI_YIKES_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624732,92,HWC82_gp92,PBI_YIKES_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624733,93,HWC82_gp93,PBI_YIKES_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624734,94,HWC82_gp94,PBI_YIKES_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624735,95,HWC82_gp95,PBI_YIKES_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624736,96,HWC82_gp96,PBI_YIKES_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624737,97,HWC82_gp97,PBI_YIKES_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624738,98,HWC82_gp98,PBI_YIKES_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624739,25,HWC82_gp25,PBI_YIKES_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200905,-
2656545,55624740,79,HWC82_gp79,PBI_YIKES_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624741,7,HWC82_gp07,PBI_YIKES_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624742,19,HWC82_gp19,PBI_YIKES_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624743,1,HWC82_gp01,PBI_YIKES_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55636071,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
