#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1071505,18990190,2,GUMBIE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
1071505,18990229,47,GUMBIE_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1071505,18990230,48,GUMBIE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990231,49,GUMBIE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990232,50,GUMBIE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990233,51,GUMBIE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990234,52,GUMBIE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990235,53,GUMBIE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990236,54,GUMBIE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1071505,18990237,55,GUMBIE_55,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201220,-
1071505,18990238,56,GUMBIE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990239,57,GUMBIE_57,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1071505,18990240,58,GUMBIE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1071505,18990241,59,GUMBIE_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990242,60,GUMBIE_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990243,61,GUMBIE_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990244,62,GUMBIE_62,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201220,-
1071505,18990245,63,GUMBIE_63,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1071505,18990246,64,GUMBIE_64,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1071505,18990247,65,GUMBIE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990248,66,GUMBIE_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990249,67,GUMBIE_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990250,68,GUMBIE_68,-,-,-,-,GIY-YIG domain protein,protein-coding,-,-,-,GIY-YIG domain protein,20201220,-
1071505,18990251,69,GUMBIE_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990252,70,GUMBIE_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990253,71,GUMBIE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990254,72,GUMBIE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990255,73,GUMBIE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990256,74,GUMBIE_74,-,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20201220,-
1071505,18990257,75,GUMBIE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990258,77,GUMBIE_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990259,78,GUMBIE_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990260,79,GUMBIE_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990261,80,GUMBIE_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990262,81,GUMBIE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990263,82,GUMBIE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990264,83,GUMBIE_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990265,84,GUMBIE_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990266,85,GUMBIE_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990267,86,GUMBIE_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990268,87,GUMBIE_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990269,88,GUMBIE_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990270,89,GUMBIE_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990271,90,GUMBIE_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990272,91,GUMBIE_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990273,92,GUMBIE_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990274,93,GUMBIE_93,-,-,-,-,MerR-like protein,protein-coding,-,-,-,MerR-like protein,20210424,-
1071505,18990275,94,GUMBIE_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990276,95,GUMBIE_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990277,96,GUMBIE_96,-,-,-,-,AlpA,protein-coding,-,-,-,AlpA,20201220,-
1071505,18990278,97,GUMBIE_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990279,98,GUMBIE_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990280,99,GUMBIE_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990281,100,GUMBIE_100,-,-,-,-,N-acetylgalactosaminyltransferase,protein-coding,-,-,-,N-acetylgalactosaminyltransferase,20201220,-
1071505,18990282,101,GUMBIE_101,-,-,-,-,Ser/Thr kinase domain protein,protein-coding,-,-,-,Ser/Thr kinase domain protein,20201220,-
1071505,18990283,102,GUMBIE_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990284,103,GUMBIE_103,-,-,-,-,N-acetylglucosaminyltransferase,protein-coding,-,-,-,N-acetylglucosaminyltransferase,20201220,-
1071505,18990285,104,GUMBIE_104,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1071505,18990286,44,GUMBIE_44,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201220,-
1071505,18990287,43,GUMBIE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990288,41,GUMBIE_41,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1071505,18990289,40,GUMBIE_40,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210313,-
1071505,18990290,39,GUMBIE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990291,26,GUMBIE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990292,76,GUMBIE_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990293,1,GUMBIE_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1071505,19010266,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage GUmbie; Mycobacterium phage GUmbie).,other,-,-,-,-,20200513,-
